GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0215032-815,02,150,32-815,19.36,10.67,0.02,6.03,0.04,2.03,0,22.41,7.6,8.1,21.42,19.71
0215032-820,02,150,32-820,651.53,472.86,26.43,17.1,4.02,4.02,0.01,602.38,496.81,69.63,595.31,563.54
0215032-825,02,150,32-825,540.28,473.28,20.42,12.5,1.57,3.9,0.01,518.43,454.59,49.3,526.18,483.7
0215032-830,02,150,32-830,1731.19,942.86,95.15,25.4,5.41,5.08,2.98,1693.2,928.6,145.07,1681.51,1088.76
0215032-835,02,150,32-835,33.64,52.44,1.98,2.97,3.96,2.97,0,36.61,48.48,8.91,37.6,59.37
0215032-840,02,150,32-840,37,85,3,3,2,0,0,45,63,12,56,58
0215032-845,02,150,32-845,68,48,7,2,0,0,0,67,37,14,77,39
0215838-804,02,158,38-804,0,0,0,0,0,0,0,0,0,0,0,0
0215838-834,02,158,38-834,45,97,12,9,3,0,6,51,99,23,86,85
0215838-850,02,158,38-850,25,58,6,3,2,2,2,29,58,9,38,62
0215839-900,02,158,39-900,31.91,85.09,13.54,2.9,4.83,0.97,0.97,49.31,65.75,22.24,72.52,61.89
0215839-904,02,158,39-904,91,137,2,1,1,1,0,94,120,19,109,122
0215839-910,02,158,39-910,87.09,110.91,9.46,3.1,7.17,1.03,1.03,102.69,86.25,25.76,115.48,102.11
0215839-916,02,158,39-916,108,191,1,6,3,2,0,111,158,37,154,150
0215839-918,02,158,39-918,40,111,4,3,1,2,0,53,88,18,84,74
0215839-922,02,158,39-922,60,130,2,1,3,1,1,72,96,36,99,103
0215839-928,02,158,39-928,10,36,1,1,0,0,0,11,22,10,18,30
0215839-930,02,158,39-930,26,100,4,1,4,8,1,51,72,24,80,62
0215839-934,02,158,39-934,57,138,10,0,1,1,0,54,136,13,62,146
0215839-940,02,158,39-940,50,167,3,8,2,0,0,71,138,27,84,155
0216437-708,02,164,37-708,17.88,12.91,2.98,0,0,0,0,18.87,7.95,2.98,21.85,8.94
0216437-716,02,164,37-716,20.34,5.72,0,0,0,0,0,10,6.81,4.24,19.24,8.34
0216437-726,02,164,37-726,74.85,59.52,0,0.12,7.36,0.12,0,78.46,53.67,7.85,81.91,60.31
0216437-728,02,164,37-728,15,51,6,8,1,1,4,32,43,13,41,45
0216437-730,02,164,37-730,19.46,29.39,0,0,0.28,0,0,17.11,28.91,0.65,21.92,23.84
0216437-738,02,164,37-738,6.15,54.48,0,0.88,2.64,0.88,0,10.54,48.33,6.15,21.09,45.69
0216437-740,02,164,37-740,8,0,0,1,0,0,1,7,2,1,7,3
0216437-742,02,164,37-742,17.12,46.09,1.02,0,0,0,0,15.13,45.05,4.02,18.15,46.06
0217007-100,02,170,07-100,994,398,50,3,3,6,0,984,341,87,943,473
0217007-105,02,170,07-105,711,196,19,5,3,0,0,699,210,34,698,238
0217007-110,02,170,07-110,1056,395,34,8,14,0,0,1006,360,107,1018,435
0217007-115,02,170,07-115,706.06,205.43,42.36,7.97,3.01,4.01,4.97,685.68,205.42,65.52,711.6,236.03
0217007-120,02,170,07-120,988.94,294.57,49.64,1.03,1.99,2.99,0.03,948.32,293.58,73.48,954.4,357.97
0217007-125,02,170,07-125,1575.03,467.53,42.58,17.16,9.11,0,0.02,1481.62,490.66,128.03,1485.02,579.4
0217007-130,02,170,07-130,1018,269,35,12,2,0,0,967,295,70,972,339
0217008-130,02,170,08-130,562,159,26,3,4,0,0,551,158,42,564,188
0217008-135,02,170,08-135,1452.27,279.55,48.4,8.05,11.11,3.05,0,1411.53,289.23,90.06,1417.9,372.07
0217008-140,02,170,08-140,1387,472,53,7,3,9,0,1300,444,150,1351,547
0217008-145,02,170,08-145,1157,239,47,3,7,2,0,1082,262,100,1097,337
0217008-150,02,170,08-150,1507.15,404.44,45.33,8.45,2.09,4.01,5.03,1433.73,412.81,103.62,1478.59,446.37
0217008-155,02,170,08-155,1575.91,421.7,22.68,18.7,1,0.01,0.98,1497.95,435.43,91.78,1540.44,455.22
0217009-622,02,170,09-622,1396.42,387.81,46.26,19.36,10.14,5.01,0.05,1357.01,393.2,91.86,1372.41,452.86
0217009-628,02,170,09-628,1623.44,589.18,64.15,13.82,10.86,0.99,3.95,1618.51,624.7,74.02,1626.4,654.31
0217009-640,02,170,09-640,162.49,65.28,1.02,3.01,1,0,0,162.48,62.26,8.04,171.48,58.3
0217009-645,02,170,09-645,644.14,326.01,26.59,11.82,0,0,0,621.49,320.1,57.13,641.19,337.83
0217010-005,02,170,10-005,622,159,29,3,0,2,3,599,160,52,599,208
0217010-010,02,170,10-010,1268,351,27,8,6,0,2,1210,359,85,1229,408
0217010-015,02,170,10-015,1250,374,76,14,6,5,0,1213,391,96,1210,480
0217010-020,02,170,10-020,780.7,176.2,15.85,2.18,3.89,1.96,0.01,715.29,165.39,77.77,766.25,197.46
0217010-025,02,170,10-025,649.64,147.82,36.92,2.92,0,0,0,634.02,176.94,34.08,634.08,198.34
0217010-030,02,170,10-030,722.52,239.52,16.76,4.93,1.97,0,0,678.16,261.21,44.36,709.7,255.3
0217010-035,02,170,10-035,208.02,512.11,20.8,10.9,1.98,0.99,0,203.06,475.46,37.64,207.02,498.25
0217010-040,02,170,10-040,301.18,76.39,4.54,7.26,0.05,0.01,0,288.21,69.3,23.46,298.93,73.54
0217010-045,02,170,10-045,1330.78,397.94,12.06,7.07,1.99,3.97,1,1249.84,376.16,96.92,1299.77,424.96
0217010-050,02,170,10-050,340,128,8,2,0,1,0,327,135,19,338,138
0217010-055,02,170,10-055,614,172,39,2,0,4,0,624,180,31,594,242
0217011-055,02,170,11-055,1139.1,340.05,41.01,9,5,7,0,1121.1,333.05,84.01,1107.1,434.06
0217011-060,02,170,11-060,786,340,43,6,0,3,0,806,318,41,774,380
0217011-065,02,170,11-065,496.89,233.95,10,6,0,0,0,469.9,228.95,44.99,465.9,288.94
0217011-070,02,170,11-070,771.24,382.68,37.94,13.34,5.1,2.07,3,757.74,387.12,64.41,735.01,458.13
0217011-075,02,170,11-075,678.83,393.43,45.59,11.89,6.94,0,0,650.1,417.21,70.36,679.83,437.03
0217011-085,02,170,11-085,803.2,362.87,23.54,15.69,0,0,0,841.44,329.52,26.49,815.94,370.72
0217011-090,02,170,11-090,622,202,21,9,3,1,3,596,212,51,618,239
0217011-095,02,170,11-095,1065.82,508.84,29.47,12.77,1.96,3.93,0,1108.06,465.62,43.22,1052.07,567.78
0217011-099,02,170,11-099,719,368,17,4,0,0,0,686,358,50,701,375
0217012-200,02,170,12-200,656.99,161,6,2,3,2,0,648.99,165,27,641.99,179
0217012-205,02,170,12-205,860.39,303.89,30.51,6.51,4.09,5,0,854.83,314.05,47.84,847.77,352.8
0217012-210,02,170,12-210,1391.97,288.47,47.42,12.84,8.89,0,1.98,1358.38,299.34,83.97,1390.98,359.6
0217012-220,02,170,12-220,1815.87,693.63,62.31,16.04,4,3.03,0,1769.18,677.05,96.44,1788.02,755.55
0218039-902,02,180,39-902,31,91,8,6,5,2,1,54,52,34,74,67
0218039-906,02,180,39-906,11,12,0,0,1,1,0,11,14,1,17,9
0218039-908,02,180,39-908,90,52,2,3,4,1,0,75,52,27,91,59
0218039-912,02,180,39-912,73,179,0,11,1,1,2,97,99,54,119,130
0218039-914,02,180,39-914,22.32,47.15,0.9,0.9,0.04,0,0,25.3,39.63,5.46,29.84,40.61
0218039-920,02,180,39-920,73.82,57.32,1.05,3,2.05,0,0,68.82,51.78,20.49,83.57,53.52
0218039-924,02,180,39-924,202.8,225.66,11.93,3.98,2.98,3.98,0.99,227.65,186.89,37.78,206.77,242.56
0218039-926,02,180,39-926,306.2,308.34,20.07,15.02,10.02,2.02,5.01,347.35,244.11,61.22,343.23,301.44
0218039-932,02,180,39-932,31,246,3,5,4,3,0,86,144,53,121,166
0218039-936,02,180,39-936,54.18,44.68,0.95,0,0.95,0,0,54.18,34.22,9.51,49.43,48.48
0218039-938,02,180,39-938,36.68,180.2,0.88,8.8,0.92,4.43,0.88,71.82,116.77,35.33,101.91,125.6
0218039-942,02,180,39-942,40,51.07,0.85,0.85,3.4,0,0.85,43.41,28.94,22.13,54.47,45.11
0218039-944,02,180,39-944,47,55,2,3,0,2,0,49,44,15,65,48
0218039-946,02,180,39-946,26.75,45.58,0,0.99,0.99,2.97,0,25.76,38.64,11.89,34.68,42.61
0218039-948,02,180,39-948,122.49,195.1,8,1.02,10,0,3,174.6,127.77,22.17,186.73,147.82
0218039-950,02,180,39-950,5.11,43.51,1.05,2.52,0.05,0.26,0.05,18.17,29.8,4.06,20.92,31.32
0218039-952,02,180,39-952,19.68,75.85,1.1,1.1,1.96,0,0,36.7,51.37,9.54,44.16,56.39
0218540-004,02,185,40-004,43.31,77.18,2,3.02,0,0,1,38.31,68.22,20,51.29,74.24
0218540-006,02,185,40-006,41,32,4,3,2,1,2,45,27,15,37,50
0218540-008,02,185,40-008,192,218,5,1,4,3,4,233,157,33,245,175
0218540-010,02,185,40-010,504,508,16,20,4,3,1,585,345,108,593,439
0218540-016,02,185,40-016,69.05,33.88,0,5,0,0,0,57.12,33.67,20.02,72.06,35.74
0218540-030,02,185,40-030,45.54,70.41,2.13,6.03,2.03,2.03,2.01,44.57,58.33,31.4,50.87,84.31
0218540-032,02,185,40-032,117,116,10,10,2,3,0,142,83,31,151,105
0218540-034,02,185,40-034,37.15,25.14,8.01,9.01,2,5,0.01,37.18,24.08,24.04,50.2,38.12
0218540-040,02,185,40-040,167,66,5,2,0,0,0,165,38,31,185,49
0218840-002,02,188,40-002,15.62,51.73,4.88,0.98,0.98,0.98,0,15.62,50.75,14.64,27.33,48.8
0218840-012,02,188,40-012,49,54,4,1,1,1,2,38,35,38,58,60
0218840-014,02,188,40-014,35.45,54.71,0.07,0.7,3.03,1.34,0.07,38.24,42.78,8.71,50.49,43.48
0218840-018,02,188,40-018,43.47,74.5,1.01,0.02,1,1.02,1,68.55,34.34,14.12,67.64,53.33
0218840-020,02,188,40-020,71,42,2,6,5,2,2,79,31,32,98,50
0218840-022,02,188,40-022,15,39,0,3,0,7,1,22,28,11,21,39
0218840-024,02,188,40-024,280,470,13,5,14,2,5,344,373,74,369,406
0218840-026,02,188,40-026,75.69,66.73,4.98,2.99,1,1.99,2.99,90.63,40.83,18.92,97.6,56.77
0218840-028,02,188,40-028,89,60,7,4,3,1,1,80,51,36,98,68
0218840-036,02,188,40-036,60.53,63.5,0.99,2.98,0,1.98,0,70.45,43.66,14.88,81.36,41.67
0218840-038,02,188,40-038,12,75,0,0,1,0,0,29,48,6,34,46
0219535-700,02,195,35-700,0,0,0,0,0,0,0,0,0,0,0,0
0219535-730,02,195,35-730,8.69,23.29,0.13,0.38,0.88,0.13,0,8.94,18.19,3.27,11.2,20.14
0219535-755,02,195,35-755,998.6,533.18,34.88,14.95,6.98,1.99,0,891.96,694.63,60.79,933.82,663.74
0219835-705,02,198,35-705,500.96,357.77,10.72,6.82,2.92,0,0.97,432.73,398.68,63.36,470.73,413.32
0219835-730,02,198,35-730,129.31,346.71,1.87,5.62,13.12,1.87,0,133.06,270.81,48.73,166.8,299.86
0219835-735,02,198,35-735,24.55,25.42,1.75,5.26,0,0,0,16.66,25.42,9.64,25.42,28.93
0219835-740,02,198,35-740,423.04,455.23,4.28,9.18,2.08,2,0.03,353.27,438.32,72.64,380.27,498.68
0219835-745,02,198,35-745,178,73,2,7,0,0,0,171,74,11,160,102
0219835-755,02,198,35-755,3.4,1.82,0.12,0.05,0.02,0.01,0,3.04,2.37,0.21,3.18,2.26
0219835-760,02,198,35-760,19,25,0,0,0,2,0,17,26,3,19,27
0219835-780,02,198,35-780,349.45,82.58,0.25,2.74,0,0,0,327.34,74.58,24.36,335.58,96.07
0219836-670,02,198,36-670,15.02,7.83,0.8,0.18,0,0.04,0,15.12,8.11,0.64,14.88,8.97
0219836-675,02,198,36-675,27.99,187.91,5,1,0,0,0,27.99,157.93,25.99,46.98,159.93
0219836-680,02,198,36-680,215.74,599.28,7.99,10.39,5.59,2.4,0.8,234.12,546.54,44.75,316.42,463.44
0222035-765,02,220,35-765,885.87,1047.48,43.89,19.95,2,5.99,2,816.04,1093.37,103.75,869.91,1108.33
0222035-770,02,220,35-770,859.13,1083.52,57.11,9.05,0,0.01,0,826.96,1097.63,83.25,789.09,1196.67
0223033-540,02,230,33-540,217.93,679.65,14.93,25.87,3.98,1.99,5.97,220.91,678.66,41.79,218.92,717.47
0224006-015,02,240,06-015,30.78,8.66,0.48,0,0,0,0,30.3,6.73,0.48,30.3,6.73
0224006-027,02,240,06-027,92,4.84,0,0,0,0,0,86.19,8.72,2.91,90.06,8.72
0224006-030,02,240,06-030,83.81,24.94,1,1,0,0,0,79.82,24.94,4.99,82.81,25.94
0224006-053,02,240,06-053,4.44,16.8,1.27,0.32,0,0.63,0,3.8,16.17,3.8,8.56,13.63
0224006-060,02,240,06-060,62.5,84.47,0,4.71,0,0,0,68.23,66.91,8.74,75.99,65.03
0224006-075,02,240,06-075,18,43,0,0,1,1,0,15,45,3,22,38
0224006-085,02,240,06-085,16.62,72.36,0,0,0,0,0,20.53,44.98,11.73,30.31,44.98
0224006-090,02,240,06-090,620,157,13,9,1,1,0,578,153,45,581,183
0224009-600,02,240,09-600,1701.53,297.03,52.8,5.98,6.97,0,0,1626.63,304.13,105.69,1613.8,420.68
0224009-608,02,240,09-608,493.01,94,13,0,6,1,0,479.01,91,24,475.01,121
0227536-690,02,275,36-690,827,396,19,17,7,5,1,791,384,77,822,438
0228232-850,02,282,32-850,1.24,1.65,0.25,0.16,0,0,0.08,1.4,1.4,0.49,1.24,2.31
0228232-860,02,282,32-860,173,307,24,8,0,3,0,172,294,36,195,304
0229006-007,02,290,06-007,2.95,122.12,0,0,0,0,0,7.88,108.33,0.98,3.94,113.26
0229006-010,02,290,06-010,6,63,0,1,1,6,0,14,60,3,17,59
0229006-015,02,290,06-015,43.78,35.91,1.53,0.33,0.03,0.03,0.03,43.26,34.39,1.67,43.37,34.14
0229006-023,02,290,06-023,5,30,0,0,0,0,0,19,13,0,17,15
0229006-024,02,290,06-024,0.85,0.37,0,0,0,0,0,0.79,0.38,0,0.81,0.37
0229006-030,02,290,06-030,0.19,0.06,0,0,0,0,0,0.18,0.06,0.01,0.19,0.06
0229006-033,02,290,06-033,65,273,0,1,1,4,0,118,186,12,115,200
0229006-050,02,290,06-050,71.82,8.85,0,0,0,0,0,61,8.85,4.92,66.9,10.82
0229006-054,02,290,06-054,21.18,68.15,0,1,0,1,0,30,54.15,3.08,27.1,57.18
0229006-056,02,290,06-056,309.71,191.86,30.21,1.21,8,2.21,0,316.57,164.14,43.57,312.86,205.57
0229006-070,02,290,06-070,0,19,0,0,0,0,0,4,9,1,4,12
0229006-080,02,290,06-080,29,154,0,1,0,0,0,34,136,4,26,143
0229006-095,02,290,06-095,17.12,44.07,1,1.01,0,0,0,11.12,51.09,3,14.12,48.09
0229037-300,02,290,37-300,18.51,34.67,0.65,3.25,0.21,1.07,0.05,29.19,23.01,3.79,24.68,31.9
0229037-302,02,290,37-302,28.13,48.7,8.4,2.8,0.01,0.93,0,34.68,30.9,19.67,45.91,43.08
0229037-304,02,290,37-304,23.08,64.47,0,0,2,1,0,35.28,45.13,4.1,34.3,51.22
0229037-306,02,290,37-306,92.25,54.06,0,2.56,1.19,0.19,0.38,100.06,39.75,11.94,97.06,49.06
0229037-308,02,290,37-308,9.75,34.94,0,2.44,0.81,0.81,1.62,21.94,29.25,4.06,21.94,34.94
0229037-310,02,290,37-310,6.92,38.53,0,0,0,0,0,22.72,10.87,7.9,24.7,17.78
0229037-312,02,290,37-312,12,5,0,2,0,0,0,10,6,1,8,9
0229039-314,02,290,39-314,93.3,106.2,8.93,2.98,1.99,1.99,0,113.15,92.31,7.94,92.31,121.09
0229039-316,02,290,39-316,11.7,93.8,0.07,3.02,1.01,1.01,1,28.85,78.69,5.06,36.69,76.91
0229039-318,02,290,39-318,20.65,45.79,0,0.9,0,0,0,25.14,32.32,7.18,30.53,34.12
0229039-320,02,290,39-320,1,58,2,0,0,1,1,11,44,8,9,55
0229039-322,02,290,39-322,25.85,95.11,0,0.08,1,0,0,43.26,67.9,6.65,59.74,57.06
0229039-324,02,290,39-324,23,49,0,3,0,0,0,34,36,2,30,45
0229039-942,02,290,39-942,4.36,5.56,0.09,0.09,0.37,0,0.09,4.73,3.15,2.41,5.93,4.91
0229040-326,02,290,40-326,12,77,0,0,0,0,0,24,52,8,22,60
0229040-328,02,290,40-328,16.57,9.75,0,0.97,0,0,0,16.57,11.7,0,15.59,12.67
0229040-330,02,290,40-330,5,52,4,0,1,2,0,17,42,7,22,43
