GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
460110VTD-1,46,011,0VTD-1,192.8,168.4,39.4,8.1,251,135.9,211.2,184.6,254.1,116.7
460110VTD-2,46,011,0VTD-2,293,343,54,10,383,277,322,376,386,237
460110VTD-3,46,011,0VTD-3,309,356,64,13,404,288,340,390,408,246
460110VTD-4,46,011,0VTD-4,677,622,89,17,885,503,744,682,893,430
460110VTD-5,46,011,0VTD-5,1236,933,168,33,1615,754,1359,1023,1630,645
460110VTD-6,46,011,0VTD-6,1101,766,143,28,1439,620,1211,841,1452,530
460110VTD-8,46,011,0VTD-8,409,242,45,9,534,196,450,266,539,167
460110VTD-9,46,011,0VTD-9,388,234,46,9,507,190,426,257,511,162
46011VTD-10,46,011,VTD-10,380,192,37,7,496,155,417,210,501,133
46011VTD-11,46,011,VTD-11,370.4,249.6,62.9,12,484.1,201.6,407.3,273.5,489.1,172.7
46011VTD-12,46,011,VTD-12,187,64,9,2,245,52,206,71,247,45
46011VTD-13,46,011,VTD-13,138.8,84.1,11.7,2,180.8,68.4,152.5,92.9,182.8,58.6
46011VTD-14,46,011,VTD-14,702,415,71,14,917,336,772,455,926,287
46011VTD-15,46,011,VTD-15,95,75,9,2,124,61,104,82,125,52
46011VTD-16,46,011,VTD-16,269,135,32,6,352,109,296,148,355,94
460130VTD-1,46,013,0VTD-1,712,403,78,11,842,355,716,480,872,283
460130VTD-2,46,013,0VTD-2,369,264,42,6,437,232,372,314,452,185
460130VTD-3,46,013,0VTD-3,846.4,462.6,81,11.8,1000.6,406.4,851.4,550.4,1036.2,324.5
460130VTD-4,46,013,0VTD-4,318.4,210.1,47.7,7.1,376.1,184.7,320.4,250.9,390.5,147.9
460130VTD-5,46,013,0VTD-5,236,162,38,5,280,143,238,193,290,114
460130VTD-6,46,013,0VTD-6,1136.6,573.3,93.2,14,1344.2,504.2,1143.6,682.6,1392.4,402.9
460130VTD-7,46,013,0VTD-7,1197.9,530,83.8,12.1,1416.8,466.7,1205.4,631.5,1467.2,372.6
460130VTD-8,46,013,0VTD-8,531,324,69,10,628,285,534,385,650,227
460130VTD-9,46,013,0VTD-9,538.9,239.4,44.6,6.5,637.4,210.7,542.6,284.9,659.7,168
46013VTD-10,46,013,VTD-10,218,157,32,5,258,138,219,187,267,110
46013VTD-11,46,013,VTD-11,318,220.1,40.3,6.2,376.5,193.2,320.2,262.4,389.3,155
46013VTD-12,46,013,VTD-12,589.5,228.9,42.1,6.3,697.3,200.5,594.2,272.2,722.3,160.8
46013VTD-13,46,013,VTD-13,224,151,21,3,265,133,226,180,274,106
46013VTD-14,46,013,VTD-14,137,112,14,2,162,98,138,133,167,78
46013VTD-15,46,013,VTD-15,651,246,48,7,770,216,656,293,798,173
46013VTD-16,46,013,VTD-16,248.3,101.6,20.2,2.9,294,89.8,250.2,121.1,304.4,71.3
46013VTD-17,46,013,VTD-17,328,260,28,4,387,228,330,309,401,182
46013VTD-18,46,013,VTD-18,139,110,12,2,165,96,140,131,170,77
46013VTD-19,46,013,VTD-19,547,372,46,7,647,327,550,443,670,262
46013VTD-20,46,013,VTD-20,79,69,8,1,93,61,79,83,97,49
46013VTD-21,46,013,VTD-21,113.4,138.3,10,2,134.4,121.3,114.4,164.4,139.4,97.2
46013VTD-22,46,013,VTD-22,134.6,117.7,16,2,159.6,103.7,135.6,140.6,165.6,82.8
460150VTD-2,46,015,0VTD-2,87,18,1,2,94,15,83,27,102,8
460150VTD-3,46,015,0VTD-3,764.7,362.9,76,12,893.6,323.9,799.7,413.8,946.6,228.9
460150VTD-5,46,015,0VTD-5,257.4,77.6,19.3,3.9,278.5,85.2,252.6,110.1,295.6,60.1
46015VTD-D2,46,015,VTD-D2,389.1,98.3,26.1,5,414.2,109.4,382.1,141.5,442.3,68.2
46015VTD-D3,46,015,VTD-D3,12.2,3.7,0.9,0.2,13.2,4,12,5.2,14,2.8
46015VTD-D4,46,015,VTD-D4,59,11,2,4,56,18,59,17,65,8
460170VTD-1,46,017,0VTD-1,92,21,3,0,91,26,90,26,97,17
460170VTD-2,46,017,0VTD-2,42,38,0,1,50,32,43,40,44,36
460170VTD-3,46,017,0VTD-3,37,237,15,4,91,199,67,224,33,260
460190VTD-6,46,019,0VTD-6,46.1,1,0,0,44.1,3.8,44.1,3.8,42.2,2.9
460190VTD-8,46,019,0VTD-8,27.3,3.1,1.3,0.2,27,4.4,25.8,5.8,27.6,3.6
46019VTD-11,46,019,VTD-11,62.6,8,0,0,62.6,6,62.6,8.9,62.6,7
46019VTD-12,46,019,VTD-12,80.1,15.1,3,1,87.1,11.2,73,21.2,80.1,18.1
46019VTD-13,46,019,VTD-13,110.7,12.5,5.3,0.8,109.5,17.8,104.5,23.6,112,14.5
46019VTD-14,46,019,VTD-14,302.9,34.3,14.4,2.1,299.4,48.6,285.8,64.4,306.3,39.7
46019VTD-16,46,019,VTD-16,571.4,84.9,36.4,7.3,589,103.7,572.1,119.5,590.6,90.8
46019VTD-17,46,019,VTD-17,293.2,49.7,18.5,2,309.7,51.6,300,64.3,300,49.7
46019VTD-18,46,019,VTD-18,87,23,9,1,94,28,86,34,91,27
46019VTD-20,46,019,VTD-20,181,48,12,2,188,50,175,61,189,45
46019VTD-21,46,019,VTD-21,169.3,36.1,15.2,5.7,171.9,47.8,167.9,50.9,169.1,45.7
46019VTD-22,46,019,VTD-22,131.5,41.8,9,1,133.5,48.8,128.5,50.8,130.5,47.8
46019VTD-23,46,019,VTD-23,190.5,42.5,17,3.2,202,46,199.5,48.5,205.1,36.7
46019VTD-24,46,019,VTD-24,243.6,71.8,18.4,6.8,266.9,68.8,258.1,78.5,266.9,58.2
46019VTD-25,46,019,VTD-25,230,63,17,5,264,46,257,57,262,39
46019VTD-26,46,019,VTD-26,184,35,27,6,196,52,183,63,199,42
46019VTD-27,46,019,VTD-27,192.8,43.3,19.5,2,215.3,40.4,205,52.7,212,37.3
46019VTD-28,46,019,VTD-28,253,83,23,6,286,83,279,87,296,56
460210VTD-1,46,021,0VTD-1,115,29,6,0,134,19,120,32,140,9
460210VTD-2,46,021,0VTD-2,136,19,8,0,147,19,146,16,151,12
460210VTD-3,46,021,0VTD-3,152,20,2,1,155,20,148,27,161,9
460210VTD-4,46,021,0VTD-4,145,23,2,0,152,14,138,29,155,15
460210VTD-5,46,021,0VTD-5,156,14,2,1,152,15,147,23,156,13
460230VTD-1,46,023,0VTD-1,259.8,113.8,11.7,3.9,265.6,117.8,239.4,144,287,93.4
460230VTD-2,46,023,0VTD-2,124.2,49.7,6,3,120.2,63.6,118.2,67.6,142.1,38.8
460230VTD-4,46,023,0VTD-4,73,94,5,1,87,91,82,98,81,96
460230VTD-5,46,023,0VTD-5,211.9,107.1,3.1,0,205.1,113.9,190.8,129.3,226.2,93.7
460230VTD-7,46,023,0VTD-7,85.1,37.2,1,1,88,33.4,79.2,43.1,97.7,21.6
460230VTD-8,46,023,0VTD-8,143,22,7,0,138,30,132,36,155,13
460230VTD-9,46,023,0VTD-9,320.1,51,7,0,329.1,53,312.1,63,341.2,38
460230VTD6B,46,023,0VTD6B,45,45.3,3.6,0,50.8,43.9,41.4,54.2,49,42.6
46023VTD-10,46,023,VTD-10,91,12,3,1,92,9,92,14,101,3
46023VTD-13,46,023,VTD-13,44,24,1,0,44,24,41,28,47,21
46023VTD-3a,46,023,VTD-3a,50.6,32.9,4,0.9,55.6,33.3,48.5,40.9,58.8,29.3
46023VTD-3b,46,023,VTD-3b,132.3,90.5,11.3,2.4,146.8,91.5,127.6,112.1,154.8,81.2
46023VTD-3c,46,023,VTD-3c,106.1,72.6,9,1.9,117.7,73.3,102.3,89.9,124.1,65.1
46023VTD-6a,46,023,VTD-6a,45.2,45.4,3.6,0,51,44.1,41.6,54.5,49.2,42.7
46023VTD-6c,46,023,VTD-6c,9.9,10,0.8,0,11.2,9.7,9.1,11.9,10.8,9.4
46023VTD11a,46,023,VTD11a,150.8,27.4,3.7,0.8,159.9,22.6,150,33.8,167,15.4
46023VTD11b,46,023,VTD11b,242.4,44,6,1.3,257,36.4,241.2,54.3,268.5,24.8
46023VTD11c,46,023,VTD11c,173.6,31.5,4.3,0.9,184,26,172.7,38.9,192.3,17.8
46023VTD12a,46,023,VTD12a,18.5,6.1,1.8,0,20.3,6.1,16.8,10.2,21.6,4.8
46023VTD12b,46,023,VTD12b,5.8,1.9,0.6,0,6.3,1.9,5.2,3.2,6.8,1.5
46023VTD12c,46,023,VTD12c,48.7,16,4.7,0,53.3,16,44,26.7,56.7,12.7
4602500VTD1,46,025,00VTD1,191,60,21,1,206,73,171,109,237,34
4602500VTD2,46,025,00VTD2,283,105,21,1,300,111,274,142,333,60
4602500VTD3,46,025,00VTD3,161,62.8,10.5,4.5,191.9,52.1,161.6,83.4,194.6,36.1
4602500VTD5,46,025,00VTD5,237,59,21,4,269,56,236,86,275,42
46025VTD-W3,46,025,VTD-W3,59,26.2,4.5,2.5,72.1,22.9,59.4,35.6,77.4,11.9
46025VTD4-1,46,025,VTD4-1,101,39,19,2,108,55,95,71,121,37
46025VTD4-2,46,025,VTD4-2,107,46,6,2,122,38,102,57,131,24
46027VTD-C1,46,027,VTD-C1,78,259,23,3,138,222,95,261,136,208
46027VTD-C2,46,027,VTD-C2,74,165,13,4,103,155,98,159,89,150
46027VTD-W1,46,027,VTD-W1,271,121,12,6,309,102,278,138,320,82
46027VTD-W2,46,027,VTD-W2,204,143,22,6,262,111,221,157,269,90
46027VTD-W3,46,027,VTD-W3,472,412,53,6,603,350,496,453,615,299
46027VTDNE1,46,027,VTDNE1,135,150,28,5,192,125,161,153,160,132
46027VTDNE2,46,027,VTDNE2,46,99,16,0,74,86,61,99,57,88
46027VTDNW1,46,027,VTDNW1,219,315,37,7,297,269,244,323,281,257
46027VTDNW2,46,027,VTDNW2,156,187,17,3,209,156,181,182,212,144
46027VTDSE1,46,027,VTDSE1,265,412,43,9,416,327,340,399,416,292
46027VTDSE2,46,027,VTDSE2,189,345,31,8,320,258,252,320,303,248
460290VTD-2,46,029,0VTD-2,855.1,245.7,60.9,7.8,914.4,284.7,811.7,392.5,953.9,181.2
460290VTD-3,46,029,0VTD-3,452.1,148.1,18.5,7.6,471.1,154.4,417.2,205.4,498.6,103.2
460290VTD-5,46,029,0VTD-5,654.8,221.2,42.8,5.6,695.2,229.6,644.7,292.9,749.4,145.9
46029VTD-A1,46,029,VTD-A1,699.1,221.5,49.1,6,808.3,172.4,738.2,249.5,821.4,117.2
46029VTD-A2,46,029,VTD-A2,343,161.5,24.6,8.1,443.1,109,392.6,158.7,464.2,74.8
46029VTD-A3,46,029,VTD-A3,143.4,62.4,9.1,2.1,169.7,48.2,147.6,70,177.6,30.6
46029VTD-A4,46,029,VTD-A4,329.6,143.6,20.9,4.9,390.3,110.8,339.4,161,408.4,70.4
46029VTD-B1,46,029,VTD-B1,304.3,123.4,17.9,3.7,349.3,103.1,319.1,137.6,368.5,67.3
46029VTD-B2,46,029,VTD-B2,478,295,72,10,590,269,503,352,604,220
46029VTD-B3,46,029,VTD-B3,251.6,108.2,26.5,4.3,289.3,98.9,264.6,126,293.1,77.2
46029VTD-B4,46,029,VTD-B4,47.2,19.3,2.9,0.6,54.1,16.1,49.6,21.4,57.4,10.5
46029VTD-C1,46,029,VTD-C1,150.4,64.7,15.9,2.6,172.9,59.1,158.2,75.4,175.2,46.2
46029VTD-C2,46,029,VTD-C2,43.4,24.9,3.5,1,46.5,26.9,42.8,31.7,46.1,25.1
46029VTD-C3,46,029,VTD-C3,315,217,41,9,372,210,336,247,371,170
46029VTD-C4,46,029,VTD-C4,193.7,81.2,16.1,5.2,202.5,91.3,187.2,105.4,209.9,73.8
46029VTD-D1,46,029,VTD-D1,317.2,141.8,22.7,7.8,354.7,140.5,321.4,173.9,392.2,78.7
46029VTD-D2,46,029,VTD-D2,291,146,27,10,341,141,299,183,344,124
46029VTD-D3,46,029,VTD-D3,229.4,112.2,19,4,252.5,116.2,225.4,148.2,282.5,71.1
46029VTD-D4,46,029,VTD-D4,168.3,95.5,13.5,3.7,180.2,103,166,121.7,178.9,95.9
46029VTD-E1,46,029,VTD-E1,406.2,165.4,38.3,13.2,435.5,185.6,385.8,238.2,441.2,138.6
46029VTD-E2,46,029,VTD-E2,254.2,91.9,16,2.3,283.2,84.6,262.7,109.1,297.6,56.3
46029VTD-E3,46,029,VTD-E3,577.8,183.6,25.9,9,630.7,161.7,583.8,212.6,677.6,98.8
46029VTD-E4,46,029,VTD-E4,115.5,41.7,7.3,1,128.7,38.4,119.4,49.5,135.2,25.5
46029VTD-E5,46,029,VTD-E5,143.7,58.3,8.4,1.8,164.9,48.7,150.7,65,174,31.8
46031VTD-AR,46,031,VTD-AR,18.5,4.8,0.7,0.4,19.4,4.9,19,5.1,19.5,3.8
46031VTD-BH,46,031,VTD-BH,5,57,0,1,21,39,16,43,5,56
46031VTD-BU,46,031,VTD-BU,26.8,19.8,3,0.5,31.2,17.8,31.7,16.9,27.2,21.8
46031VTD-CD,46,031,VTD-CD,22,46,5,1,36,37,24,45,19,53
46031VTD-GV,46,031,VTD-GV,59.1,2.8,3.8,0,59.1,3.8,57.2,5.6,56.2,5.6
46031VTD-KN,46,031,VTD-KN,6,54,0,0,10,46,14,45,6,51
46031VTD-LC,46,031,VTD-LC,27.2,20.2,3,0.5,31.8,18.2,32.3,17.1,27.8,22.2
46031VTD-LE,46,031,VTD-LE,17,78,5,1,31,70,31,69,23,76
46031VTD-LO,46,031,VTD-LO,76.9,3.2,0.2,1,73.9,6.2,75.8,6.4,75.8,5.4
46031VTD-MI,46,031,VTD-MI,109.5,28.2,4.3,2.6,114.7,29.1,112.1,30,115.5,22.2
46031VTD-MT,46,031,VTD-MT,99,14,2,3,90,25,86,27,93,15
46031VTD-RL,46,031,VTD-RL,49,13,0,0,50,13,50,13,47,14
46031VTD-SM,46,031,VTD-SM,66,113,5,4,88,95,70,112,68,118
46031VTD-WK,46,031,VTD-WK,6,81,2,3,24,69,12,77,6,86
46033VTD-BG,46,033,VTD-BG,132,54,5,3,137,54,134,58,128,59
46033VTD-BR,46,033,VTD-BR,843.5,304.4,63.9,20,916.4,321.4,897.4,346.4,913.4,291.5
46033VTD-EM,46,033,VTD-EM,126.6,27.6,6.1,1,121.8,34.6,123.7,33.7,119.8,31.6
46033VTD-FB,46,033,VTD-FB,114,20,6,0,113,27,116,26,115,24
46033VTD-HE,46,033,VTD-HE,706,163,44,6,722,185,705,212,735,155
46033VTD-PR,46,033,VTD-PR,240,96,12,6,246,109,240,118,240,108
46033VTD-SD,46,033,VTD-SD,508.1,163.5,34.9,1.4,540.6,162.8,528.8,178.7,527.4,159.2
46033VTD6-1,46,033,VTD6-1,249.9,115,25,6,284.9,111,269.9,124.9,282.9,106
46033VTD7-1,46,033,VTD7-1,135.9,51.6,21.1,2,166,55.6,159,61.6,154.9,55.6
46033VTD8-1,46,033,VTD8-1,95.7,50.9,15.3,2.2,114.1,47.1,109.6,52,117.4,38.9
46033VTD8-2,46,033,VTD8-2,141.3,75,22.6,3.3,168.3,69.5,161.7,76.7,173.2,57.4
460350000C4,46,035,0000C4,253.4,79.5,14.4,5.3,282.8,70.3,254.1,101.6,292,53.2
460350VT-14,46,035,0VT-14,212.5,123.1,15.5,6.8,248.2,108.7,206.8,152,255.1,93.1
460350VTD10,46,035,0VTD10,249,133,17,6,282,121,250,156,317,83
460350VTD11,46,035,0VTD11,250,139,19,4,305,113,266,152,332,78
460350VTD12,46,035,0VTD12,146.9,80.5,11.2,0.8,181.8,62.7,155.6,87.1,182.2,54.8
460350VTD13,46,035,0VTD13,207.1,113.5,15.8,1.2,256.2,88.3,219.4,122.9,256.8,77.2
460350VTD15,46,035,0VTD15,357,174.2,29.9,3,401.9,164.2,352,220,453.6,104.6
460350VTD16,46,035,0VTD16,211,133,17,4,277,93,219,146,269,81
460350VTD17,46,035,0VTD17,5,3.5,0.3,0.2,6.5,2.6,5.2,3.8,6.6,2.2
460350VTD18,46,035,0VTD18,187,129.5,11.7,6.8,241.5,95.4,195.8,142.2,246.4,80.8
460350VTD19,46,035,0VTD19,285.2,132.2,26.4,9.2,339,115.9,289.3,167.8,373.3,78.4
46035VTD-06,46,035,VTD-06,327.9,154.1,13,3.1,393.4,110.1,348.7,153.4,423,72.9
46035VTD-07,46,035,VTD-07,179.3,86.7,6.9,1.6,216.3,61.2,191.5,85.1,233.3,40.2
46035VTD-08,46,035,VTD-08,280,134,25,6,342,108,293,150,351,89
46035VTD-09,46,035,VTD-09,252.9,139.9,29.2,5.1,307.2,117.8,260.9,162.1,320.3,96.6
46035VTD-20,46,035,VTD-20,485.1,243.2,35,11.3,570.3,214.7,512.7,276.2,616.6,146.8
46035VTD-C1,46,035,VTD-C1,219,62,6,1,228,59,205,83,252,33
46035VTD-C2,46,035,VTD-C2,311,52,17,3,315,71,290,97,340,44
46035VTD-C3,46,035,VTD-C3,472,151,25,8,521,138,467,193,570,82
46035VTD-C5,46,035,VTD-C5,265.7,91.2,13.7,4.7,301.8,75.1,270.9,107.7,314.9,54.3
460370VTD-5,46,037,0VTD-5,62.6,46.3,3.9,1.3,77,45,67.2,55.5,79,37.2
460370VTD-6,46,037,0VTD-6,103.6,98.5,6.8,2.5,118.1,97.7,96,118.9,125.7,82.4
46037VTD-AT,46,037,VTD-AT,79,25,1,2,93,17,75,34,80,25
46037VTD-BR,46,037,VTD-BR,141,78,20,2,162,83,146,99,180,43
46037VTD-BW,46,037,VTD-BW,130.2,56.2,8.2,3.1,143.1,55.9,134.4,64.6,152.3,32.3
46037VTD-FP,46,037,VTD-FP,100,84,3,2,114,74,100,89,135,47
46037VTD-GK,46,037,VTD-GK,109,75,9,1,113,81,98,95,126,54
46037VTD-LT,46,037,VTD-LT,78,45,6,3,84,53,73,61,95,38
46037VTD-RR,46,037,VTD-RR,124,66,10,6,127,76,108,93,149,45
46037VTD-RW,46,037,VTD-RW,108.9,57.9,4,2,116.9,54.9,106.9,67.9,122.9,45
46037VTD1w1,46,037,VTD1w1,158,87,18,1,179,86,166,101,197,56
46037VTD2w2,46,037,VTD2w2,117,66.8,6,0,126.3,60.2,102.3,82.2,133,39.4
46037VTD2W3,46,037,VTD2W3,60.1,34,3.1,0,64.9,30.7,52.9,41.8,68.4,20.1
46037VTD3W3,46,037,VTD3W3,101.8,52.8,6.3,0.1,111.8,53.5,94,70.2,127.1,30.6
46037VTD4W1,46,037,VTD4W1,102,59.2,7.3,2.7,123,52.8,107.5,68.3,129.4,34.6
46037VTD5W1,46,037,VTD5W1,12.1,8.9,0.8,0.2,14.9,8.7,13,10.7,15.3,7.2
46037VTD5W2,46,037,VTD5W2,21.2,15.7,1.3,0.4,26.1,15.3,22.8,18.8,26.8,12.6
46037VTD6W3,46,037,VTD6W3,18.4,17.5,1.2,0.4,20.9,17.3,17,21.1,22.3,14.6
460390VTD-1,46,039,0VTD-1,90,43,13,1,110,39,97,52,112,25
460390VTD-3,46,039,0VTD-3,202,76,15,2,223,73,202,90,231,59
460390VTD-4,46,039,0VTD-4,102.5,63.5,12.7,2,134.7,46.9,122,60.5,142.5,29.3
460390VTD-5,46,039,0VTD-5,99,58,16,3,118,59,104,74,139,36
460390VTD-6,46,039,0VTD-6,112,61,13,4,147,49,130,66,153,37
460390VTD-7,46,039,0VTD-7,140,37,6,3,142,45,133,55,157,26
460390VTD-8,46,039,0VTD-8,168,71,9,6,184,69,163,90,193,58
460390VTD-9,46,039,0VTD-9,209.5,54.5,13.3,3,221.3,63.1,199,87.5,228.5,48.7
46039VTD-10,46,039,VTD-10,111,50,7,1,136,35,123,52,143,25
46039VTD-11,46,039,VTD-11,132,56,12,2,147,55,128,72,151,47
460410VTD-2,46,041,0VTD-2,37,3,0,1,38,3,40,1,41,0
460410VTD-3,46,041,0VTD-3,33.6,9.6,2.8,0.3,35.9,10.2,32.8,13,34.1,10.3
460410VTD-4,46,041,0VTD-4,204.4,58.4,17.2,1.7,218.1,61.8,199.2,79,206.9,62.7
460410VTD-5,46,041,0VTD-5,39,17,5,0,43,18,40,21,39,19
460410VTD-6,46,041,0VTD-6,114,24,3,1,111,30,106,36,114,22
460410VTD-7,46,041,0VTD-7,32.4,206.5,10.2,7.1,66.1,186.9,39.4,209.8,22.3,224.9
460410VTD-8,46,041,0VTD-8,7.1,46,3.5,0.9,13.3,44.2,10.6,46,5.3,51.3
460410VTD-9,46,041,0VTD-9,31.9,39,5.5,1.1,32.7,41.8,32.4,42,26.7,47.7
46041VTD-10,46,041,VTD-10,16.1,51.6,0,4,21.8,46.8,20.2,50,13.7,55.6
46041VTD-11,46,041,VTD-11,3.9,12.4,0,1,5.2,11.2,4.8,12,3.3,13.4
46041VTD-12,46,041,VTD-12,15.9,29.8,1.5,0.6,20.9,26.3,15.9,31.9,15.4,32.3
46041VTD-13,46,041,VTD-13,47.8,90,4.4,1.9,62.9,79.3,47.8,96.3,46.6,97.6
46041VTD-14,46,041,VTD-14,67,199,13,3,103,178,74,207,63,211
46041VTD-15,46,041,VTD-15,72.9,101.7,4.9,2.4,90.1,95.5,70.9,114,70.7,113.3
460430VTD-1,46,043,0VTD-1,341,27,6,2,345,33,332,43,349,18
460430VTD-2,46,043,0VTD-2,252,51,5,1,255,50,248,58,275,25
460430VTD-3,46,043,0VTD-3,225,38,10,3,220,53,207,68,230,38
460430VTD-4,46,043,0VTD-4,245,69,13,3,270,64,256,79,288,38
460430VTD-5,46,043,0VTD-5,275,29,7,3,287,28,291,29,285,20
46045000001,46,045,000001,321,98,15,2,339,94,302,127,352,66
46045000002,46,045,000002,282,84,17,7,302,86,285,105,311,60
46045000003,46,045,000003,241,48,9,3,249,52,226,74,264,26
46045000004,46,045,000004,183,58,25,3,193,73,180,88,213,40
46045000005,46,045,000005,295,53,12,4,316,53,294,75,313,37
46045000006,46,045,000006,111,39,8,0,118,38,107,51,129,25
46047VTD-BE,46,047,VTD-BE,122,9,7,0,113,20,118,18,114,15
46047VTD-CA,46,047,VTD-CA,122.8,32.9,3,5,122.8,35.9,125.8,32.9,123.8,33.9
46047VTD-E1,46,047,VTD-E1,18.9,3.7,1.3,0.3,19.8,4.3,19,5.2,18.3,4.9
46047VTD-E2,46,047,VTD-E2,31.7,6.3,2.2,0.5,33.2,7.3,32,8.8,30.9,8.3
46047VTD-E3,46,047,VTD-E3,4.4,0.9,0.3,0.1,4.7,1,4.5,1.2,4.3,1.2
46047VTD-EA,46,047,VTD-EA,358,71.1,25.1,6.1,375.4,82.4,361.5,99.7,348.5,93.6
46047VTD-H1,46,047,VTD-H1,238.4,106.8,22,10.6,250.8,120.9,243.7,127.1,231.4,128.8
46047VTD-H2,46,047,VTD-H2,292.1,134.2,16.9,7,319,128.2,308,132.2,311,124.2
46047VTD-H3,46,047,VTD-H3,256.8,143.4,29.3,4.1,307,130.6,289.9,136.7,291.8,122.7
46047VTD-H4,46,047,VTD-H4,199.9,96.5,20.9,8,226.7,103.4,218.8,110.4,202.8,111.4
46047VTD-JA,46,047,VTD-JA,688.8,203.2,34.9,19.4,716.5,219.9,696.6,241.7,690,225.9
46047VTD-OA,46,047,VTD-OA,134.2,10.9,2.3,3,138.1,11.6,134.3,16.9,131.9,14.8
46047VTD-OE,46,047,VTD-OE,43.1,3.2,0.7,1,44.4,3.4,43.1,5.1,42.4,4.4
460490VTD-1,46,049,0VTD-1,139,38,10,3,142,43,136,54,153,31
460490VTD-2,46,049,0VTD-2,81,8,1,0,84,9,76,18,86,4
460490VTD-3,46,049,0VTD-3,109,23,4,1,119,19,113,24,112,19
460490VTD-4,46,049,0VTD-4,74,18,2,1,76,20,67,30,78,15
460490VTD-5,46,049,0VTD-5,83,16,4,0,87,17,78,27,91,10
460490VTD-6,46,049,0VTD-6,372,101,24,6,417,98,368,148,421,75
460510VDT46,46,051,0VDT46,146,51.7,4.9,5.8,146.3,59.2,133.6,73.9,174.5,26
460510VTD41,46,051,0VTD41,319.9,163.8,28.9,1,363,166.5,331.1,200.4,377.7,125.1
460510VTD42,46,051,0VTD42,232.2,89.2,11.3,3.4,266.2,72.5,238.1,102.3,281.1,47.4
460510VTD43,46,051,0VTD43,459.3,138.5,36.1,7,497.5,140.4,483.4,155.6,508.6,109.3
460510VTD44,46,051,0VTD44,412.4,151.4,22.9,7.1,455,140.9,409.1,188.8,458.5,109.4
46051VTD2-1,46,051,VTD2-1,323.2,157.4,22,5,382.4,128.3,343.2,167.5,402.4,93.2
46051VTD2-2,46,051,VTD2-2,489,218.9,48.9,6.6,594.6,182.2,528.6,244.5,624.2,120.6
