GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33015STRM01,33,015,STRM01,1856.5,2402.3,201.6,33.3,4.6,77.8,2195.9,2255,49.2,57.6,0,2309.7,2057.5,131.7,0.1
33015WNDM01,33,015,WNDM01,4825.2,3507.2,372,46,10,130,5224.9,3382.8,102.1,148.3,6,5445.4,2999.2,261.4,24
33015ZZZZZZ,33,015,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330170LEE01,33,017,0LEE01,822.6,1627.2,123.8,32.9,5,52.9,969.3,1587.3,39.9,47.9,3,963.4,1529.4,111.8,0
33017BARR01,33,017,BARR01,2456.5,2363,307.4,64.7,4,45.8,2526.1,2485.3,99.5,153.2,2,2505.2,2356,309.4,6
33017DOVE01,33,017,DOVE01,684,1738.4,129.7,45.7,4.7,46.6,757.7,1753.3,49.5,60.6,4.7,777.3,1688.9,121.3,5.6
33017DOVE02,33,017,DOVE02,877,1927.9,145.7,43.2,1.1,1,945.6,1948.7,55.6,75.5,0,984,1832.4,124.2,0
33017DOVE03,33,017,DOVE03,1293.8,1954.2,139.2,28.8,5.9,45.2,1443.6,1903.5,50.8,54.9,1.1,1434.2,1841.8,108.2,0.2
33017DOVE04,33,017,DOVE04,1128.4,1726.9,149.9,21.6,2,54.9,1221.4,1733.7,43.1,50.9,3.9,1194,1684.8,122.4,10.8
33017DOVE05,33,017,DOVE05,954.3,1388.3,139.6,29.2,2,54,1034.5,1399.3,58.2,61.3,4,1030.7,1359.9,117.5,10
33017DOVE06,33,017,DOVE06,1078.1,1376.1,109.7,14.3,5.3,42.4,1140.8,1356.7,37.8,52.6,2.3,1143.4,1296.9,90.1,7.4
33017DURH01,33,017,DURH01,2450.2,6501.4,455,119,5,101,2967.2,6287.4,128,78,12,2913.2,5896.3,275,25
33017FARM01,33,017,FARM01,1785.4,1127.3,153.9,30,4,47.1,1630.4,1296.2,61.1,112,8,1656.5,1206.2,167,17
33017MADB01,33,017,MADB01,422,632,67,10,0,19,472,636,24,22,1,474,622,36,0
33017MIDD01,33,017,MIDD01,594.3,285.3,23.7,4.9,2,14.8,522.2,338.6,22.7,29.6,2,500.5,320.8,64.2,3
33017MILT01,33,017,MILT01,1345.2,849.8,94.3,20,1,49.1,1245.3,950.5,57.2,74.3,1,1279,886.3,114.7,10
33017NDUR01,33,017,NDUR01,974.1,574,68.5,12.9,2,29.8,939.4,645.5,28.8,31.8,2,932.4,608.8,94.3,3
33017ROCH01,33,017,ROCH01,1407,1071,134,21,2,49,1319,1179,53,104,2,1330,1121,144,6
33017ROCH02,33,017,ROCH02,1434.9,1158.1,147.9,15.2,1,33.4,1405.4,1223.8,50.5,71.6,0,1423.5,1149.4,137.1,7.1
33017ROCH03,33,017,ROCH03,1373.2,1021,131.2,27.1,1,42.2,1306.8,1115.6,63.1,85.2,3,1315.8,1064.2,146.4,9
33017ROCH04,33,017,ROCH04,1171.9,1032.1,101.4,24.6,4.9,46.3,1088.2,1148.3,52.2,79.8,2,1099.1,1084.3,135.9,7.9
33017ROCH05,33,017,ROCH05,1388,1034,117,13,2,44,1224,1202,64,73,0,1300,1069,132,8
33017ROCH06,33,017,ROCH06,1017.6,954.5,110.7,25.2,0,40.3,896,1061.4,49.4,109.6,4,936,975.9,153,9.1
33017ROLL01,33,017,ROLL01,712.7,776.7,83.5,18.2,1,25.9,741.9,807.7,30.2,39.3,2,755.1,771.2,62.4,3
33017SOME01,33,017,SOME01,624,683,67,11,3,21,635,694,36,31,0,620,682,69,4
33017SOME02,33,017,SOME02,484.5,519.3,33.8,15.9,0,26.8,454.7,563,22.8,25.8,1,467.6,526.2,51.6,3
33017SOME03,33,017,SOME03,509.3,497,44.7,6.9,0,11.9,470,534.5,24.8,29.8,0,483.8,513.6,44.7,4
33017SOME04,33,017,SOME04,437,533,38,10,1,1,407,566,24,21,0,423,527,51,0
33017SOME05,33,017,SOME05,328.4,405.5,32.2,15,1,23,286.5,454.6,16.1,37.1,2,308.5,411.5,51.1,1
33017STFD01,33,017,STFD01,1282.7,1106.4,105.9,12.9,1,50.5,1333.1,1119.3,37.6,40.6,2,1292.5,1116.3,90.1,4
33019ACWO01,33,019,ACWO01,240,274,10,17,11,15,234,298,11,20,1,242,283,25,2
33019CHAR01,33,019,CHAR01,1159,1041,92,20,5,69,1100,1143,52,78,1,1070,1136,122,5
33019CLAR01,33,019,CLAR01,710.2,711.2,80.5,22.9,2,44.7,674.5,746,45.7,69.5,5,691.4,696.3,111.2,6
33019CLAR02,33,019,CLAR02,1043.8,978.8,91.5,28.1,0,40.3,985.5,1074,45.3,75.5,4,1050.7,985.7,99.8,1
33019CLAR03,33,019,CLAR03,925.1,838.2,63.9,14,0,40,847.2,913.1,39,53,2,884.2,871.2,70.9,6
33019CORN01,33,019,CORN01,400.7,570.5,35,7,0,58,430.6,570.6,25,17,0,430.6,551.5,38,2
33019CROY01,33,019,CROY01,271.3,126.4,19,4,0,13,261.4,137.4,9,18,1,242.3,150.4,28,2
33019GOSH01,33,019,GOSH01,260,153,16,8,1,14,247,177,9,12,0,242,164,20,3
33019GRAN01,33,019,GRAN01,699,1265,54,16,2,60,834,1214,21,25,1,855,1162,48,4
33019LANG01,33,019,LANG01,196.4,183.7,8,1,0,4,193.4,185.8,2,6,0,201.4,178.7,6,0
33019LEMP01,33,019,LEMP01,428,226,16,10,0,5,405,250,3,10,0,388,231,20,0
33019NEWP01,33,019,NEWP01,1665,1085,125,25,4,70,1555,1203,79,101,0,1600,1122,169,9
33019PLFD01,33,019,PLFD01,458,957,61,12,0,29,511,926,22,25,2,528,888,49,0
33019SPRI01,33,019,SPRI01,437.7,368.4,45.4,7.3,0,12.7,449.3,373.6,14.7,24.5,1,437.8,361.2,45.2,2
33019SUNA01,33,019,SUNA01,1042.4,926.7,82.9,23,2,44.9,1133.3,904.7,47.9,42.9,3,1120.3,890.7,88.8,6
33019UNIT01,33,019,UNIT01,473,281,29,13,1,16,403,331,20,27,2,401,334,33,6
33019WASH01,33,019,WASH01,400,247,29,10,0,19,401,268,14,14,0,397,258,22,3
