GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33005KEEN01,33,005,KEEN01,1374.59,472.72,24.74,1296.86,380.52,67.23,2.1,929.37,768.37,44.04,3.03
33005KEEN02,33,005,KEEN02,1851.28,715.88,47.96,1872.78,626.27,75.91,1,1397.3,1165.25,56,2.01
33005KEEN03,33,005,KEEN03,1690.32,797.79,38.89,1762.12,701.06,47.87,0,1221.62,1240.57,35.9,1.99
33005KEEN04,33,005,KEEN04,1921,920,60,2000,785,81,8,1406,1394,50,5
33005KEEN05,33,005,KEEN05,2130.1,861.66,50.36,2197.03,739.56,63.9,2.9,1543.21,1402.05,59.05,0.97
33005MRLB01,33,005,MRLB01,815.65,450.42,22.52,853.62,396.3,31.5,2,546.59,695.55,26.37,0.03
33005MRLW01,33,005,MRLW01,277,207,12,289,184,14,0,196,284,8,0
33005NELS01,33,005,NELS01,274.68,163.81,11.99,288.67,151.82,9.99,1,222.74,207.76,5.99,0
33005RICH01,33,005,RICH01,297.3,417.78,14.15,312.79,378.17,18.17,4,201.43,491.39,17.14,1.02
33005RIND01,33,005,RIND01,1441.28,2141.41,70.92,1506.21,1984.6,120.85,2,928.9,2575.89,67.92,4
33005ROXB01,33,005,ROXB01,92.35,51.33,0.12,95.26,42.54,1.15,0,71.19,62.96,2.05,0.01
33005STOD01,33,005,STOD01,419.32,430.19,0.01,463.33,396.18,20.01,0,353.26,554.24,12.01,0
33005SULL01,33,005,SULL01,216.12,186.07,10,235.12,153.05,14,0,139.09,248.08,10,2
33005SURR01,33,005,SURR01,305.77,249.36,4.03,328.52,206.92,10.92,0,206.4,336.89,5,0.01
33005SWAN01,33,005,SWAN01,1984.66,1742.5,58.31,2174.43,1521.1,58.31,0.99,1279.95,2376.05,44.48,5.93
33005TROY01,33,005,TROY01,532.31,606.07,25.64,580.22,517.19,39,0,334.44,782.65,24.89,2.28
33005WALP01,33,005,WALP01,1477.65,840.56,43.14,1528.17,750.58,69.31,3,1003.16,1290.8,42.15,3
33005WEST01,33,005,WEST01,660,453,20,709,388,23,2,467,630,14,0
33005WINC01,33,005,WINC01,987.37,989.08,45.04,1090.49,815.87,68.07,0,692.93,1223.44,51.05,0
33007ATGT01,33,007,ATGT01,0.42,1.01,0.02,0.51,0.91,0.01,0,0.18,1.26,0,0
33007BERL01,33,007,BERL01,407.61,351.6,12.53,461.33,280.03,23.16,0,262.18,483.55,18.42,0
33007BERL02,33,007,BERL02,1196.78,1032.34,36.79,1354.53,822.19,68,0,769.79,1419.74,54.07,0
33007BERL03,33,007,BERL03,542.62,468.06,16.68,614.14,372.78,30.83,0,349.02,643.71,24.52,0
33007BGRT01,33,007,BGRT01,0,0,0,0,0,0,0,0,0,0,0
33007BPUR01,33,007,BPUR01,0,0,0,0,0,0,0,0,0,0,0
33007CAMB01,33,007,CAMB01,3,4,0,3,4,0,0,0,7,0,0
33007CARR01,33,007,CARR01,266,267,5,300,228,8,0,159,371,4,0
33007CHAN01,33,007,CHAN01,0,0,0,0,0,0,0,0,0,0,0
33007CLAR01,33,007,CLAR01,72.55,111.27,3.03,80.9,96.01,5.88,0,38.98,136.12,8.75,0.02
33007COLE01,33,007,COLE01,418.02,630.01,26,475.02,556.01,19,0,239.01,808.02,9,0
33007COLU01,33,007,COLU01,114.21,235.18,2,148.22,198.15,8.01,0,70.12,287.26,7.01,0
33007CRAW01,33,007,CRAW01,0,0,0,0,0,0,0,0,0,0,0
33007CUTT01,33,007,CUTT01,0,0,0,0,0,0,0,0,0,0,0
33007DALT01,33,007,DALT01,236.84,300.97,2.22,271.78,262.83,13.27,0,141.74,379.02,10.11,0
33007DIXG01,33,007,DIXG01,0,0,0,0,0,0,0,0,0,0,0
33007DIXV01,33,007,DIXV01,4.98,0,0,3.98,1,0,0,1,3.98,0,0
33007DUMM01,33,007,DUMM01,68.11,114.39,4.04,83.35,95.16,6.03,0,53.65,129.85,3.03,0
33007ERRO01,33,007,ERRO01,71.05,144.15,1,79.07,131.14,2,0,29,183.21,3,0
33007ERVI01,33,007,ERVI01,0,0,0,0,0,0,0,0,0,0,0
33007GORH01,33,007,GORH01,903.99,747.99,29,1011.99,615.99,37,0,564.99,1064.99,29,1
33007GRGT01,33,007,GRGT01,1,0,0,1,0,0,0,0,1,0,0
33007HADL01,33,007,HADL01,0,0,0,0,0,0,0,0,0,0,0
33007JEFF01,33,007,JEFF01,257,394,11,302,331,16,0,162,489,6,0
33007KILK01,33,007,KILK01,0,0,0,0,0,0,0,0,0,0,0
33007LANC01,33,007,LANC01,816.96,873.96,34,900.96,766.96,40,0,489.98,1188.94,35,5
33007LOWB01,33,007,LOWB01,0,0,0,0,0,0,0,0,0,0,0
33007MART01,33,007,MART01,0,0,0,0,0,0,0,0,0,0,0
33007MILA01,33,007,MILA01,343.85,435.55,11.96,418.6,362.79,10.96,0,203.32,576.08,9.97,0
33007MILL01,33,007,MILL01,4.95,15.84,0,6.93,14.85,0,0,0,21.78,0,0
33007NORU01,33,007,NORU01,424.04,614.04,18,516.04,504.04,15,0,237.02,795.06,11,0
33007ODEL01,33,007,ODEL01,0,0,0,0,0,0,0,0,0,0,0
33007PINK01,33,007,PINK01,1,0,0,1,0,0,0,1,0,0,0
33007PITB01,33,007,PITB01,155.96,374.23,6.91,189.43,334.79,3.02,0,65.27,466.77,1.1,0.98
33007RAND01,33,007,RAND01,186,83,8,200,74,1,0,128,143,1,0
33007SARG01,33,007,SARG01,0,0,0,0,0,0,0,0,0,0,0
33007SECO01,33,007,SECO01,0,0,0,0,0,0,0,0,0,0,0
33007SHEL01,33,007,SHEL01,131,122,1,137,108,4,0,85,160,3,0
33007STAR01,33,007,STAR01,106.04,188.06,1,135.05,148.05,7,0,61.03,227.07,4,1
33007STEW01,33,007,STEW01,118.06,292.49,5.04,156.16,235.3,7.09,0,65.57,327.85,2.14,1
33007STRT01,33,007,STRT01,158.79,139.82,1,171.77,119.84,6.99,0,89.88,198.74,6.99,1
33007SUCC01,33,007,SUCC01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0
33007THOM01,33,007,THOM01,0,0,0,0,0,0,0,0,0,0,0
33007WENL01,33,007,WENL01,4,13.01,1,4,14,0,0,3,15.01,0,0
33007WHIT01,33,007,WHIT01,625.16,663.03,20.78,724.22,544.17,29.73,0,396.26,879.98,13.89,0
33009ALEX01,33,009,ALEX01,487.62,702.98,25.63,546.86,614.76,40.8,4.42,295.22,879.67,28.75,2.21
33009ASHL01,33,009,ASHL01,623.04,554.61,23.65,670.37,485.62,26.63,2.96,376.73,781.31,18.71,0.99
33009BATH01,33,009,BATH01,261.41,356,11.1,290.65,314.65,12.17,0,172.41,434.93,11.08,0
33009BENT01,33,009,BENT01,89,143,3,104,119,8,0,46,179,8,0
33009BETH01,33,009,BETH01,1022.75,621.69,30.06,1076.91,553.49,40.08,4,695.04,912.39,35.05,3.01
33009BRID01,33,009,BRID01,398.24,511.4,18.16,435.85,484.88,13.08,1.19,251.45,659.36,10.09,1.23
33009BRIS01,33,009,BRIS01,775.85,917.48,26.84,831.53,827.27,45,3.69,456.6,1214.91,25.77,5.48
33009CAMP01,33,009,CAMP01,1101.62,948.18,44.26,1186.21,855.72,40.33,2.95,701.3,1335.72,35.41,0.98
33009CANA01,33,009,CANA01,1162,890,34,1217,805,37,0,741,1291,24,0
33009DORC01,33,009,DORC01,127.33,162.75,4.96,136.13,148.79,8.01,0,84.94,199.03,6.3,2.1
33009EASN01,33,009,EASN01,167,64,3,160,64,7,0,127,98,8,0
33009ELLS01,33,009,ELLS01,44.99,31.99,1,44.99,26.99,4,0,31.99,42.99,1,0
33009ENFI01,33,009,ENFI01,1781.14,931.44,58.07,1830.18,849.33,67.11,2,1187.07,1515.44,40.08,1
33009FRCA01,33,009,FRCA01,541.99,247.99,11,450.99,243.99,17,0,378.99,417.99,9,0
33009GRAF01,33,009,GRAF01,348.33,427.75,16.24,373.72,377.3,32.26,1.01,215.09,550.03,21.2,1.01
33009GROT01,33,009,GROT01,151.15,218.26,6.3,165.35,192.47,7.79,0.08,97.79,264.4,8.03,0.86
33009HANO01,33,009,HANO01,6233.45,848.37,66.35,6050.45,917.92,87.7,2,5037.57,1754.82,76.31,2.02
33009HAVE01,33,009,HAVE01,922.08,1176.3,38.88,1017.78,1038.73,59.81,0,558.25,1511.22,33.89,1
33009HEBR01,33,009,HEBR01,239.8,268.14,14.04,257.89,256,10.06,0.01,122.49,391.42,4.05,1
33009HOLD01,33,009,HOLD01,871.29,557.04,21.54,887.93,541.37,22.52,0,605.01,825.28,13.71,0.98
33009LAND01,33,009,LAND01,137.65,169.23,4.4,146.07,140.88,7.86,0.03,86.36,196.25,2.4,0.07
33009LEBA01,33,009,LEBA01,1996.55,627.63,29.65,1996.55,589.08,59.3,0,1495.43,1091.18,26.69,1.98
33009LEBA02,33,009,LEBA02,1815.2,603.74,36.86,1830.15,539.98,65.75,1,1294.15,1079.96,42.84,1
33009LEBA03,33,009,LEBA03,2055.66,713.82,33.07,2072.68,660.69,55.14,1,1524.78,1207.61,38.08,1
33009LINC01,33,009,LINC01,513,397,13,531,361,20,0,265,630,12,0
33009LISB01,33,009,LISB01,341.35,416.77,11.6,382.93,348.12,25.14,0.97,215.64,534.75,11.6,1.93
33009LITT01,33,009,LITT01,1550.9,1501.1,50.8,1694.34,1327.78,74.71,0,921.38,2121.66,42.83,4.98
33009LIVE01,33,009,LIVE01,0,0,0,0,0,0,0,0,0,0,0
33009LYMA01,33,009,LYMA01,178.36,212.22,3.14,180.77,197.74,9.21,0,120.59,257.97,9.12,1.01
33009LYME01,33,009,LYME01,1077.47,222.1,13.13,1073.67,219.8,10.23,4,871.35,402.06,7.17,1.07
33009MONR01,33,009,MONR01,227.51,309.7,8.02,249.57,269.62,0.02,1,148.34,378.85,9.02,0
33009ORAN01,33,009,ORAN01,80,110,6,91,96,5,0,57,127,7,0
33009ORFO01,33,009,ORFO01,539,269,15,552,259,10,1,399,415,9,0
33009PIER01,33,009,PIER01,240.54,193.63,4.99,250.52,182.65,6.99,0,150.71,281.46,5.99,2
33009PLYM01,33,009,PLYM01,2211.57,1124.14,77.73,2248.58,940.52,144.13,0,1528.38,1691.45,93.42,0.02
33009RUMN01,33,009,RUMN01,394.54,507.13,18.28,417.64,470.56,19.25,1.92,270.41,619.72,17.32,0.96
33009SUGA01,33,009,SUGA01,316,153,16,322,156,6,0,231,247,4,0
33009THOR01,33,009,THOR01,976.15,752.64,36.73,1025.55,674.12,47.66,1.05,584.56,1109.03,29.58,1.02
33009WARR01,33,009,WARR01,189,275,14,230,215,23,1,123,339,14,0
33009WATE01,33,009,WATE01,281.84,160.34,5.58,286.7,157.59,5.76,0.18,170.41,270.41,5.23,0
33009WENT01,33,009,WENT01,281.24,324.3,13.04,266.31,328.21,19.07,0,155.82,445.68,14.05,2.02
33009WOOD01,33,009,WOOD01,480.24,364.18,14.01,524.25,306.16,15.01,2,263.14,568.27,21.01,0
33011AMHE01,33,011,AMHE01,4708.29,3151.37,130.69,4777.82,3045.67,144.55,5.89,2859.31,4871.93,103.17,17.65
33011ANTR01,33,011,ANTR01,764.78,783.45,35.2,842.05,676.94,52.34,0,537.43,1011.73,24.16,2
33011BEDF01,33,011,BEDF01,7569.57,7091.34,168.21,7909.64,6661.96,193.36,10.08,4104.61,10546.91,100.25,25.95
33011BENN01,33,011,BENN01,375.72,400.47,13.24,403.84,342.09,24.64,0,265.56,492.71,19.77,0.95
33011BRKL01,33,011,BRKL01,1894.36,1639.52,77.65,1929.2,1564.86,108.51,0,1096,2433.9,49.77,0
33011DRNG01,33,011,DRNG01,454.68,659.36,25.59,487.15,592.44,38.38,1.97,287.37,822.73,15.75,1.97
33011FRNT01,33,011,FRNT01,620.96,563.93,27,638.09,544.08,22.72,0,420.16,743.67,24.28,0.08
33011GOFF01,33,011,GOFF01,4953.2,5025.99,182.49,5318.18,4561.29,196.45,2.99,2706.46,7263.76,122.66,7.98
33011GRFD01,33,011,GRFD01,526.12,464.1,14.95,547.14,435.92,19,0,355.16,632.92,8.09,1.98
33011GRNV01,33,011,GRNV01,501.76,533.2,21.08,526.83,484.09,35.11,0,305.55,722.46,25.05,1.01
33011HANC01,33,011,HANC01,869.96,405.65,14.91,380.79,368.86,39.77,0,654.21,601.51,12.93,0.99
33011HILS01,33,011,HILS01,1477.6,1726.94,79.16,1587.77,1524.52,132.2,0.03,956.58,2219.98,61.06,1.03
33011HOLL01,33,011,HOLL01,3222.7,2427.24,78.69,3277.81,2322.94,108.19,2.95,1971.72,3522.88,55.09,2.95
33011HUDS01,33,011,HUDS01,6651.63,7745.31,217.42,7263.27,6849.34,305.77,4.05,3735.57,10556,175.87,4.16
33011LITC01,33,011,LITC01,2490.94,2812.06,88.68,2699.13,2501.45,121.54,2.98,1210.8,4045.55,71.76,4.93
33011LYND01,33,011,LYND01,563.44,540.44,32.96,577.44,505.47,36.96,0,369.61,741.26,20.98,1
33011MANC01,33,011,MANC01,3344.02,2159.85,85.8,3521.6,1929.4,115.72,8.98,2052.11,3378.94,62.85,6.98
33011MANC02,33,011,MANC02,2996.47,2020.64,84.98,3155.44,1795.68,123.98,3,1907.66,3061.46,83.99,6
33011MANC03,33,011,MANC03,2199.58,1159.03,73.06,2281.52,980.34,133.28,2.96,1508.51,1753.35,107.61,0.99
33011MANC04,33,011,MANC04,2077.95,1432.96,82,2202.94,1217.97,135,4,1312.97,2131.95,95,6
33011MANC05,33,011,MANC05,1670,1121,74,1759,936,115,3,1041,1685,84,2
33011MANC06,33,011,MANC06,2753.9,2567.45,78.8,3025.19,2242.28,93.76,1.99,1569.94,3718.48,59.85,1
33011MANC07,33,011,MANC07,2168,1678,90,2318,1439,142,8,1285,2503,103,4
33011MANC08,33,011,MANC08,2645.39,2625.59,88.11,2876.07,2325.6,110.88,0.99,1426.65,3776.01,59.4,3.96
33011MANC09,33,011,MANC09,2444,2013.63,85.07,2645.1,1711.19,134.58,3.99,1352.1,2844.03,82.6,0.14
33011MANC10,33,011,MANC10,2288.75,1853.58,96.7,2504.96,1579.57,121.53,3.98,1261.04,2629.36,88.6,3.99
33011MANC11,33,011,MANC11,2107,1439,99,2227,1250,175,0,1211,2108,131,2
33011MANC12,33,011,MANC12,2693.77,2003.14,74.78,2814.04,1769.59,130.6,3.99,654.66,2792.21,79.09,9.85
33011MASO01,33,011,MASO01,381.91,535.99,31.02,408.94,483.92,45.04,0.01,254.22,673.61,23.03,3
33011MERR01,33,011,MERR01,8715.95,7654.34,302.42,9218.35,6912.62,402.15,11.98,4831.98,11452.81,262.52,10.05
33011MILF01,33,011,MILF01,4719.03,4172.98,196.07,5210.37,3738.78,269.3,6.08,2654.72,6198.29,150.59,8.27
33011MONT01,33,011,MONT01,1010.83,729.88,36.99,1029.83,699.88,41.99,1,672.89,1061.83,21,2
33011NASH01,33,011,"NASH01",3477.39,2489.2,92.24,3626.64,2230.09,128.76,5.04,2190.49,3706.73,79.94,7.04
33011NASH02,33,011,"NASH02",2983.07,2002.72,85.94,3151.97,1765.87,110.93,2,1884.78,3036.06,75.95,0
33011NASH03,33,011,"NASH03",2977.6,1917.95,64.77,3103.38,1699.62,119.33,0.03,1903.91,2868.64,98.38,6.95
33011NASH04,33,011,"NASH04",2134.41,1181.55,70.05,2237.51,976.37,99.1,3,1433.54,1792.32,83.08,1.01
33011NASH05,33,011,"NASH05",3351.58,2654.07,79.02,3570.13,2334.65,127.98,1.01,2087.25,3824.18,86.93,1.01
33011NASH06,33,011,"NASH06",2553.4,1651.28,84.01,2497.42,1401.24,123.01,5,1647.26,2464.4,74.01,10
33011NASH07,33,011,"NASH07",2496.24,1743.82,61.33,2655.33,1499.35,83.5,4.96,1606.55,2551.93,72.02,5.95
33011NASH08,33,011,"NASH08",3480.05,1969.19,86.15,3537.43,1791.6,126.2,0.01,2266.9,3062.14,90.17,2.01
33011NASH09,33,011,"NASH09",3362,2250,83,3577,1960,109,5,2060,3508,75,4
33011NBOS01,33,011,NBOS01,1817.02,2025.99,59.7,1974.24,1821.99,82.59,1,1096.58,2723.54,43.78,1.99
33011NIPS01,33,011,NIPS01,960.04,2094.71,61.87,1044.86,1981.95,72.85,1,584.8,2473.94,49.9,1
33011PELH01,33,011,PELH01,3484.75,5258.55,121.16,3979.19,4480.91,232.22,5,2022.67,6616.56,124.13,5
33011PETE01,33,011,PETE01,3013.05,1215.21,62.41,3054.99,1134.26,92.64,0.97,2296.31,1858.83,53.63,4.88
33011SHAR01,33,011,SHAR01,157.85,122.95,4.28,164.31,113.42,5.29,0,110.19,169.66,4.21,0.01
33011TEMP01,33,011,TEMP01,518.92,432.59,11.03,543.94,395.54,17.04,0,360.65,574.85,12.02,0
33011WEAR01,33,011,WEAR01,2210.43,3212.17,96.97,2460.36,2865.26,141.96,4,1247.68,4172.92,71.98,2
33011WILT01,33,011,WILT01,1326.81,1087.38,52.87,1370.7,997.6,76.82,3.99,878.88,1524.33,36.91,2
33011WNDS01,33,011,WNDS01,33.3,91.31,5.01,37.33,85.27,6.02,0,23.21,100.4,4.01,0
330130BOW01,33,013,0BOW01,3245.69,2161.65,88.76,3398.89,1986.2,93.93,0.02,2024.45,3426,39.1,4.99
33013ALLE01,33,013,ALLE01,1048.95,1230.7,41.92,1170.71,1038.33,79.7,0.01,555.65,1671.42,39.85,2.99
33013ANDO01,33,013,ANDO01,856.22,740.8,18.71,909.98,662.38,24.11,1.99,630.69,964.56,14.43,5
33013BOSC01,33,013,BOSC01,933.26,1059.21,44.73,1088.85,856.98,61.73,1.98,560.22,1421,38.79,2.98
33013BRAD01,33,013,BRAD01,565.88,480.17,26.04,604.93,420.24,37.99,0,364.59,677.47,21,3
33013CANT01,33,013,CANT01,984.6,705.09,26.54,1050.98,613.16,44.08,0.99,688.8,974.74,26.47,1.96
33013CHIC01,33,013,CHIC01,726.93,878.28,33.9,799.44,804.47,49.79,0.94,425.93,1179.36,21.77,1.91
33013CONC01,33,013,CONC01,1650.43,1050.69,55.19,1785.49,881.96,71.8,1.32,1075.1,1631.47,44.43,4.06
33013CONC02,33,013,CONC02,1255.78,847.29,38.55,1375.12,696.74,56.91,3.67,809.65,1288.83,40.39,0.92
33013CONC03,33,013,CONC03,1155.41,588.13,26.43,1229.39,497.95,31.52,0.01,827.08,915.54,18.32,1.03
33013CONC04,33,013,CONC04,1504,589,47,1562,505,65,3,1182,921,24,2
33013CONC05,33,013,CONC05,1981,650,28,2025,602,35,1,1552,1075,15,1
33013CONC06,33,013,CONC06,1403.18,737.99,35.9,1453.04,515.6,73.8,0,1046.15,1041.17,37.9,4.99
33013CONC07,33,013,CONC07,1905.51,823,45.04,2032.58,683.92,54.04,4,1437.94,1298.59,27.02,1
33013CONC08,33,013,CONC08,1401.96,896.23,39.62,1528.57,724.68,64.43,1.98,909.91,1318.97,39.63,2.98
33013CONC09,33,013,CONC09,1289.79,651.06,26.14,1332.22,552.48,51.22,1.01,846.11,956.51,25.14,2.01
33013CONC10,33,013,CONC10,1958.47,1146.32,31.99,2085.39,978.43,54.97,3,1283.02,1792.79,24.99,2
33013DANB01,33,013,DANB01,287.96,410.06,20.77,321.62,371.43,22.78,0.99,180.78,520.2,16.83,0.99
33013DUNB01,33,013,DUNB01,877,1121,32,941,1038,40,2,547,1449,20,6
33013EPSO01,33,013,EPSO01,1193.54,1718.01,45.65,1356.79,1491.73,69.96,2.02,644.07,2249.5,43.4,1.04
33013FRAN01,33,013,FRAN01,598.75,853.91,26.23,705.29,709.34,42.87,0.98,371.75,1055.77,29.96,2.14
33013FRAN02,33,013,FRAN02,441.05,563.28,16.23,495.48,483.07,27.69,0,268.26,718.88,21,4.77
33013FRAN03,33,013,FRAN03,752.32,846.63,25.18,851.7,739.13,0.5,0.02,456.45,1127.87,0.41,2.98
33013HENN01,33,013,HENN01,1570.04,1075.58,67.03,1643.1,960.53,78.03,1,1002.78,1596.85,61.02,4
33013HILL01,33,013,HILL01,202.52,341.29,7.24,233.33,288.96,15.46,1.66,120.24,416.71,10.84,0.99
33013HOOK01,33,013,HOOK01,4116.5,4445.57,139.75,4497.69,3989.31,153.29,5.07,2174.82,6357.14,88.24,3.29
33013HOPK01,33,013,HOPK01,2684.38,1398.65,74.91,2813.25,1273.75,65.93,3,2023.17,2091.81,37.96,5.99
33013LOUD01,33,013,LOUD01,1515.15,2180.07,71.18,1769.89,1907.39,83.91,2.03,905.36,2801.74,61.65,5.06
33013NBRY01,33,013,NBRY01,900.45,722.47,27.89,939.3,683.52,29.93,0,540.37,1081.54,16.96,2
33013NFLD01,33,013,NFLD01,1135.21,1440.41,61.75,1339.04,1207.13,60.84,2.97,674.58,1919.8,50.33,3.08
33013NLON01,33,013,NLON01,2055.67,1046.13,41.49,2041.84,1026.37,38.53,0.99,1373.08,1689.21,21.73,0.99
33013PEMB01,33,013,PEMB01,2212.67,2074.49,79.68,2448.79,1772.94,121.84,1,1316.3,2974.71,52.41,9.02
33013PITF01,33,013,PITF01,823.97,1251.13,58.82,931.76,1110.21,63.13,1.02,464.94,1616.07,36.59,1.05
33013SALI01,33,013,SALI01,381.88,515.2,24.75,443.74,430.48,34.63,0.03,250.14,654.58,14.01,1.03
33013SUTT01,33,013,SUTT01,758.61,578.58,21.19,794.03,533.99,30.32,0.01,524.07,821.17,16.15,1.03
33013WARN01,33,013,WARN01,1043.16,838.9,33.8,1113.74,739.52,55.63,0.99,754.87,1137.12,26.82,4.96
33013WEBS01,33,013,WEBS01,548.89,668.76,24,633.75,566.88,26.06,1,357.81,860.86,10.04,1.01
33013WILM01,33,013,WILM01,574.91,360.92,6.9,597.6,327.4,19.72,0,385.58,548.29,9.86,0
330150RYE01,33,015,0RYE01,2780.56,1619.74,38.99,2788.55,1562.75,50.99,0,1756.72,2637.58,28,4
33015ATKI01,33,015,ATKI01,2157.46,2681.01,56.69,2347.69,2411.18,94.88,2.86,1230.19,3595.65,43.2,0.97
33015AUBU01,33,015,AUBU01,1616.45,2259.07,45.98,1776.23,2031.52,101.61,1,777.76,3049.97,46.95,0.03
33015BREN01,33,015,BREN01,1562.35,1444.68,39.41,1611.74,1352.93,59.25,1.08,925.72,2042.13,33.69,1.04
33015CAND01,33,015,CAND01,1016.61,1659.27,40.06,1125.07,1499.31,62.35,0.98,555.6,2091.22,46.69,4.85
