GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33019CLAR02,33,019,CLAR02,1177.5,1036.2,48.3,1301.1,897.4,62.4,0,719.6,1479,43.3,2
33019CLAR03,33,019,CLAR03,903.1,975.1,32,1004,850.2,43,1,532.5,1307.8,34,1
33019CORN01,33,019,CORN01,679.5,408.7,22,692.6,381.6,26,0,468.3,660.9,13,1
33019CROY01,33,019,CROY01,172.5,319.3,19,187.5,288.3,24,1,96.3,400.5,8,0
33019GOSH01,33,019,GOSH01,186,284,11,208,254,16,0,118,349,9,1
33019GRAN01,33,019,GRAN01,1669,747,31,1686,690,55,1,1158,1210,25,1
33019LANG01,33,019,LANG01,205.9,198.4,7,214.9,180.5,12,0,139,262.3,6,0
33019LEMP01,33,019,LEMP01,274,440,12,301,387,25,0,145,552,11,0
33019NEWP01,33,019,NEWP01,1301,1773,64,1475,1522,97,3,716,2332,48,1
33019PLFD01,33,019,PLFD01,1135,522,28,1145,481,37,0,817,823,14,2
33019SPRI01,33,019,SPRI01,465.5,451.3,16.6,487.4,417,21.6,0,316.8,593.5,13.3,1
33019SUNA01,33,019,SUNA01,1307.2,1084.4,36,1320.2,1038.5,50.9,1,762.9,1614.7,31,1
33019UNIT01,33,019,UNIT01,335,531,26,283,565,30,0,189,674,14,1
33019WASH01,33,019,WASH01,314,467,16,349,431,15,0,207,577,12,1
