GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREBSEG,G20PREOWRI
2402503-005,24,025,03-005,850.63,2152.8,57.85,18.41,2.06,27.98
2402503-006,24,025,03-006,840,1718,40,11,2,23
2402503-007,24,025,03-007,906,1673,44,6,1,16
2402503-008,24,025,03-008,941,1574,35,13,1,17
2402503-009,24,025,03-009,1067,1693,50,8,0,17
2402503-010,24,025,03-010,1008.63,1257.69,35.91,13.16,4.7,10.16
2402503-011,24,025,03-011,627.79,878.27,40.67,8.87,4.91,11.11
2402503-012,24,025,03-012,1014.66,1222.3,48.17,12,1.7,23.46
2402503-013,24,025,03-013,996.48,1607.81,44.85,6.57,2.12,20.62
2402503-014,24,025,03-014,841.97,1286.59,30.26,5.63,0.96,20.61
2402503-015,24,025,03-015,831.91,1120.2,29.89,8.98,3.99,19.85
2402503-016,24,025,03-016,872.3,1133.72,30.12,6.03,3,16.06
2402503-017,24,025,03-017,864.83,1168.93,28.73,7.93,2.97,20.8
2402503-018,24,025,03-018,1143.42,1343.96,43.18,9.62,2.99,16.27
2402503-019,24,025,03-019,876.41,1401.23,49.98,6.24,2.15,29.11
2402503-020,24,025,03-020,728.88,1496.74,38.18,6.16,2.16,13.85
2402503-021,24,025,03-021,1076,1364,51,9,2,10
2402503-022,24,025,03-022,1016.12,1585.26,56.82,2.84,2.84,15.15
2402503-023,24,025,03-023,726.95,1006.52,23.33,8.8,0.72,11.57
2402503-024,24,025,03-024,622,1318,39,4,0,23
2402503-025,24,025,03-025,0,0,0,0,0,0
2402503-026,24,025,03-026,192,513,11,4,1,6
2402503-027,24,025,03-027,108,158,8,0,0,2
2402504-001,24,025,04-001,480,1023,22,6,4,16
2402504-002,24,025,04-002,741,1520,43,7,2,17
2402504-003,24,025,04-003,527.08,1689.39,44.9,7.98,3.98,16.95
2402504-004,24,025,04-004,575.03,1755.81,32.09,4.01,0.99,14.98
2402504-005,24,025,04-005,954,1923,50,12,3,26
2402504-006,24,025,04-006,474.35,1211.26,22.45,2.93,0,6.83
2402504-007,24,025,04-007,343,852,31,4,0,4
2402504-008,24,025,04-008,0,0,0,0,0,0
2402505-001,24,025,05-001,384.71,1572.42,27.82,12.47,0,4.8
2402505-002,24,025,05-002,455.16,1412.94,30.47,6.64,0.95,16.17
2402505-003,24,025,05-003,455.72,1726.03,36.12,5.06,1,12.02
2402505-004,24,025,05-004,336.86,778.1,15.18,3.8,0,9.49
2402506-001,24,025,06-001,778.21,526.62,24.35,7.21,1.8,10.82
2402506-002,24,025,06-002,901.4,857.8,27.29,7.28,1.82,14.55
2402506-003,24,025,06-003,979.63,895.38,22.46,13.79,3.28,9.29
2402506-004,24,025,06-004,118.76,130.03,3.25,0.72,0.18,1.45
2402506-005,24,025,06-005,243.29,96.53,3.5,0.25,0.01,0.07
2402506-006,24,025,06-006,1756.47,1442.4,63.27,8.37,2.74,24.64
2402506-007,24,025,06-007,109.74,164.57,4.69,1.78,0,0
24025ZZZZZZ,24,025,ZZZZZZ,644.81,615.91,15.9,5.77,2,4.74
2402701-001,24,027,01-001,1253,694,30,11,2,17
2402701-002,24,027,01-002,286.18,228.65,7.22,2.43,2,4.07
2402701-003,24,027,01-003,1297,396,31,4,2,19
2402701-004,24,027,01-004,1739,856,36,6,3,31
2402701-005,24,027,01-005,412,163,12,1,0,10
2402701-006,24,027,01-006,829,372,16,8,4,9
2402701-007,24,027,01-007,552,197,12,5,0,13
2402701-008,24,027,01-008,919,527,31,3,2,6
2402701-009,24,027,01-009,1046,358,13,9,3,17
2402701-010,24,027,01-010,789.59,281.11,17.36,5.79,2.48,7.44
2402701-011,24,027,01-011,557.3,273.56,12.01,0.92,0.92,13.86
2402701-012,24,027,01-012,536,244,17,2,0,9
2402701-013,24,027,01-013,740,476,26,4,1,13
2402701-014,24,027,01-014,1018,526,19,10,3,13
2402701-015,24,027,01-015,2748.04,611.12,42.94,13.98,8.99,14.98
2402701-016,24,027,01-016,311,217,9,3,1,2
2402701-017,24,027,01-017,524,125,10,0,1,9
2402701-018,24,027,01-018,156.82,111.35,2.78,5.57,0,0.93
2402701-019,24,027,01-019,3.72,2.84,0.1,0.01,0,0.06
2402701-020,24,027,01-020,249.28,190.16,6.9,0.99,0,3.94
2402701-021,24,027,01-021,1501.18,318.04,23.87,7.64,0.97,15.26
2402702-001,24,027,02-001,1361.67,509.99,19.74,8.18,3.08,12.63
2402702-002,24,027,02-002,1995.21,863.41,32.61,12.06,7.23,31.3
2402702-003,24,027,02-003,1592.03,733.61,27.55,14.49,2.29,25.47
2402702-004,24,027,02-004,1114.61,326.89,24.99,5,1,15.99
2402702-005,24,027,02-005,935,356,14,8,2,8
2402702-006,24,027,02-006,862,392,19,4,1,15
2402702-007,24,027,02-007,962,544,25,4,1,16
2402702-008,24,027,02-008,1424.98,672.11,31.73,1.92,2.88,20.19
2402702-009,24,027,02-009,1553,540,17,11,1,13
2402702-010,24,027,02-010,877,318,16,3,0,16
2402702-011,24,027,02-011,1344,694,22,4,1,19
2402702-012,24,027,02-012,1573,749,37,10,0,30
2402702-013,24,027,02-013,624,201,11,5,1,11
2402702-014,24,027,02-014,703,128,8,0,0,6
2402702-015,24,027,02-015,1243,555,28,5,3,15
2402702-016,24,027,02-016,1556.93,664.37,40.48,4.37,0.3,15.33
2402702-017,24,027,02-017,301,95,5,1,0,4
2402702-018,24,027,02-018,1228,573,28,13,4,22
2402702-019,24,027,02-019,864,442,24,5,5,15
2402702-020,24,027,02-020,618,201,12,1,1,14
2402702-021,24,027,02-021,212,90,6,3,0,2
2402702-022,24,027,02-022,36,9,0,0,0,0
2402702-023,24,027,02-023,697.37,181.74,14.01,1.64,1.64,4.17
2402702-024,24,027,02-024,784,393,14,4,1,12
2402702-025,24,027,02-025,887,374,25,7,1,26
2402702-026,24,027,02-026,1054,459,29,4,1,14
2402703-001,24,027,03-001,811,597,19,4,1,21
2402703-002,24,027,03-002,1482.85,1310.84,44.49,8.9,1.98,32.62
2402703-003,24,027,03-003,1245,744,20,8,1,21
2402703-004,24,027,03-004,140,64,1,1,0,2
2402703-005,24,027,03-005,2084,1341,39,14,2,21
2402703-006,24,027,03-006,901.69,684.61,30.02,8,3,22.02
2402704-001,24,027,04-001,527,652,19,4,2,10
2402704-002,24,027,04-002,788,672,30,5,2,20
2402704-003,24,027,04-003,721,901,29,9,1,25
2402704-004,24,027,04-004,949,1096,29,6,0,25
2402704-005,24,027,04-005,559.23,799.47,22.93,1.99,2.99,16.95
2402704-006,24,027,04-006,1028,969,36,5,1,25
2402705-001,24,027,05-001,1929,1023,38,6,5,36
2402705-002,24,027,05-002,579,117,8,2,0,10
2402705-003,24,027,05-003,1909,278,25,13,4,13
2402705-004,24,027,05-004,2126.73,393.58,25.97,14.98,4,12.99
2402705-005,24,027,05-005,1700,734,30,9,3,38
2402705-006,24,027,05-006,2761,1050,55,24,5,39
2402705-007,24,027,05-007,1157,218,23,11,0,8
2402705-008,24,027,05-008,1320.27,204.42,24.03,6.02,3,9.01
2402705-009,24,027,05-009,1194,248,15,8,1,12
2402705-010,24,027,05-010,1832,620,25,16,7,36
2402705-011,24,027,05-011,728,433,14,5,2,19
2402705-012,24,027,05-012,1184,219,16,7,6,7
2402705-013,24,027,05-013,682,176,9,6,2,13
2402705-014,24,027,05-014,564,181,15,5,0,9
2402705-015,24,027,05-015,1884.2,384.11,34.16,15.5,2.25,14.08
2402705-016,24,027,05-016,1230,249,29,3,3,15
2402705-017,24,027,05-017,994.8,265.89,12.84,5.5,2.75,11.92
2402705-018,24,027,05-018,896,159,8,2,1,9
2402705-019,24,027,05-019,1309,838,25,5,1,28
2402705-020,24,027,05-020,1188,663,22,6,1,21
2402705-021,24,027,05-021,1474,220,18,11,2,26
2402705-022,24,027,05-022,2192,627,32,17,6,27
2402705-023,24,027,05-023,1116,190,14,4,2,9
2402705-024,24,027,05-024,537,280,15,1,0,10
2402706-001,24,027,06-001,1005,402,30,6,5,11
2402706-002,24,027,06-002,1775,395,31,10,3,19
2402706-003,24,027,06-003,783,308,27,12,3,14
2402706-004,24,027,06-004,1331,473,39,5,4,28
2402706-005,24,027,06-005,960,264,16,8,3,13
2402706-006,24,027,06-006,792,166,22,5,0,10
2402706-007,24,027,06-007,868,300,18,0,4,7
2402706-008,24,027,06-008,807.16,130.41,6.82,7.67,1.7,4.26
2402706-009,24,027,06-009,1201,188,19,14,1,4
2402706-010,24,027,06-010,1122,252,22,9,2,11
2402706-011,24,027,06-011,1203.43,264.23,29.01,9.01,2.01,13.02
2402706-012,24,027,06-012,644.84,132.59,13.18,3.33,0.3,3.74
2402706-013,24,027,06-013,896,256,20,6,1,12
2402706-014,24,027,06-014,1100,202,17,9,3,8
2402706-015,24,027,06-015,1080,297,16,10,3,8
2402706-016,24,027,06-016,1527,293,19,4,1,18
2402706-017,24,027,06-017,1361,245,12,16,1,12
2402706-018,24,027,06-018,1046.36,263.74,15.48,7.09,2.09,11.44
2402706-019,24,027,06-019,1509,245,17,4,2,15
2402706-020,24,027,06-020,1261,261,18,11,4,13
2402706-021,24,027,06-021,902.16,187.44,12.16,6.5,0.33,8.83
2402706-022,24,027,06-022,1133.57,180.77,9.99,7.99,4.99,11.98
2402706-023,24,027,06-023,522,158,7,1,1,7
2402706-024,24,027,06-024,1379,414,24,8,0,6
2402706-025,24,027,06-025,482.7,188.72,10.43,1.9,1.9,9.48
2402706-026,24,027,06-026,1620.95,335.54,34.09,6.02,5.02,15.08
2402706-027,24,027,06-027,1373,316,15,11,3,17
2402706-028,24,027,06-028,1637.82,689.04,26.46,10.78,2.94,32.34
2402706-029,24,027,06-029,2758,660,42,7,2,27
2402706-030,24,027,06-030,783,196,7,2,1,5
2402706-031,24,027,06-031,752.84,122.56,10.84,2.5,1.67,4.17
2402706-032,24,027,06-032,935,483,18,8,7,16
2402706-033,24,027,06-033,1090,336,33,9,3,18
2402706-034,24,027,06-034,1060,244,13,4,1,13
2402706-035,24,027,06-035,2794,607,36,21,4,24
2402901-001,24,029,01-001,327.47,504.76,10.12,6.07,2.05,6.08
2402901-002,24,029,01-002,441.8,723.93,13.71,9.8,1.96,6.86
2402902-001,24,029,02-001,399.82,644.92,14.22,5.18,2.34,0.22
2402903-001,24,029,03-001,554,623,14,10,3,9
2402903-002,24,029,03-002,196.71,153.1,1.86,1.86,4.64,1.86
2402904-001,24,029,04-001,1022.1,470.51,13.93,7.4,5.55,9.21
2402904-002,24,029,04-002,726,352.09,18.84,6.94,4.96,3.97
2402905-001,24,029,05-001,555.33,734.69,14.61,3.71,3.64,6.39
2402906-001,24,029,06-001,445.89,522.36,9.93,8.94,0.99,3.97
2402907-001,24,029,07-001,491.6,333.2,2.9,6.76,0.97,4.83
2403101-001,24,031,01-001,1132.18,863.09,21,8,1,28
2403101-002,24,031,01-002,1318,754,20,11,2,29
2403101-003,24,031,01-003,2426.79,632.68,20.99,19.99,11.99,25.99
2403101-004,24,031,01-004,1149,366,18,18,8,10
2403101-005,24,031,01-005,1509.82,809.91,11,12,3,31
2403101-006,24,031,01-006,1005.21,387.32,14.01,6.01,8.01,17.01
2403101-007,24,031,01-007,252,155.12,4.38,0.2,1.05,3.51
2403102-001,24,031,02-001,2991.15,839.74,36.04,33,9.08,19.99
2403102-002,24,031,02-002,2652.92,697.17,26.11,35.24,7.75,19.17
2403102-003,24,031,02-003,2329.29,506.11,27.36,20.52,13.68,11.72
2403102-004,24,031,02-004,2683.99,674.6,38.51,26.29,13.44,22.19
2403102-005,24,031,02-005,1932.26,523.81,26.21,21.51,8.47,15.87
2403102-006,24,031,02-006,3296.35,1061.25,27.02,22.54,10.12,27.55
2403102-007,24,031,02-007,0,0,0,0,0,0
2403102-008,24,031,02-008,3315.27,1206.8,29.81,22.45,12.58,31.07
2403102-009,24,031,02-009,249,192,4,3,0,5
2403102-010,24,031,02-010,1133,300,11,9,7,10
2403102-011,24,031,02-011,2244.97,731.99,18,17,3,30
2403103-001,24,031,03-001,1498.18,875.86,26.03,16.96,4.99,22.04
2403103-002,24,031,03-002,1209.24,733.29,22.85,5.96,1.99,20.87
2403104-001,24,031,04-001,2196.21,492.08,14.77,29.14,11.76,14.85
2403104-002,24,031,04-002,2141.8,397.65,26.01,23.01,7.02,17.08
2403104-003,24,031,04-003,3111.18,606.44,37.33,16.7,9.28,35.33
2403104-004,24,031,04-004,1023.39,153,13.7,6.56,1.34,10.45
2403104-005,24,031,04-005,1703.25,495.06,16.15,19.1,6.04,14.1
2403104-006,24,031,04-006,1443.57,406.04,23.94,13.97,2,9.98
2403104-007,24,031,04-007,1552.36,406.48,16.73,15.26,6.07,12.41
2403104-008,24,031,04-008,2992.7,478.14,21.42,15.59,6.79,18.48
2403104-009,24,031,04-009,964.23,214.49,13.41,7.66,6.7,9.58
2403104-010,24,031,04-010,1852.91,410.83,15.87,3.42,4.09,31.66
2403104-011,24,031,04-011,470.63,147.47,2.02,0.02,3,6.01
2403104-012,24,031,04-012,2219,616,27,12,2,27
2403104-013,24,031,04-013,1516.94,292.99,18,5,1,25
2403104-014,24,031,04-014,2496.97,471.19,26.73,22.77,2.97,24.77
2403104-015,24,031,04-015,877.26,209.96,5.86,10.61,3.88,1.92
2403104-016,24,031,04-016,2565.95,736.4,28.5,21.58,5.91,33.45
2403104-017,24,031,04-017,2096.4,403.17,23.5,6.73,4.74,11.41
2403104-018,24,031,04-018,2218.78,526.02,23.84,5.53,2.38,29.9
2403104-019,24,031,04-019,1134.72,354.89,10.01,8.98,2.02,12.02
2403104-020,24,031,04-020,2394.6,712.52,17.97,10.42,4.72,46.19
2403104-021,24,031,04-021,1844.04,419.4,17.44,4.37,6.08,25.49
2403104-023,24,031,04-023,162,66,0,0,0,1
2403104-024,24,031,04-024,1663.9,495.48,16.95,9.97,1.99,14.96
2403104-025,24,031,04-025,1211.89,349.8,7.83,5.48,2.22,12.21
2403104-026,24,031,04-026,1175.67,346.18,12.47,11.51,2.88,10.55
2403104-027,24,031,04-027,307.02,45.28,2.9,6.09,0.04,6.5
2403104-028,24,031,04-028,888.99,155.3,10.33,7.24,1.08,9.29
2403104-029,24,031,04-029,791,260,5,3,2,9
2403104-030,24,031,04-030,1878.15,401.36,20.23,12.3,5.97,21.07
2403104-031,24,031,04-031,2041.55,382.02,14.18,15.09,15.02,16.14
2403104-032,24,031,04-032,904,242,8,1,2,12
2403104-033,24,031,04-033,348.8,39.16,4.55,4.55,0,2.73
2403104-034,24,031,04-034,1012.4,382.74,13.4,4.79,7.65,18.18
2403104-035,24,031,04-035,207,79,1,1,0,2
2403104-036,24,031,04-036,0.86,0.19,0.01,0.01,0,0.01
2403104-037,24,031,04-037,73.53,7.24,0.84,0.85,0,1.27
2403104-038,24,031,04-038,51.09,15.7,0.04,0.03,0.02,0.03
2403104-040,24,031,04-040,146.82,12.62,3.1,1.31,1.1,0.06
2403104-041,24,031,04-041,0,0,0,0,0,0
2403104-042,24,031,04-042,13.64,3.06,0.09,0.07,0.02,0.1
2403104-043,24,031,04-043,75.33,13.82,0.53,1.4,1,1.4
2403105-001,24,031,05-001,2151.68,554.89,19.96,25.95,12.97,14.97
2403105-002,24,031,05-002,2134,239,18,10,9,9
2403105-003,24,031,05-003,2535.3,465.78,12.78,22.6,8.84,16.7
2403105-004,24,031,05-004,1216.23,179.38,0.99,5.91,6.9,0.99
2403105-005,24,031,05-005,1833.92,328.21,19.74,20,2.19,10.11
2403105-006,24,031,05-006,2528.98,467.22,20.88,28.83,6.96,23.86
2403105-008,24,031,05-008,2094.32,400.11,12.04,23.05,5.03,12.03
2403105-009,24,031,05-009,2306.52,550.93,18.52,13.89,8.33,28.7
2403105-010,24,031,05-010,1307,210,10,8,6,10
2403105-011,24,031,05-011,1651,323,4,16,6,7
2403105-012,24,031,05-012,3077.77,590.62,21.01,21.09,25.1,15.01
2403105-013,24,031,05-013,2476.97,243.2,8.12,25.99,12.93,10.02
2403105-014,24,031,05-014,932.59,265.75,6.92,12.84,7.9,8.89
2403105-015,24,031,05-015,2095.82,716.48,30.23,17.05,10.04,22.18
2403105-016,24,031,05-016,2277.07,488.81,16.83,10.81,7.5,20.56
2403105-017,24,031,05-017,2348,460,16,22,13,22
2403105-018,24,031,05-018,982.7,450.23,19.22,4.58,3.13,14.55
2403105-019,24,031,05-019,1990,609,23,17,10,15
2403105-021,24,031,05-021,2353,243,10,27,13,14
2403105-022,24,031,05-022,1087.79,282.11,8.89,6.51,5.59,10.03
2403105-023,24,031,05-023,3473.63,529.94,21,36,17,20
2403106-001,24,031,06-001,1278,574,21,4,2,18
2403106-002,24,031,06-002,2068.12,791.16,22.4,13.15,5.12,28.46
2403106-003,24,031,06-003,1479.19,459.66,29.32,12.97,2.19,15.76
2403106-004,24,031,06-004,1516.81,349.96,29,11,4,21
2403106-005,24,031,06-005,2300.46,739.13,19,11,14,26.01
2403106-006,24,031,06-006,1746,562,12,16,7,19
2403106-007,24,031,06-007,2439.8,761.26,35.78,21.86,17.89,22.86
2403106-008,24,031,06-008,1294.27,333.74,10.93,8.94,1.99,16.89
2403106-009,24,031,06-009,1612.88,780.84,25.6,9.85,7.88,29.54
2403106-010,24,031,06-010,1932.57,493.23,19.69,22.64,9.85,16.74
2403106-011,24,031,06-011,66.34,17.46,0.19,0.23,0.04,0.15
2403106-013,24,031,06-013,1174.46,339.84,7,3,1,13.99
2403106-014,24,031,06-014,828.91,231.3,12.08,10.06,4.01,11.12
2403106-015,24,031,06-015,2427.66,810.54,27.81,33.77,5.96,22.85
2403106-016,24,031,06-016,22.67,7.07,0.46,0.2,0.03,0.24
2403107-001,24,031,07-001,1103.54,170.22,11.61,10.64,1.93,12.57
2403107-002,24,031,07-002,1520,245,14,6,0,31
2403107-003,24,031,07-003,2152.89,312.11,21.54,5.86,2.87,19.72
2403107-004,24,031,07-004,3284,484,31,9,3,24
2403107-005,24,031,07-005,1665.57,211.49,22.27,11.05,2.02,27.3
2403107-006,24,031,07-006,1837.15,243.73,12.39,7.36,1.07,16.42
2403107-007,24,031,07-007,1666.85,163.58,12.06,3.34,0.14,26.82
2403107-008,24,031,07-008,2792.63,371.09,19,15,2,22
2403107-009,24,031,07-009,1960.1,295.22,14.03,6.99,0.29,11.59
2403107-010,24,031,07-010,2251.12,373.65,18.69,11.39,4.1,17.17
2403107-011,24,031,07-011,2519,290.7,12.98,7.29,3.12,26.63
2403107-012,24,031,07-012,2151,264,15,11,1,24
2403107-013,24,031,07-013,2145,408,31,9,0,36
2403107-015,24,031,07-015,2383.94,510.22,19.44,4.86,0,23.32
2403107-016,24,031,07-016,1419.43,215.34,19.16,6.76,0.97,9.84
2403107-018,24,031,07-018,2080.34,235.52,14.99,5.23,7.08,23.3
2403107-019,24,031,07-019,3053.96,510.38,24.33,17.2,5.07,34.31
2403107-020,24,031,07-020,1585.21,354.86,12.97,9.97,3.99,10.97
2403107-021,24,031,07-021,923,147,12,1,3,20
2403107-022,24,031,07-022,1525.66,223.6,11.96,2.76,0.92,15.64
2403107-023,24,031,07-023,2855.93,564.87,32.05,10.01,1,46.06
2403107-024,24,031,07-024,1569.45,295.71,11.48,4.41,3.53,19.42
2403107-025,24,031,07-025,1909.94,359.25,21.42,8.71,4.09,16.09
2403107-026,24,031,07-026,2443.15,351.72,19.97,6.38,2.73,15.56
2403107-027,24,031,07-027,1512.55,245.29,19.52,5.59,3.47,29.58
2403107-028,24,031,07-028,1289.89,257.54,12.06,3.04,0.02,18.05
2403107-031,24,031,07-031,497.97,95.93,3.66,2.2,0.73,2.2
2403107-032,24,031,07-032,957.04,266,7,1,1,30
2403108-001,24,031,08-001,2164,793,31,13,9,21
2403108-002,24,031,08-002,2299.06,884.8,25.31,19.47,5.84,50.61
2403108-003,24,031,08-003,1755.54,645.81,26.31,12.12,5.18,22.42
2403108-004,24,031,08-004,770,342,14,5,1,13
2403108-005,24,031,08-005,1357.12,766.39,20.61,10.79,2.94,27.48
2403108-006,24,031,08-006,2489.11,996.05,44,19,9,25
2403108-007,24,031,08-007,2197.87,922.18,27.69,18.53,5.16,33.39
2403108-008,24,031,08-008,1899.63,799.33,28.65,16.35,9.18,28.56
2403108-009,24,031,08-009,2025,746,34,17,5,31
2403108-010,24,031,08-010,1294.38,390.62,10.02,10.01,7,14.02
2403108-011,24,031,08-011,1691.62,442.38,16.98,8.99,3,16.98
2403108-012,24,031,08-012,1728.37,634.67,21.35,11.65,5.82,18.44
2403108-014,24,031,08-014,24.83,6.47,0.01,1.01,0,0.02
2403108-015,24,031,08-015,440,105,4,1,1,2
2403109-001,24,031,09-001,2146.92,516.56,17.31,16.36,11.55,18.25
2403109-002,24,031,09-002,2750.15,744.06,28.47,32.83,23.28,15.6
2403109-003,24,031,09-003,1230.81,344.77,12.16,11.05,6.04,9.08
2403109-004,24,031,09-004,1558.34,471.99,24.06,16.05,4.01,17.03
2403109-005,24,031,09-005,1655.99,459.3,20.2,16.18,6.56,16.81
2403109-006,24,031,09-006,2087.61,542.66,27.32,18.41,6.7,16.62
2403109-007,24,031,09-007,1826.22,383.75,15.91,31.89,12.57,8.2
2403109-008,24,031,09-008,2188.89,464.98,31.52,17.73,10.83,14.78
2403109-009,24,031,09-009,2457.72,526.23,21.8,21.8,13.87,12.88
2403109-010,24,031,09-010,495.38,135.56,9.95,6.97,4.98,3.98
2403109-011,24,031,09-011,1486.35,415.35,22.98,8.07,8.95,16.95
2403109-012,24,031,09-012,1524.19,407.51,17.41,15.54,10,10.16
2403109-013,24,031,09-013,2062.21,582.24,33.84,9.95,8.96,15.92
2403109-014,24,031,09-014,1709,475,29,16,3,23
2403109-015,24,031,09-015,1700.43,382.8,24.69,28.68,12.49,10.36
2403109-016,24,031,09-016,1378.94,328.98,15.31,23.62,13.14,11.75
2403109-018,24,031,09-018,1511.41,376.63,15.15,17.94,12.91,4.08
2403109-020,24,031,09-020,1312.19,374.18,10.4,13.43,5.28,14.34
2403109-021,24,031,09-021,1314,443,21,13,10,18
2403109-022,24,031,09-022,2058,535,23,28,14,16
2403109-024,24,031,09-024,1625.52,411.3,14.76,19.5,9.28,8.67
2403109-025,24,031,09-025,1337.68,471.17,22.16,10.11,6.04,9.13
2403109-026,24,031,09-026,1517.66,356.3,12.93,21.82,9.12,10.07
2403109-027,24,031,09-027,2444.83,587.8,38.76,13.33,7.05,21.41
2403109-028,24,031,09-028,817.12,162.69,3.43,2.41,2.29,5.45
2403109-029,24,031,09-029,1266.52,295.91,15.29,14.4,8.47,4.26
2403109-030,24,031,09-030,1736.37,475.06,20.2,12.27,5.89,12.66
2403109-031,24,031,09-031,2398.85,460.73,22.93,11.59,3.82,24.78
2403109-032,24,031,09-032,342.81,67.57,3.97,6.96,1.99,0.99
2403109-033,24,031,09-033,1659.22,344.42,27.09,14.51,2.9,17.41
2403109-034,24,031,09-034,1803.52,414.38,14.02,13.02,16.01,16
2403109-035,24,031,09-035,2795,751,25,10,1,33
2403109-036,24,031,09-036,1334.06,394.4,22.96,19.96,5,13
2403109-037,24,031,09-037,1104,333,10,19,9,14
2403109-038,24,031,09-038,328.6,52.62,1.99,1.99,1.99,3.97
2403109-039,24,031,09-039,14,11,1,0,0,0
2403109-040,24,031,09-040,1756.77,407.93,14,10,4,19
2403109-041,24,031,09-041,1396.4,306.65,15.13,11.23,4.1,10.1
2403110-001,24,031,10-001,894,392,15,10,1,16
2403110-002,24,031,10-002,1430.79,687.67,15.09,6.03,1.01,37.15
2403110-003,24,031,10-003,1395.69,373.53,18.11,9.93,4.5,24.43
2403110-004,24,031,10-004,1013,267,4,4,1,12
2403110-005,24,031,10-005,1631,414,15,8,3,24
2403110-006,24,031,10-006,1678.39,384.15,17.21,7.12,3.05,20.53
2403110-007,24,031,10-007,1974.31,584.91,19.88,6.34,1.63,32.43
2403110-009,24,031,10-009,1457,670,19,10,4,28
2403110-010,24,031,10-010,1821.45,573.57,17.96,7.98,3.99,19.95
2403110-011,24,031,10-011,1129.01,293.22,3.99,8.98,4.99,6.98
2403110-012,24,031,10-012,1909,474,14,9,4,18
2403110-013,24,031,10-013,1132,289,8,5,2,17
2403111-000,24,031,11-000,881.12,578.76,20.96,3.99,2,8.98
2403112-001,24,031,12-001,964.72,991.53,16.83,6.27,2.14,20.54
2403112-002,24,031,12-002,1042.54,966.59,34.19,8.04,3,24.05
2403112-003,24,031,12-003,1681.28,1287.47,36.17,11.73,5.86,23.46
2403112-004,24,031,12-004,1159.68,699.76,31.98,8.46,1.88,24.45
2403112-005,24,031,12-005,1520,860,39,25,10,24
2403113-001,24,031,13-001,1677.89,373.74,9.03,9.02,6.02,11.03
2403113-002,24,031,13-002,4057.48,773.07,33.48,27.11,14.67,20.3
2403113-003,24,031,13-003,1656.99,272.73,11.17,6.87,0.99,20.14
2403113-004,24,031,13-004,2902,130,14,20,9,14
2403113-005,24,031,13-005,2991.83,212.07,24.01,22,10,27.01
2403113-006,24,031,13-006,2105.18,65.42,8.53,12.75,3.56,4.31
2403113-007,24,031,13-007,1990.27,155.32,17.92,9.96,1.99,19.91
2403113-008,24,031,13-008,1693.92,143.58,10.39,9.45,5.66,8.51
2403113-010,24,031,13-010,1531.07,90.08,10.01,10.01,4,7.01
2403113-011,24,031,13-011,2165.64,333.1,10.03,17.78,8.82,17.89
2403113-013,24,031,13-013,1997,152,13,11,12,11
2403113-014,24,031,13-014,2346.09,217.7,22.95,10.36,6.21,21.34
2403113-015,24,031,13-015,2855.81,412.37,12.92,27.82,12.92,17.89
2403113-016,24,031,13-016,1348.43,110.58,8.57,9.43,3.43,8.57
2403113-018,24,031,13-018,1690,145,13,11,5,9
2403113-019,24,031,13-019,1572.66,213.19,15.3,5.74,3.82,16.25
2403113-020,24,031,13-020,1341.94,617.8,13.67,7.2,7.94,32.33
2403113-021,24,031,13-021,2603.79,173.88,16.83,23.49,17.48,10.06
2403113-022,24,031,13-022,1990.63,173.95,11.11,24,8.18,10
2403113-023,24,031,13-023,1825.51,344.37,14.73,6.04,2.04,34.29
2403113-024,24,031,13-024,1605.13,229.59,14.84,7.92,4.95,12.86
2403113-025,24,031,13-025,2038.1,441.26,14.44,23.72,15.07,14.6
2403113-027,24,031,13-027,1802.11,307.6,22.91,19.11,7.64,17.19
2403113-028,24,031,13-028,1056,206,10,10,9,7
2403113-029,24,031,13-029,1985.39,370.74,20.1,21.92,11.37,14.82
2403113-030,24,031,13-030,1602.5,364.66,5.99,25.98,11.99,10.99
2403113-031,24,031,13-031,1251,185,13,6,4,8
2403113-032,24,031,13-032,2470,291,21,19,5,10
2403113-033,24,031,13-033,881.19,323,13.81,7.77,4.65,10.06
2403113-034,24,031,13-034,1553.75,306.58,22.3,12.07,4.01,25.17
2403113-035,24,031,13-035,1470,382,9,12,12,13
2403113-036,24,031,13-036,1393.16,378.69,19.93,11.96,7.97,6.98
2403113-037,24,031,13-037,1036,362,20,9,9,4
2403113-038,24,031,13-038,3228.65,886.17,50.98,18.97,3.38,66.57
2403113-039,24,031,13-039,1955,180.92,19.16,4.53,1.56,21.13
2403113-040,24,031,13-040,1595.88,345.87,31.17,10.37,3.09,18.24
2403113-042,24,031,13-042,1053.46,156.99,5.39,5.25,7.17,6.33
2403113-043,24,031,13-043,1203.9,378.82,19.83,16.86,4.96,3.97
2403113-044,24,031,13-044,2084.29,422.96,19.83,10.92,8.95,22.82
2403113-045,24,031,13-045,964,250,10,18,6,11
2403113-046,24,031,13-046,1269.93,518.11,9.98,8.98,7.99,18.97
2403113-047,24,031,13-047,3142,162,27,24,9,21
2403113-049,24,031,13-049,1073.9,187.98,5,8,8,5
2403113-050,24,031,13-050,1715.78,89.83,7.99,8.98,1,8.98
2403113-051,24,031,13-051,1868.98,544.78,16.42,18.33,7.23,19.32
