GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSRSZE,G16USSDVAN,G16USSGFLO,G16USSOTH,G16H01RHAR,G16H01DWER,G16H01LBEE,G16H01OTH,G16H02RMCD,G16H02DRUP,G16H02LKAS,G16H02OTH,G16H03RPLA,G16H03DSAR,G16H03GEZE,G16H03OTH,G16H04RMCD,G16H04DBRO,G16H04LKRA,G16H04GCLA,G16H04OTH,G16H05RARN,G16H05DHOY,G16H05LSUM,G16H05OTH,G16H06RHOE,G16H06DDEL,G16H06LHOW,G16H06GGLU,G16H06OTH,G16H07RVAU,G16H07DCUM,G16H07GHOE,G16H07OTH,G16H08RCOX,G16H08DRAS,G16H08LWUN,G16H08GWAL,G16H08OTH
2400106-001,24,001,06-001,339.01,341,21,4,19,311.01,329,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.01,321,20,8,1,0,0,0,0,0,0,0,0,0
2400106-003,24,001,06-003,187,137,15,13,9,153,166,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,162,9,6,3,0,0,0,0,0,0,0,0,0
2400106-005,24,001,06-005,368.53,244.69,18.98,6.99,9.99,337.57,267.66,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.55,244.69,8.99,6.99,3,0,0,0,0,0,0,0,0,0
2400106-006,24,001,06-006,702,199,23,16,1,582,303,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,300,12,12,1,0,0,0,0,0,0,0,0,0
2400106-099,24,001,06-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400107-001,24,001,07-001,695.07,269.63,33.59,6.53,2.8,610.17,322.81,41.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.77,344.27,16.79,16.79,0,0,0,0,0,0,0,0,0,0
2400107-002,24,001,07-002,886,247,28,8,11,776,339,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,326,11,8,1,0,0,0,0,0,0,0,0,0
2400108-000,24,001,08-000,1264.08,286.46,40.56,10.86,9.91,1047.27,405.21,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.55,440.85,26.59,20.74,0.98,0,0,0,0,0,0,0,0,0
2400109-000,24,001,09-000,532.91,85.17,15.81,2.97,4.94,440.01,132.62,24.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.64,148.39,3,5.94,0,0,0,0,0,0,0,0,0,0
2400110-000,24,001,10-000,809.28,133.12,19.75,3.36,4.86,662.09,184.19,28.85,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.23,204.79,11.35,7.38,3.78,0,0,0,0,0,0,0,0,0
2400111-000,24,001,11-000,347.54,315.27,20.12,9.02,13.01,321.99,312.59,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.04,327.66,3.13,15.03,0,0,0,0,0,0,0,0,0,0
2400112-000,24,001,12-000,838.23,480.86,67.14,22.09,14.45,727.31,533.22,68.59,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781.36,503.53,30.72,28.16,0,0,0,0,0,0,0,0,0,0
2400113-000,24,001,13-000,904.81,204.42,27.68,2.13,3.08,755.87,300.14,43.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.13,300.55,21.75,8.15,6.97,0,0,0,0,0,0,0,0,0
2400114-000,24,001,14-000,110.86,152.81,6.99,8.99,10.99,91.88,157.8,13.98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.87,133.83,13.98,10.99,1,0,0,0,0,0,0,0,0,0
2400116-000,24,001,16-000,878.1,229.15,29.91,7.6,2.2,738.88,306.16,44.91,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.48,323.37,30,10.5,1.3,0,0,0,0,0,0,0,0,0
2400118-000,24,001,18-000,921.65,155.47,20.65,11.62,3.61,750.35,234.28,51.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.23,247.92,20.64,16.68,0,0,0,0,0,0,0,0,0,0
2400120-000,24,001,20-000,813.56,164.91,14.19,7.08,8.11,673.85,255.43,33.21,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.88,241.36,17.14,9.11,0,0,0,0,0,0,0,0,0,0
2400121-000,24,001,21-000,488,122,16,3,5,437,144,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,157,11,3,4,0,0,0,0,0,0,0,0,0
2400122-001,24,001,22-001,528.75,260.76,24.6,12.79,2.92,431.33,321.9,48.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.35,333.18,20.13,8.89,0,0,0,0,0,0,0,0,0,0
2400122-002,24,001,22-002,60.25,19.24,2.4,1.21,0.08,50.67,26.1,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.65,23.82,4.87,1.11,0,0,0,0,0,0,0,0,0,0
2400123-000,24,001,23-000,743.14,338.19,40.01,20.01,5.01,609.12,433.2,55.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616.13,427.17,24.02,24.01,0,0,0,0,0,0,0,0,0,0
2400124-000,24,001,24-000,650.83,183.08,15.34,5.75,4.79,567.44,230.04,26.84,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.57,224.29,7.67,14.38,0,0,0,0,0,0,0,0,0,0
2400126-000,24,001,26-000,647.74,558.77,57.98,24.99,21.99,621.75,502.8,86.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630.75,549.78,31.99,20.99,0,0,0,0,0,0,0,0,0,0
2400129-001,24,001,29-001,918.44,316.09,30.81,12.92,18.89,801.15,401.57,34.79,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.12,389.64,23.86,17.89,0,0,0,0,0,0,0,0,0,0
2400129-002,24,001,29-002,763.66,378.71,45.06,13.02,18.02,687.45,431.91,40.05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.48,400.87,27.03,12.03,0,0,0,0,0,0,0,0,0,0
2400129-003,24,001,29-003,629.74,267.97,24.37,6.46,8.19,550.81,341.62,18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.2,328.17,13.18,10.19,0,0,0,0,0,0,0,0,0,0
2400131-000,24,001,31-000,606.19,124.09,13.3,8.08,9.07,538.62,162.95,28.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.68,160.21,16.19,12.15,1.01,0,0,0,0,0,0,0,0,0
2400134-000,24,001,34-000,727,221,29,4,9,606,301,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,278,22,10,2,0,0,0,0,0,0,0,0,0
2400301-001,24,003,01-001,895.11,515.88,56.25,11.14,22.12,906.03,532.29,32.17,0.01,0,0,0,0,3.5,2.6,0.27,0.01,821,576,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-002,24,003,01-002,842.99,539.61,63.96,27.74,41.81,876.55,580.29,28.39,1.02,0,0,0,0,65.97,95.26,7.15,0.12,742.46,514.59,24.14,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-003,24,003,01-003,865,449,38,11,24,787,545,40,0,0,0,0,0,0,0,0,0,710,588,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-004,24,003,01-004,540,795,25,15,14,500,842,26,0,0,0,0,0,438,838,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-005,24,003,01-005,422,680.19,50.31,10.12,16.13,436.3,673.06,41.26,3,0,0,0,0,404.15,665.87,47.35,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-006,24,003,01-006,420.64,1000.47,48.02,15.95,27.43,447.97,1002.83,35.15,0.26,0,0,0,0,391.79,964.56,61.71,1.12,8.35,6.79,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-007,24,003,01-007,757.96,346.48,46.97,26.24,22.53,742.98,423.28,32.01,0.94,0,0,0,0,641.76,477.35,50.44,0.93,2.97,2.14,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-008,24,003,01-008,1038,483,38,20,19,928,609,54,1,0,0,0,0,0,0,0,0,869,615,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-009,24,003,01-009,927.85,455.56,54.32,19.2,21.27,874.45,520.93,50.46,0.13,0,0,0,0,0,0,0,0,809.01,573.32,28.45,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-010,24,003,01-010,662.39,426.55,44.21,12.12,32.1,662.32,450.89,41.14,1,0,0,0,0,583.88,486.14,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-011,24,003,01-011,686.06,345.05,30.19,9.95,22.46,683.31,373.4,17.91,1.04,0,0,0,0,581,369,51,1,28.08,19.46,0.91,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-012,24,003,01-012,405.88,1282.46,63.23,32.12,16.11,413.36,1271.95,74.32,3.01,0,0,0,0,361,1226,104,3,4.71,4.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-013,24,003,01-013,341,388,13,20,9,284,428,52,1,0,0,0,0,246,467,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-014,24,003,01-014,752.19,442.81,29.65,14.83,13.84,685.96,506.07,41.51,0.99,0,0,0,0,0,0,0,0,602.93,563.4,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-015,24,003,01-015,769.34,543.59,37.63,10.89,8.91,703,607.95,39.61,0,0,0,0,0,607.95,653.5,58.42,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-016,24,003,01-016,659.66,677.41,28.37,16.11,19.09,628,696.05,50.39,1,0,0,0,0,539.05,724.5,79.58,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-017,24,003,01-017,427.35,364.58,23.07,9.23,9.23,372.89,431.96,32.3,0,0,0,0,0,320.28,450.42,41.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-018,24,003,01-018,752.57,1074.16,25.85,20.39,17.8,651.88,1134.35,54.86,0.1,0,0,0,0,536,1043,78,1,58.96,50.38,3.13,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-019,24,003,01-019,347,900.81,54.69,20.88,21.87,398.7,878.94,44.74,0,0,0,0,0,373.85,845.13,60.65,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-020,24,003,01-020,413,877,55,19,32,453,862,49,3,0,0,0,0,421,807,79,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-021,24,003,01-021,186,1135,40,23,19,245,1076,50,3,0,0,0,0,232,1007,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-022,24,003,01-022,701.12,1829.3,112.33,41.64,52.29,815.39,1763.44,89.09,7.75,0,0,0,0,781.49,1669.51,118.14,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-023,24,003,01-023,70.86,224.52,5.57,3.18,2.39,78.82,209.4,7.17,0,0,0,0,0,75.64,199.84,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-024,24,003,01-024,270,645,51,15,14,299,630,40,6,0,0,0,0,278,617,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-025,24,003,01-025,471.88,476.71,32.67,16.36,15.71,476.61,447.56,47.91,1.25,0,0,0,0,420.51,479.49,52.86,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-026,24,003,01-026,245,1888,39,35,30,257,1837,71,1,0,0,0,0,264,1708,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400301-099,24,003,01-099,1.09,3.46,0.09,0.05,0.04,1.21,3.23,0.11,0,0,0,0,0,1.17,3.08,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-001,24,003,02-001,527.64,438.42,53.72,8.63,24.94,535.31,466.24,38.37,2.88,0,0,0,0,0,0,0,0,499.82,477.75,31.66,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-002,24,003,02-002,543.87,771.75,45.65,13.07,17.61,538.32,795.08,44.55,3.3,0,0,0,0,0,0,0,0,50.59,138.4,6.76,0.38,491.65,606.03,35.97,36.9,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-003,24,003,02-003,668.98,585.48,57.23,21.58,17.83,671.8,592.04,55.36,2.81,0,0,0,0,0,0,0,0,592.98,672.74,26.27,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-004,24,003,02-004,628.78,748.54,45.67,19.97,13.32,652.56,726.69,44.71,0.95,0,0,0,0,0,0,0,0,583.13,759.02,30.44,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-005,24,003,02-005,616.26,723.27,52.51,18.82,16.84,577.62,771.82,66.38,0.99,0,0,0,0,0,0,0,0,528.09,800.55,43.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-006,24,003,02-006,655.03,461.44,48.79,12.51,13.37,588.13,529.54,51.36,0.02,0,0,0,0,0,0,0,0,536.36,575,25.88,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-007,24,003,02-007,850.24,880.16,52.11,28.95,43.43,793.3,960.26,69.49,0.97,0,0,0,0,0,0,0,0,773.03,943.85,43.43,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-008,24,003,02-008,523.63,305.54,41.12,8.85,16.66,489.28,361.76,29.67,1.56,0,0,0,0,0,0,0,0,448.68,395.07,13.01,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-009,24,003,02-009,602.51,1065.21,51.13,25.45,29.86,594.92,1096.51,59.95,1.23,0,0,0,0,0,0,0,0,555.15,1086.49,48.3,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-010,24,003,02-010,926.86,498.02,42.71,19.86,18.9,846.05,593.54,60.67,0.99,0,0,0,0,0,0,0,0,769.73,660.34,24.08,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-011,24,003,02-011,552.74,352.73,40.49,15.18,13.16,499.38,435.18,32.62,9.01,0,0,0,0,0,0,0,0,453.91,468.45,22.41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-012,24,003,02-012,382.42,236.57,25.12,16.05,11.86,353.81,271.46,43.27,0.7,0,0,0,0,0,0,0,0,329.38,286.12,27.91,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-013,24,003,02-013,381.33,310.15,33.53,15.67,15.3,387.74,328.68,27.93,0.94,0,0,0,0,0,0,0,0,18.87,30.54,1.71,0.2,378.15,262.68,19.67,22.21,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-014,24,003,02-014,365.26,1457.14,36.3,20.26,41.28,377.55,1444.19,72.98,1.36,0,0,0,0,0,0,0,0,344.39,1416.19,64.31,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-015,24,003,02-015,477.31,785.99,45.45,26.7,33.37,479,788.79,63.91,7.44,0,0,0,0,0,0,0,0,472.6,774.55,43.02,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-016,24,003,02-016,955.52,589.04,68.59,16.44,15.01,905.62,652.34,52.96,1.31,0,0,0,0,0,0,0,0,848.46,679.36,32.95,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-017,24,003,02-017,390.49,1050.52,40.4,13.88,16.86,392.46,1029.04,54.22,1.03,0,0,0,0,0,0,0,0,365.05,1019.16,42.34,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-018,24,003,02-018,464.67,772.63,62.97,27.16,20.46,483.75,789.78,51.77,1.33,0,0,0,0,0,0,0,0,20.49,33.16,1.86,0.22,449,740,54,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-019,24,003,02-019,576.05,1020.13,63.1,33.4,20.15,566.75,1018.34,79.9,3.18,0,0,0,0,0,0,0,0,534.9,1019.26,50.65,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-020,24,003,02-020,706.35,735.99,58.41,27.85,31.09,739.81,735,57.03,0.23,0,0,0,0,0,0,0,0,0,0,0,0,764.35,662.97,41.03,51.1,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-021,24,003,02-021,1294.19,821.38,74.61,20.59,55.27,1354.5,821.19,55.38,1.24,0,0,0,0,0,0,0,0,50.6,55.53,2.55,0.24,1298,698,62,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-022,24,003,02-022,1066.08,609.07,49.05,21.69,24.82,934.89,735.67,77.26,1,0,0,0,0,0,0,0,0,867.33,728.8,54.3,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-023,24,003,02-023,812,846,110,34,32,831,867,71,1,0,0,0,0,0,0,0,0,789,876,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400302-024,24,003,02-024,603.81,617.62,53.39,18.41,14.73,630.5,603.81,50.62,2.76,0,0,0,0,0,0,0,0,585.4,642.47,29.45,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-001,24,003,03-001,1056,467,67,15,22,1040,530,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,435,58,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-002,24,003,03-002,195.44,87.32,12.6,3.52,2.64,182.84,109.88,7.62,0.29,0,0,0,0,0,0,0,0,178.74,102.56,6.45,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-003,24,003,03-003,1399.99,672.71,56.45,14.11,17.88,1307.79,736.69,74.33,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1294.62,668.95,87.5,47.04,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-004,24,003,03-004,1242.16,715.37,98.46,23.36,32.46,1205.78,778.03,88.92,3.02,0,0,0,0,0,0,0,0,0,0,0,0,1191.44,715.28,90.26,61.22,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-005,24,003,03-005,1241.71,767.83,81.28,28.41,50.04,1249.37,820.43,76.62,3.37,0,0,0,0,0,0,0,0,0,0,0,0,1261.85,735.32,68.33,64.79,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-006,24,003,03-006,2165.17,1931.86,154.01,40.79,50.95,2167.1,1925.81,136.35,3.33,0,0,0,0,20.07,49.25,5.12,0.1,1922.49,1835.45,106.63,9.82,84.76,46.37,5.74,3.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-007,24,003,03-007,935.52,538.94,72.11,18.49,22.19,917.95,595.33,46.22,0.92,0,0,0,0,0,0,0,0,0,0,0,0,912.41,535.24,61.94,36.98,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-008,24,003,03-008,805.9,910.13,63.7,24.37,19.93,776.37,963.51,63.48,3.12,0,0,0,0,0,0,0,0,709.15,987.6,45.96,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-009,24,003,03-009,440.44,216.17,29.15,3.24,10.53,459.87,216.17,13.76,2.43,0,0,0,0,0,0,0,0,0,0,0,0,455.01,204.03,26.72,7.29,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-010,24,003,03-010,1283.4,410.37,72.99,10.85,21.7,1280.44,477.44,31.57,5.92,0,0,0,0,0,0,0,0,0,0,0,0,1252.82,417.26,53.27,32.55,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-011,24,003,03-011,1466.1,521.12,65.04,17.25,26.96,1454.16,549.22,47.83,1.08,0,0,0,0,0,0,0,0,1365.29,597.35,25.51,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-012,24,003,03-012,1148.63,381.51,57.99,10.8,19.45,1113.68,429.54,39.29,0.87,0,0,0,0,0,0,0,0,1046.65,462.56,28.89,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-013,24,003,03-013,1378.78,451.73,54.99,20.93,22.12,1393.46,463.67,34.92,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1395.06,390.09,42.73,36.87,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-014,24,003,03-014,703.04,271.54,48.06,11.62,3.38,672.22,334.74,28.18,2.47,0,0,0,0,0,0,0,0,620.37,350.88,23.21,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-015,24,003,03-015,975.69,345.47,40.89,15.82,15.28,961.73,398.95,23.27,3.03,0,0,0,0,0,0,0,0,906.84,409.06,20.14,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-016,24,003,03-016,1016,526,63,20,26,990,574,51,0,0,0,0,0,0,0,0,0,0,0,0,0,990,494,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400303-017,24,003,03-017,1051.27,309.41,48.85,13.57,19,998.79,375.45,37.09,5.43,0,0,0,0,0,0,0,0,0,0,0,0,978.89,326.6,47.04,13.57,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
