GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2401102-001,24,011,02-001,1919,268.5,15,3.7,0,1012.8,1067.6,1,1473.8,628.3,1,1324,707.3,14.5,74.8,1.8
2401103-001,24,011,03-001,1602.7,414.1,13.3,6,2,798.1,1176.6,0,1158.9,824.2,2,1025.4,873.7,17.2,95.1,3
2401104-001,24,011,04-001,1587.6,310.8,9.8,9.2,2.2,693.5,1172.5,0.1,1231.6,626.7,0,1083.4,705.9,25.6,72.8,0.2
2401105-001,24,011,05-001,1185.3,366.9,7,3,0,544.1,986.2,0,869.8,682.7,0,776,744.1,13.1,34.5,0
2401106-001,24,011,06-001,713.7,107.8,10.6,2,1.9,346.5,455.7,0,544.2,269.4,0,493.7,276.6,9.6,48.1,0
2401107-001,24,011,07-001,1081.3,249.4,11.2,4.3,0,549.1,745.6,0,835.2,474.2,0,741.2,518,8.7,51.1,4.2
2401108-001,24,011,08-001,774,107,9,0,0,387,464,0,630,230,1,551,265,11,45,0
2401301-001,24,013,01-001,1919.7,269.3,17.8,11.9,1,1089.1,1047.5,1,1478.2,708.9,4,1339.6,669.3,25.7,173.3,2
2401301-002,24,013,01-002,1358.3,231.8,6.1,1.1,0,824.9,704.2,1,1068.5,484.8,4,952.1,509.4,15.1,92.8,0
2401302-001,24,013,02-001,844.2,123.9,4,3,2,466.7,475.6,0,667.6,291.5,0,601.3,305.3,3,66.4,0
2401302-002,24,013,02-002,1048,152.9,6.1,6,0,576,602.4,3,846.3,332.3,1,765.4,346.3,10.2,78.9,0
2401303-001,24,013,03-001,2014.1,241.2,19.1,11,2,1280.4,929.7,3,1703.5,539.7,1,1539.7,538.9,37.1,142.7,0
2401304-001,24,013,04-001,3073.4,544.4,26,17,1,1716,1790.9,4,2377.2,1199.6,0,2073.6,1219.6,49.9,270.7,4
2401304-002,24,013,04-002,1324,189,9,1,3,793,683,3,1039,466,1,934,460,24,98,0
2401304-003,24,013,04-003,2457.3,391,21.8,11.9,3,1427.5,1391.8,3,1934,907.5,0,1732.6,919,35.9,185.5,0
2401305-001,24,013,05-001,1649.4,496.7,17.2,4.1,6,865.4,1253.7,1,1182.2,956.8,1,1018.3,983.8,32.5,133.7,0
2401305-002,24,013,05-002,3105.1,675.5,29.9,17.8,0.1,1672.1,2027.5,1.2,2243.1,1515.9,0.2,1905.4,1557.7,58.1,288.4,4
2401305-003,24,013,05-003,1564.9,305.4,14.1,11.9,1,851.3,990.5,0,1154,704.5,0,1003.6,723.8,27.3,134.4,3
2401305-004,24,013,05-004,3897.3,926.9,26.9,13.8,2.9,2097,2613.9,1.1,2790.6,2020.4,0.2,2443.9,2017.8,57,324.3,4
2401305-005,24,013,05-005,1085,305.9,11.4,2.3,0,560,795.1,0.8,745.7,630.8,0.8,657.4,654.4,20.5,67.7,0
2401305-006,24,013,05-006,317,102,0,3,0,142,272,0,216,209,0,189,209,1,28,0
2401306-001,24,013,06-001,3058.6,422.6,21.9,8.9,4,1830.6,1579,3,2515.7,913.8,0,2249.2,961.5,31.8,225.7,0
2401306-002,24,013,06-002,2691.5,331.3,32,6,0,1493.8,1432,3,2138.2,844.6,1,1944,843.6,36,200.1,0
2401307-001,24,013,07-001,736.3,201.7,8.9,6,0,411.4,506.8,0,525.7,407.4,1,458.1,407.4,10.9,69.6,0
2401307-002,24,013,07-002,1490.7,294.3,16.1,5,1,828.6,903.2,1,1148.3,617.6,1,1023.9,615.6,22.1,112.4,0
2401307-003,24,013,07-003,1041,356,12,5,3,552,801,1,739,650,0,662,624,24,87,0
2401307-004,24,013,07-004,2511.8,655.5,30.1,27,1,1377.8,1728.3,0,1869.9,1293.2,1,1641.1,1290.4,51.1,203.7,2
2401307-005,24,013,07-005,546,99,6,1,0,205,439,0,324,313,0,275,304,4,82,0
2401307-006,24,013,07-006,1038,247,3,3,0,532,722,3,787,479,3,673,510,13,89,0
2401307-007,24,013,07-007,2416.2,641.7,39,20,0,1331.5,1664.3,6,1806.4,1241.5,4,1567.5,1262.5,60,195.9,3
2401307-008,24,013,07-008,1003,153,9,8,0,599,533,3,794,356,1,690,346,17,104,2
2401308-001,24,013,08-001,2392.3,332.2,9.3,0,0.9,1370.6,1267,0.9,1909.9,763.2,0,1704.6,792.1,37.3,170.7,2.8
2401308-002,24,013,08-002,1815.4,272.3,16.8,4,3,1028.1,1027.1,5.9,1445.4,629.5,2,1267.8,631.5,34.5,167.7,0
2401308-003,24,013,08-003,1513,227.2,12.9,4,4,801.5,897.9,1,1122.4,590.9,0,1002.8,587.9,29.9,130.5,0
2401309-001,24,013,09-001,1875,330,10,12,2,1193,980,0,1539,669,0,1388,682,17,135,3
2401309-002,24,013,09-002,959.8,132.6,5,6,0,599,469.4,0,758.4,321.9,0,684.7,309,11,88.7,0
2401310-001,24,013,10-001,591.7,63.8,3.1,0,0,340.4,289,0,491.5,146,0,448.1,161.1,5.1,26.2,0
2401311-001,24,013,11-001,1444.2,201.5,12.1,8.1,1,790.1,824,0,1102.7,518.7,0,988.5,513,27.1,110.1,1
2401312-001,24,013,12-001,533.9,78.4,6,0,0,294.7,294.7,0,394,210.4,0,360.2,208.4,5,37.7,0
2401313-001,24,013,13-001,4032.2,895.3,18.7,8.9,1,2424.2,2358.6,3.9,3052.1,1833,2,2757,1850.7,50.2,279.4,3
2401314-001,24,013,14-001,1617.9,318.5,14.4,3.3,0,897.1,1003.3,1,1195.8,734.4,1,1081.1,721,25.8,120,0.1
2401314-002,24,013,14-002,2807,469.3,31,6,2,1639.3,1584,4,2223.6,1057.7,3,1964.4,1036.7,44,255.1,4
2401314-003,24,013,14-003,407,66.7,5,3,0,264.7,200,0,328.4,140.3,0,300.6,141.3,8,25.9,0
2401501-001,24,015,01-001,1610,371.7,18.1,4,0,996.1,967.4,4,1237.7,737.3,1,1130.8,745.8,23,88.5,2
2401502-001,24,015,02-001,823.7,208.2,17.6,0.9,0.9,562.4,457.4,0,655.4,388.5,0,601.5,417.3,14.9,27,1.9
2401502-002,24,015,02-002,603.9,169.7,6.4,8.8,0.8,416.7,359.3,0,502.7,279.8,0,469.7,285.4,6.4,27.3,0
2401503-001,24,015,03-001,1057.1,732.8,25.1,5.1,0,664.4,1102.5,2,808.9,984.1,2,754.8,995.7,23.1,32.4,2
2401503-002,24,015,03-002,571.3,159.9,6.7,5.5,0,415,307.4,0.1,470.6,260.6,0,425.2,284.3,9.2,21.2,0
2401503-003,24,015,03-003,893.1,430,16.8,7.9,2,575,743.1,3,703.8,633.2,3,626.7,646.1,22.7,38.6,3
2401503-004,24,015,03-004,148.5,28,1,0,0,115.4,61,0,122.4,55.1,0,119.4,56,0,1,0
2401503-005,24,015,03-005,225.7,164.7,3.8,4.7,0,150.4,241.8,0,174.2,222.7,0,167.6,209.5,5.7,14.2,0
2401503-006,24,015,03-006,897.6,184.4,9.7,11.6,0,593.9,449.3,1,722.9,356.1,0,650.1,388.1,21.4,34.9,0
2401503-007,24,015,03-007,509.5,393.4,9.7,3,1,304.3,583.2,1,370.5,532.6,1,342.4,525.5,14.6,28.3,0
2401504-001,24,015,04-001,1641.9,628.2,21.8,11.9,0,1074.1,1155.4,0,1298.1,970.1,0,1235.7,988.9,22.8,64.4,0
2401504-002,24,015,04-002,535.1,501.8,8.2,10.1,0,354.9,667.6,0,411.9,630.9,0,361.4,646.1,8.2,30.6,2
2401505-001,24,015,05-001,819.9,177.4,10.9,6.9,0,510.7,481.7,1,645.9,354.5,0,585.6,360.5,13.8,48.4,0
2401505-002,24,015,05-002,1040.7,243.1,16,8.4,0.9,670.8,618.6,0.2,815.8,487.6,0.1,723.8,506.1,21.1,64.8,0.9
2401505-003,24,015,05-003,1819.7,353.8,23.2,6.9,0,1169,957.2,2.6,1441,722.2,1.7,1336.8,754,25.8,72.3,0.9
2401505-004,24,015,05-004,581.9,250.1,12.9,3,3.9,342.6,474.6,1,412.4,425.6,0,374.1,442.4,14,26.3,0
2401505-005,24,015,05-005,1622.4,372.6,22.8,10.5,0.1,1119.3,840.9,2.8,1350.5,641.6,1.9,1226.6,676.8,20.6,88.3,0.1
2401505-006,24,015,05-006,235.3,76.2,3.8,0,0,138.4,170.4,0,175.1,142.1,0,163.8,142.1,1.9,9.4,0
2401506-001,24,015,06-001,1803,257.3,22.9,7,0,1197.7,821.7,1,1526.7,533.5,0,1399.1,546.5,32.9,91.7,1
2401506-002,24,015,06-002,1668.7,201.5,17,3.1,2.9,1099,740.6,1,1388.3,464.5,0,1273.8,488.8,18.9,87.3,1
2401506-003,24,015,06-003,432.9,36.2,0.9,0,0,264.1,185.9,0,360.4,102,0,323.2,114.4,4.8,21.9,0
2401507-001,24,015,07-001,1412.7,212.7,18.2,6.3,0.1,910.9,697.9,2.7,1181.5,448,1.8,1072.2,490.4,14.6,66.8,0
2401507-002,24,015,07-002,1549.4,459.8,9.1,8.2,0.2,814.3,1165,1,1086.1,926.6,0.2,967.6,981.4,8.1,82,1
2401507-003,24,015,07-003,317.3,102,4,0,0,199,217.2,0,249.8,171.5,0,226.5,177.7,7,18.1,0
2401507-004,24,015,07-004,158.6,24,0,0.8,0.8,91.7,86.7,0,130.5,49.5,0.8,119.7,53.7,0,9.1,0
2401508-001,24,015,08-001,1381.3,171.3,14.7,6.3,0.9,965.3,560.8,0.9,1188.2,357,0.9,1093,376.2,16.5,71.5,0.9
2401509-001,24,015,09-001,1122.4,152.4,10.1,3.1,0,778.5,460.3,0,954.9,306,0,898.2,326,16.1,22.5,2.1
2401509-002,24,015,09-002,751.5,120.2,10.9,4.9,0,487.6,385.1,3,615.7,266.5,1,559.6,270.1,13.1,41.5,4.9
24015ZZZZZZ,24,015,ZZZZZZ,647.8,153.2,8.3,4.3,0.4,417.1,374.1,0.6,513.6,289.1,0.4,473.6,300.1,8.8,28.4,0.5
2401701-001,24,017,01-001,927.3,611,4.1,5.1,0,488.8,990.8,0,597,915.9,0,547.3,914.9,13.3,39.8,0
2401701-002,24,017,01-002,1176.3,297.8,7.9,4.9,2,658.4,732.1,3,851,567,3,799,589.6,16.7,36.4,2
2401701-003,24,017,01-003,1307.3,538.7,9.6,6.5,0,763.3,1001.4,0.7,880.2,917.4,0.7,811.7,943.7,20,61.6,0
2401701-004,24,017,01-004,747.4,224.4,5.4,1.6,0,442.8,496.3,2.3,535.8,401.9,2.3,503.9,412.8,10.1,25.7,0
2401702-001,24,017,02-001,749.8,150.6,3,8,0,432.7,421.8,2,529.4,336,2,517.5,343,3,24.9,2
2401703-001,24,017,03-001,922.1,406.8,5,3,2,511.6,758.3,2,667.8,646.2,0,631.7,653.2,12,28,2
2401704-001,24,017,04-001,1307.4,180,1.1,3.1,0,758.8,623.5,3,1018.1,391.6,0,970.9,425.2,3.3,44,0
2401704-002,24,017,04-002,893.5,120.1,2.9,2,2.9,530.3,420.9,0,689.4,275.4,0,652.3,297.9,8.8,29.3,0
2401705-001,24,017,05-001,1262.1,299.9,3.6,2.7,0,712.8,769.1,2.7,899.8,596.4,0.9,855.3,609.8,13.3,38.3,0
2401706-001,24,017,06-001,956,391,4,5,1,520,776,3,662,652,1,618,679,17,31,0
2401706-002,24,017,06-002,1054.2,1046.1,6.4,10,3,551.5,1523,2.1,649.6,1461.8,1.1,621.3,1446.1,14.7,39.7,2
2401706-003,24,017,06-003,469.4,1141.5,5,8,0,171.1,1438.9,0,206,1438.6,1,174.8,1447.2,9.2,19.3,0
2401706-004,24,017,06-004,578,1344.8,16.6,7.8,0,235.9,1687.9,1,238,1724.8,0,211.6,1685.9,22.4,36,0
2401706-005,24,017,06-005,488.6,1548,8.7,0,0,148.3,1899.9,1,169.7,1929.9,0,154.1,1893.1,7.8,30,0
2401706-006,24,017,06-006,852.4,935.4,12.8,3,1,413.3,1358.6,0,502.3,1321.1,0,454.9,1318.1,17.8,38.6,0
2401706-007,24,017,06-007,514,1023,14,6,0,222,1324,0,243,1336,1,220,1327,6,30,3
2401706-008,24,017,06-008,405,707,9,2,0,165,944,1,187,937,1,172,931,10,19,0
2401706-009,24,017,06-009,386.3,901.7,8.6,7.7,1,138.6,1154.1,0,163.5,1156,0,144.4,1150.3,5.7,18.2,1.9
2401706-010,24,017,06-010,667,1442.3,2.9,2,1,236,1877.2,2,240.9,1905.5,1,226.2,1892.8,9.8,17.6,0
2401706-011,24,017,06-011,507,829,3,5,0,186,1156,0,221,1132,0,198,1128,10,24,0
2401706-012,24,017,06-012,363,497,8,6,1,139,728,2,146,744,0,143,732,4,17,0
2401706-013,24,017,06-013,803.9,1356.9,8,5,0,350,1800.8,5,418,1779.8,1,387,1753.8,14,42,3
2401706-014,24,017,06-014,932,1361,8,10,2,455,1822,3,489,1853,0,451,1841,18,36,2
2401706-015,24,017,06-015,363.4,996,3,2,4,134.2,1229.3,2,155.2,1231.3,4,137.2,1216.3,4,19,0
2401706-016,24,017,06-016,427.4,584,6.7,2.9,0,187.3,824.1,2.9,220.9,809.7,1.9,193.1,814.5,15.4,17.3,0
2401706-017,24,017,06-017,380,577,1,5,3,181,782,2,213,763,2,198,763,9,9,2
2401706-018,24,017,06-018,525.1,1589.8,12.4,0.3,1,164.6,1958.5,0,159.8,1999.6,3,138.9,1986.3,16.3,19.9,2.1
2401706-019,24,017,06-019,656,919,3,10,1,291,1268,2,351,1237,0,329,1242,9,21,2
2401706-020,24,017,06-020,406,474.9,1.4,5.2,1,180.1,692.8,1,220.2,668.7,0,190.5,673.7,8.6,15.9,2
2401706-021,24,017,06-021,372.2,554.3,3,2,0,164.8,761.6,0,194.9,738.6,0,162.8,751.7,5,14.1,2
2401706-022,24,017,06-022,336,954,6,3,0,119,1183,0,138,1182,1,123,1167,8,22,3
2401707-001,24,017,07-001,500.3,181.3,4.1,5.1,0,284.1,377.4,0,346.8,334,0,307.6,361,0.1,25.2,0
2401707-002,24,017,07-002,647.8,1004.9,7.9,5,1,286.7,1364,0,335.3,1346.2,1,305.5,1333.3,15.9,35.7,0
2401707-003,24,017,07-003,793,1091,8,6,3,359,1534,2,428,1487,0,391,1495,14,28,0
2401707-004,24,017,07-004,452.7,921.5,3.5,2.1,2.1,199.4,1160.2,1.4,230.2,1162.2,0.7,210.6,1154.6,9.1,16.8,2.1
2401708-001,24,017,08-001,1657.3,630.7,6.9,2,0,933,1271,3.6,1177.6,1085.6,0,1097,1095.5,13,69.8,3
2401708-002,24,017,08-002,814,565,5,3,0,438,900,3,512,859,1,470,869,8,45,0
2401708-003,24,017,08-003,579,555,6,2,0,292,837,0,336,804,1,315,790,17,30,0
2401708-004,24,017,08-004,1086.5,1097.1,9.3,6,0,517.7,1626.2,0,627.4,1565.2,4,567.9,1579,17.2,53,0
2401708-005,24,017,08-005,78.7,25.3,1.1,0,0,48,53,0.4,56.4,45.4,0,53,46.5,0,4.2,0
2401709-001,24,017,09-001,930,578,7,2,0,522,950,5,632,865,3,605,877,6,33,0
2401709-002,24,017,09-002,1150.7,369.8,6.9,2.9,0,709.3,769.1,2,851.5,654.3,0,804.4,668.1,3.9,36.3,2
2401710-001,24,017,10-001,953.5,630.7,11.8,10.9,3,498.4,1056.1,3,623.8,968.2,4,593.2,982.1,9.9,29.6,2
24017ZZZZZZ,24,017,ZZZZZZ,361.3,441.2,2.1,1.4,0.9,179.6,606.4,0.9,217.4,585,0.4,203,583.5,5.7,12.4,0.9
2401901-001,24,019,01-001,682,96,2,2,0,367.4,372.3,0,552.6,192,0,516.4,209.7,3.9,24.5,0
2401901-002,24,019,01-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401902-001,24,019,02-001,808.1,68.2,3,0,0,382.1,447.7,2.1,628.7,198.1,0,576.6,246,6.2,20.2,0
2401902-002,24,019,02-002,71,50,2,0,0,32,97,0,48,81,0,36,91,0,7,0
2401902-003,24,019,02-003,75.4,4.7,0,0,0,29.2,46.2,0,66,8.5,0,57.5,17,1.9,1.9,0
2401902-004,24,019,02-004,123.4,20.1,0,0,0,50.7,86.1,1.9,103.3,35.4,0,91.8,44,2.9,1.9,0
2401903-001,24,019,03-001,96.2,15.5,0,0,0,37.8,73.9,0,70.5,39.5,0,53.3,52.1,0,1.7,0
2401903-002,24,019,03-002,141,82,0,0,0,55,163,0,98,115,0,83,136,0,3,0
2401904-001,24,019,04-001,120.8,22.2,0.2,0,0.2,50.7,84.2,0,94.7,40,0,77.8,51.1,2,8.7,0
2401905-001,24,019,05-001,137.2,14.3,3,0,0,40.9,110.5,0,105.6,31.7,0,89.4,52.9,1,2.1,1
2401906-001,24,019,06-001,231.2,17.7,0,0,0,98,136.7,0,164.8,65.7,1,149.3,78.3,0,10.2,0
2401907-001,24,019,07-001,232.1,86.8,0.9,1.7,0,88.6,225.2,0,172.8,141.9,0,148.7,159.9,0.9,6.9,0.9
2401907-002,24,019,07-002,300.1,904.1,7,2,2,73.4,1131.7,0,127.8,1130.3,1,101.7,1127.4,6,15,1
2401907-003,24,019,07-003,324.4,48.8,1.4,0,0,122,247.9,2.8,235.8,131.1,0,217.3,144.8,1.1,10.8,0.9
2401907-004,24,019,07-004,138,119,0,3,0,40,214,0,87,173,0,68,185,2,8,0
2401907-005,24,019,07-005,47,52,1,0,0,12,90,0,27,79,0,19,81,3,3,0
2401907-006,24,019,07-006,1030,243.8,17.1,8.1,0,352,939.2,0,724.1,559.3,0,610.6,639.9,18.7,40.9,0.1
2401907-007,24,019,07-007,16.3,34,0.4,0,0,3.4,47.7,0,7.2,46.2,0,7.2,45.4,0,0.8,0
2401907-008,24,019,07-008,22,4,0,0,0,8,20,0,15,11,0,12,12,2,0,0
2401907-009,24,019,07-009,334,192,4,5,0,123,405,0,220,308,3,172,333,7,27,0
2401907-010,24,019,07-010,56,79,0,2,0,25,109,0,37,101,0,31,105,0,0,2
2401907-011,24,019,07-011,14,3,0,0,0,4,14,0,9,6,0,9,5,0,2,0
2401908-001,24,019,08-001,467.8,74.8,3,0,0,183.5,356.1,0,365.1,153.6,0,311.2,191.5,7,32.9,0
2401909-001,24,019,09-001,354.9,38.3,2.1,0,0,116.7,273.2,0.2,258.8,114.8,0,223.6,137.8,3.1,25.7,0.1
2401910-001,24,019,10-001,103.4,13.2,0,0,0,40.4,74.3,0.9,75.2,33.8,0,66.8,46.1,0,2.8,0
2401911-001,24,019,11-001,41.9,4.4,0,0,0,21.3,24.9,0,37.3,8.6,0,33.2,9.7,0,0.2,0
2401912-001,24,019,12-001,155,40,1,2,0,84,108,0,123,75,0,113,73,1,8,0
2401912-002,24,019,12-002,107.7,71.5,0.9,1.8,0,45.9,136,0,68.9,116.6,0,60.9,113,0.9,6.2,0
2401913-001,24,019,13-001,162.3,20.4,0.4,0.4,0,58.2,126.4,0,134.7,39.9,0,127.8,39.6,0.4,8.7,0
2401913-002,24,019,13-002,32.8,20.5,0.6,0.6,0,15.2,39.3,0,25.8,29.9,0,21.7,32.2,0.6,1.2,0
2401914-001,24,019,14-001,568.7,60,3.9,4.9,2,248.9,363.1,0,441.8,162.3,0,394.6,200.7,3.9,22.6,0
2401914-002,24,019,14-002,41.3,10,0.1,0.1,0,12.1,41.9,0,28.2,22.6,0,22.4,24.3,0.1,5.4,0
2401914-003,24,019,14-003,351,23,0,0,0,131,232,0,267,94,0,237,116,1,12,0
2401914-004,24,019,14-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401915-001,24,019,15-001,786,136.5,13.3,1.9,1.8,361.6,542.4,0.9,605.2,300.9,0,525.8,362.7,12.5,30.6,1.8
2401915-002,24,019,15-002,52.8,6.1,0,0,0,27.4,28.4,0,46.6,9.2,0,37.6,15.2,0,2,0
2401915-003,24,019,15-003,379.6,282.2,1.1,3.1,0,133.9,523.1,0,212.4,467.8,0,169.9,496.4,4,13.4,0
2401916-001,24,019,16-001,250.9,23,1.8,0,1.8,118.3,144.1,0,199.6,61,0,169.6,82.2,0,17.7,0
2401917-001,24,019,17-001,101,17,0,0,0,36,76,0,78,34,0,67,46,0,2,0
2401917-002,24,019,17-002,19.5,4.4,0,0,0,5,20,0,13.9,12,0,9.4,15.4,0,2,0
2401918-001,24,019,18-001,26.1,6.7,0,0,0,16.8,15.1,0,20.2,9.2,0,17.7,11.8,0,1.7,0
2402101-001,24,021,01-001,1519,503.7,8,13.9,1,922.1,1045.8,3,1076.3,927.5,3,986.8,951.4,17.9,84.6,3
2402101-002,24,021,01-002,1265.4,1078.5,27,10,1,705.7,1575.3,2,837.6,1499.3,4,721.7,1535.3,36,78,2
2402101-003,24,021,01-003,871.5,403.5,9,7,1,542.1,719.7,3,616.5,664.4,3,573.2,662.5,19,36.3,3
2402102-001,24,021,02-001,721,1098.7,20.4,20.7,1,378.7,1447.7,2.1,434.6,1419.9,4.2,376.9,1403,28.1,53.9,5.2
2402102-002,24,021,02-002,237.9,257.1,7.4,3,0,108.2,386.8,0,140.1,362.4,2.2,123,362.4,7.4,14.8,1.5
2402102-003,24,021,02-003,966.7,958.1,23.7,19.2,2.9,505.3,1418.3,5,579.5,1368.7,5.2,497.1,1381.5,37.1,63.5,5.1
2402102-004,24,021,02-004,1111.3,1382.5,31.6,10.3,0.1,631,1820.5,0.1,697,1813.2,1,634.1,1793.9,36.5,54.2,0
2402102-005,24,021,02-005,1221.6,1141.4,15.6,23.4,2.9,524.8,1820.6,7.8,696.8,1685.8,4.9,597.1,1692.6,24.4,83.1,5.9
2402102-006,24,021,02-006,1072.1,706.6,5,9,0,558.1,1203.4,5,681.2,1102.5,1,613.1,1085.4,19.1,70.2,2
2402102-007,24,021,02-007,1078.3,976.2,18.3,6.8,0,527.9,1488.1,1.9,670,1379.5,2.9,589.9,1402,28.7,54.3,1.9
2402102-008,24,021,02-008,990.2,912.5,14.2,3,3,550.7,1336.3,3.1,616.2,1313.4,0,549.1,1322,17.2,45.7,3.1
2402102-010,24,021,02-010,1300.9,960.4,13.5,13.6,1.1,643.1,1607.6,1.2,790,1480.8,0.1,727.9,1475.3,33.8,65.3,1.1
2402102-011,24,021,02-011,599.5,638.5,21,9,0,258.2,979.8,1,338.3,913.7,1,297.3,916.7,26,22,0
2402102-013,24,021,02-013,782.1,966.6,15.1,11.8,0,403.5,1332.2,3,486.5,1302.3,0.6,423.7,1316.3,19.1,39.2,0.4
2402102-014,24,021,02-014,679,452,5,9,3,375,750,1,430,714,1,383,735,13,26,1
2402102-015,24,021,02-015,1432.7,811.5,13.8,13.4,0.1,792.8,1456.7,3.3,942.8,1328.6,1.1,848.8,1341.1,24.6,69.3,3.1
2402102-016,24,021,02-016,522.5,661.5,13.4,6.7,0,287.7,864.8,1.9,313.6,875.3,0.1,277.2,862,22,40,2
2402102-017,24,021,02-017,377,728.2,7.7,6.2,3,198.6,896.9,1,203.7,918.9,2,173.5,909.5,17.8,26.1,5
2402102-018,24,021,02-018,701.2,503.4,8.8,5.9,1,387.8,805,2,478.9,717.9,1,406.4,757.1,21.6,32.3,1
2402103-001,24,021,03-001,848,296,7,4,0,507,600,1,638,483,1,587,501,14,39,0
2402103-002,24,021,03-002,1522,464,5,14,0,863,1076,0,1117,851,1,1030,884,24,72,3
2402103-003,24,021,03-003,968,322,9,6,0,549,715,0,686,604,0,616,614,20,52,1
2402104-001,24,021,04-001,512.2,85.9,4.4,0.1,1,327.2,243.6,0,415.3,177.8,1.2,386.2,186.3,6.6,17.3,2
2402105-001,24,021,05-001,1695.2,346.2,22,10,0,1069.8,943.6,1,1336.9,698.4,1,1253.9,737.5,20,53,5
2402106-001,24,021,06-001,999.2,140.1,9.8,3.9,0,650.5,451.6,0,848.3,284.1,1,809.2,294.9,7.8,35.3,1
2402107-001,24,021,07-001,778.9,372,9.1,7.1,1,459.7,671.8,0,550.7,603,1,496.9,600,19.2,42.7,1
2402107-002,24,021,07-002,1520,1045,17,4,3,895,1627,1,981,1596,1,846,1641,33,85,1
2402107-003,24,021,07-003,1104,352,12,4,0,679,727,0,793,645,0,742,673,14,36,0
2402107-004,24,021,07-004,784.1,436.2,8.8,8.8,0,429.3,774.3,0,501.8,721.4,0,470.5,734.1,12.7,21.6,0
2402107-005,24,021,07-005,37,11,0,3,0,14,34,0,26,23,0,23,18,1,6,0
2402107-006,24,021,07-006,3.5,2.8,0,0,0,2.1,4,0,2.6,3.7,0,2.5,3.6,0,0.2,0
2402107-007,24,021,07-007,192.4,78.7,2.9,0,0,89.4,181.7,0,121.5,144.8,0,118.6,131.2,4.9,9.7,1
2402108-001,24,021,08-001,1084.9,204.5,4.9,3.9,0,681.7,565.8,0,848.2,421.7,0,806.4,439.2,10.7,35.1,0
2402109-001,24,021,09-001,1449,523.9,11.6,9.7,3.5,912.5,1014.2,7.1,1083.9,885.1,0,984.4,914.5,30.1,65.8,2.6
2402109-002,24,021,09-002,2184.6,654.1,17.4,7.3,0.5,1343.4,1440.3,6.9,1637.6,1171,3,1513.7,1213.7,27,86.4,2.4
2402109-003,24,021,09-003,298.2,77.1,3.3,0.3,0,176.1,180.2,0,213.5,153.2,0,207.5,149.6,2.4,13.6,0
2402109-004,24,021,09-004,1790.8,417.6,12.9,10.9,3,1119.6,1043.1,0,1359.3,846.2,0,1241,881,24.9,74.6,5
2402109-005,24,021,09-005,771.8,227.2,4.1,7.1,0,453.9,534.6,2,530.1,475.9,0,485.2,485.1,8.2,36.6,2
2402109-006,24,021,09-006,1417.1,624.8,4.1,2.2,0,821.7,1151.8,0,978.2,1016.5,3.9,869.1,1082.8,16.5,67.6,4.9
2402109-007,24,021,09-007,2112.6,868.9,12,14,0,1295.7,1627.6,0,1525.3,1445.2,0,1396,1472.3,41.1,92.2,5
2402109-008,24,021,09-008,581,277,5,2,1,323,501,2,405,444,0,356,460,7,28,2
2402109-009,24,021,09-009,538,207,3,0,4,333,395,0,377,369,0,336,386,8,21,0
2402110-001,24,021,10-001,829.3,111.6,10,3.1,1,602.6,309.2,0,691.9,240,0,656.8,253,14,10.1,0
2402111-001,24,021,11-001,1192.3,226.7,9.3,2,0,674.6,698.2,0,924.2,455.6,3.7,859.5,485.6,12.3,47,0
2402112-001,24,021,12-001,1446.6,545.2,18.4,11.4,1.1,885.5,1061.5,6,1043.7,942.8,2,946.2,978.7,33.7,51.8,0
2402112-002,24,021,12-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402113-001,24,021,13-001,1936.4,791.1,14,4,1,1143.3,1522.4,1,1386.7,1330.8,1,1264,1366.7,33.9,74.8,1
2402113-002,24,021,13-002,77,17,0,0,0,38,54,0,57,34,0,53,33,0,7,0
2402113-003,24,021,13-003,73.9,21.4,0.5,0.5,0,43.8,50.5,0,51,42.8,0,47.9,45.9,0,3.6,0
2402114-001,24,021,14-001,1920.8,492.7,11.8,15.7,3,1127.1,1241.2,2,1426,955,1,1324.8,1015.9,16.7,72.8,0
2402114-002,24,021,14-002,260,45,0,0,0,146,145,0,206,91,0,196,100,0,6,0
2402115-001,24,021,15-001,1289,201,5,6,0,818,575,5,976,454,0,922,469,16,52,2
2402115-002,24,021,15-002,1420.8,279.8,9,7,0,918.2,705.4,0,1119.1,516.6,1,1040.1,549.5,16,57,2
2402116-001,24,021,16-001,1822.7,495.6,10.3,7.1,0,1116.8,1125.3,1,1419,868,0,1293.7,935.5,35.3,53.3,1
2402117-001,24,021,17-001,978.3,138.2,15.9,1,0,578.6,513,1,776.5,341,0,697.9,365.9,23.9,32.8,0
2402118-001,24,021,18-001,2056.6,510.8,13.2,9.1,1,1258,1271.1,0.1,1489.3,1070.5,0,1335.8,1116.4,20.7,120.4,2
