GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400301-009,24,003,01-009,934.53,234.06,6.53,7.39,0.1,497.7,654.19,4.04,700.22,451.27,0.07,615.82,464.69,18.58,70.82,0
2400301-010,24,003,01-010,833.59,213.82,5.03,3.05,2,382.74,663.64,2.01,570.55,477.84,2,477.23,484.86,14.06,83.3,2
2400301-011,24,003,01-011,801.05,165.49,5.44,3.33,0.07,394.4,554.49,2.07,534.12,412.21,3.07,510.6,372.88,14.4,60.21,3.07
2400301-012,24,003,01-012,453.29,802.65,10.1,3.04,2.02,202.13,1030.8,9.04,243.95,1022.07,3.02,214.49,984.09,11.09,55.42,0.02
2400301-013,24,003,01-013,315,197,7,5,0,140,376,0,202,319,0,153,321,9,39,0
2400301-014,24,003,01-014,677.07,211.52,12.85,4.94,2.97,400.31,486.3,4.94,506.07,393.39,1.98,446.76,395.37,11.86,53.37,1.98
2400301-015,24,003,01-015,822.81,245.56,6.93,6.93,0,373.29,699.04,0,548.54,516.86,1.98,457.45,544.58,6.93,81.19,0
2400301-016,24,003,01-016,642.19,348.44,7.07,7.07,3,328.71,657.96,2,429.46,562.14,0.02,387.55,545.42,12.07,49.81,2
2400301-017,24,003,01-017,409.81,196.6,1.85,0,0,186.45,419.04,1.85,257.52,342.43,0,221.52,341.51,6.46,39.69,0
2400301-018,24,003,01-018,726.48,610.46,16.58,5.64,0.1,371.12,969.82,2.11,458.62,888.22,3.05,421.52,880.97,17.24,40.49,0.1
2400301-019,24,003,01-019,651.25,660.2,8.95,8.95,1.99,304.25,999.24,3.98,361.92,963.45,1.99,298.28,969.42,15.91,56.67,0
2400301-020,24,003,01-020,631,559,13,7,2,348,824,2,412,791,0,360,782,21,39,0
2400301-021,24,003,01-021,363,868,9,3,0,175,1030,0,209,1029,1,163,1021,9,44,3
2400301-022,24,003,01-022,1171.76,1296.68,26.15,11.62,1.94,660.44,1769.25,0,695.31,1799.27,0,581.04,1802.18,31.96,92,0.97
2400301-023,24,003,01-023,246.82,408.44,3.98,2.39,0,147.29,481.69,1.59,145.7,507.96,0,124.2,503.19,7.17,27.87,0
2400301-024,24,003,01-024,436,385,6,3,0,207,597,2,250,579,0,216,569,8,44,1
2400301-025,24,003,01-025,670.24,279.32,6.85,2.38,2.06,359.56,576.75,0,460.69,496.73,0,397.96,517.82,12.04,41,2.03
2400301-026,24,003,01-026,485,1320,22,5,0,192,1583,0,215,1610,1,178,1576,21,43,3
2400301-099,24,003,01-099,3.8,6.29,0.06,0.04,0,2.27,7.42,0.02,2.25,7.83,0,1.91,7.75,0.11,0.43,0
2400302-001,24,003,02-001,661.94,262.86,6.72,2.88,0,340.57,564.09,0,446.09,481.59,0,373.18,474.87,7.67,78.67,0
2400302-002,24,003,02-002,664.3,320.96,5.37,5.2,0,299.45,690.9,2.15,410.26,579.15,0.29,363.84,596.04,2.13,45.81,0.11
2400302-003,24,003,02-003,731.85,270.22,4.69,1.88,0,380,613.62,0,500.09,502.91,0,432.54,496.34,8.44,72.25,0
2400302-004,24,003,02-004,792.39,443.23,4.76,2.85,1.9,394.78,814.21,1.9,512.74,718.14,2.85,450.89,730.49,16.17,46.63,1.9
2400302-005,24,003,02-005,659.86,496.38,8.92,2.97,0,353.71,788.66,0,447.83,713.36,0,385.41,693.55,15.85,65.39,0
2400302-006,24,003,02-006,594.72,240.47,2.22,9,2,312.48,513.33,0,416.12,419.71,0,374.27,426.31,12.35,36.86,0.04
2400302-007,24,003,02-007,936.13,490.26,9.65,9.65,2.9,436.22,986.31,1.93,586.77,857.96,1.93,516.32,851.2,12.55,73.35,0
2400302-008,24,003,02-008,513.22,164.48,3.64,0,0,273.27,394.03,2.6,362.8,306.06,1.04,323.24,305.02,6.25,41.64,0
2400302-009,24,003,02-009,759.1,608.68,9.55,7.27,0.1,363.4,992.45,0.1,468.4,909.2,0.15,408.76,902.41,18.39,54.16,2.1
2400302-010,24,003,02-010,890.63,244.12,6.96,3.07,0.02,481.59,646.16,3.93,639.43,480.6,0,541.42,493.35,11,90.02,1.98
2400302-011,24,003,02-011,529.14,188.62,5.08,2.03,3,270.29,432.34,4,377.17,337.64,3,313.59,353.45,13.15,39.61,2
2400302-012,24,003,02-012,340.55,110.26,6.98,0,0,205.86,233.08,0,258.2,181.44,0,230.99,168.88,11.17,27.22,1.4
2400302-013,24,003,02-013,442.73,204.79,3.47,1.44,0,219.51,420.02,0.13,294.32,348.08,0.07,254.87,336.36,9.42,41.88,0.07
2400302-014,24,003,02-014,557.29,817.06,6.15,6.91,0,241.06,1097.54,2.1,295.98,1088.82,3.91,258.89,1064.48,8.38,47.51,0.09
2400302-015,24,003,02-015,584.82,525.06,7.56,4.19,0.04,285.04,799.63,3.3,362.66,746.71,1.65,296.81,754.71,13.49,47.68,1.65
2400302-016,24,003,02-016,951.76,296.37,9.07,5,0,489.89,741.49,4.19,676.21,566.48,0.88,602.93,571.61,17.25,65.03,2
2400302-017,24,003,02-017,476.3,602.94,5.92,2.96,1.96,204.38,854.16,0.02,245.01,847.91,0.01,214.24,837.22,12.8,29.67,0.01
2400302-018,24,003,02-018,653.33,458.57,9.33,3.18,0,304.38,791.43,4.15,401.76,706.1,0.07,344.89,701.47,17.58,52.07,2.07
2400302-019,24,003,02-019,622.52,528.2,12.42,9.68,0,316.04,840.67,1.94,388.86,783.61,0,358.82,763.19,11.16,47.47,0.55
2400302-020,24,003,02-020,929.62,436.62,6.38,5.38,2,480.3,857.63,7.15,620.82,725.73,2,559.47,727.17,11.08,69.35,3
2400302-021,24,003,02-021,1577.46,458.96,12.48,7.4,0.16,839.98,1163.37,0,1144.77,884.86,3,1004.56,925.73,18.95,92.85,3
2400302-022,24,003,02-022,972.99,252.71,8.5,12.97,1.85,529.84,682.44,0.11,698.66,530.36,0.05,624.67,525.68,20.65,60.19,1.85
2400302-023,24,003,02-023,1088,506,10,9,2,582,976,2,720,874,4,612,880,30,91,0
2400302-024,24,003,02-024,699.54,335.04,5.52,4.6,1.84,370.02,640.63,0,483.23,542.14,0,411.44,552.27,11.05,56.15,0
2400303-001,24,003,03-001,1078,249,9,2,0,577,720,3,817,502,0,698,550,9,72,2
2400303-002,24,003,03-002,216.83,36.63,2.05,0.88,0,116.91,137.43,0.59,160.87,92.01,0.29,144.75,91.13,3.81,16.12,0.59
2400303-003,24,003,03-003,1185.48,290.72,9.41,4.7,2.82,708.46,740.45,0,941.8,510.88,0,833.6,530.64,19.76,74.33,2.82
2400303-004,24,003,03-004,1301.62,404.51,13.24,5.12,6.07,765.3,916.12,0,984.32,721.2,1,879.53,700.71,25.51,103.92,5.07
2400303-005,24,003,03-005,1486.61,507,17.83,7.73,3,810.89,1172.7,2,1054.19,931.49,0,942.99,922.54,33.12,103.03,2
2400303-006,24,003,03-006,2600.38,1552.84,31.74,25.35,2.17,1445.7,2634.92,3,1743.76,2417.19,0.98,1568.4,2386.49,52.27,180.92,2.1
2400303-007,24,003,03-007,1025.19,250.52,8.32,1.85,1.85,521.38,727.52,1.85,696.09,576.84,0,618.44,546.33,19.41,98.91,0
2400303-008,24,003,03-008,937.02,574.13,10.5,5.37,2,488.62,1016.66,2.13,621.44,902.23,2,541.93,888.82,18.5,74.96,3.05
2400303-009,24,003,03-009,509.26,89.87,4.86,0,1.62,286.61,292.28,0,384.58,204.03,0,360.29,197.55,5.67,29.15,0
2400303-010,24,003,03-010,1353.42,173.63,1.97,8.88,0,750.7,744.78,0,1045.65,446.88,0,952.93,455.75,6.91,85.82,0
2400303-011,24,003,03-011,1596.87,218.67,9.76,2.14,1.23,843.48,952.16,0.36,1207.51,589.24,0.01,1113.05,596.85,9.24,94.41,0.89
2400303-012,24,003,03-012,1218.84,128.07,8.65,1.74,1.68,689,635,1.61,951.71,365.19,0,892.25,371.33,6.29,68.13,0.07
2400303-013,24,003,03-013,1409.52,250.75,5.77,5.36,5,819.1,807.75,2.22,1094.14,547.5,0,1006.84,543.37,13.01,87.47,3
2400303-014,24,003,03-014,691.53,126.9,5,2.49,0,359.62,448.99,1.66,513.04,288.95,2.47,457.47,281.53,9.99,62.96,1.66
2400303-015,24,003,03-015,1066.05,152.43,7.41,3.09,0.06,617.41,576.26,2,843.46,350.43,1.01,752.3,381.48,8.46,64.36,0.06
2400303-016,24,003,03-016,1027,213,10,3,0,551,673,0,744,474,0,663,481,9,93,0
2400303-017,24,003,03-017,1103.74,106.76,1.81,4.52,4.52,639.63,522.01,6.33,838.66,329.31,0.9,754.52,339.26,11.76,82.33,0
2400303-018,24,003,03-018,1222.17,179.86,3.04,2.88,1.92,715.26,663.28,2.02,973.54,403.27,0,898.11,412.23,15.4,57.24,0
2400303-019,24,003,03-019,1991.93,237.28,12.1,2.78,0.21,1103.64,1104.52,1.58,1501.2,687.78,0.8,1361.21,701.23,33.32,122.43,3.45
2400303-020,24,003,03-020,982.02,97.84,8.23,4.57,0.91,553.18,512.95,0,749.77,313.62,0,672.05,328.25,11.89,64.92,0
2400303-021,24,003,03-021,1062,348,6,3,1,559,843,2,732,672,1,666,641,16,79,5
2400303-022,24,003,03-022,881.27,205.54,4.92,0,0,437.34,630.73,4.91,638.98,440.9,0,567.16,456.57,3.98,63.98,0.01
2400303-023,24,003,03-023,1224.4,209.32,5.63,0.93,0.48,645.09,752.96,2.66,861.58,549.4,0.1,773.23,551.99,19.22,83.09,1
2400303-024,24,003,03-024,1388.25,376.61,13.99,8.17,1.12,769.28,977.74,0.48,1028.57,729.47,1.46,899.3,744.88,25.85,101.79,3.34
2400303-025,24,003,03-025,520,476,9,5,1,224,776,5,319,686,3,297,674,7,41,1
2400304-001,24,003,04-001,589.3,920.07,14.35,6.76,0,249.45,1233.39,1.93,306.78,1209.28,1.93,276.6,1183.41,13.92,51.24,1.93
2400304-002,24,003,04-002,869,662,13,10,2,471,1028,0,541,1000,3,443,1007,29,74,3
2400304-003,24,003,04-003,772.89,292.67,11.78,1.81,1.81,444.89,619.77,3.62,550.9,518.28,1.81,488.38,521.91,15.4,59.8,1.81
2400304-004,24,003,04-004,1102.91,261.61,5.65,6.59,0,608.86,740.61,0,790.48,566.51,1.88,722.73,553.34,19.76,71.52,2.82
2400304-005,24,003,04-005,415.74,273.86,4.47,0.21,0,196.33,483.12,0,236.69,454.06,0,206.91,454.06,9.48,28.08,0
2400304-006,24,003,04-006,458.72,1391.61,8.93,4.96,0,149.8,1653.85,1.99,141.89,1718.28,0,124.85,1697.51,12.91,27.97,1.97
2400304-007,24,003,04-007,623.14,951.36,12.14,10.98,0,347.44,1173.65,2.36,353.96,1222.72,0,314.98,1204.1,27.14,36.89,3
2400304-008,24,003,04-008,944.53,298.53,5.34,9.05,0.05,513.97,702.07,4.11,649.06,596.11,3.05,582.24,606.21,11.45,58.74,0.05
2400304-009,24,003,04-009,782.98,1409.89,9.35,10.07,3,297.21,1873.48,2.03,325.08,1913.04,2,271.99,1911.41,12.47,47.22,0.03
2400304-010,24,003,04-010,60.83,24.33,0.55,0,0,30.69,50.87,0,40.09,44.24,0,33.45,45.07,0.83,5.53,0
2400304-011,24,003,04-011,588,402,9,7,1,277,701,2,345,658,3,299,645,18,49,3
2400304-012,24,003,04-012,613.2,349.1,13.62,3.07,1.11,332.02,619.43,3.21,417.33,549.15,1.11,366.62,544.52,17.81,42.67,0.13
2400304-013,24,003,04-013,736.66,179.19,4.33,6.06,0,418.97,474.37,0,527.17,379.15,0,475.23,383.48,14.72,35.49,0.87
2400304-014,24,003,04-014,1087.53,282.5,5.37,7.53,0.98,539.48,806.52,0,730.21,638.66,0.29,667.51,649.22,20.23,53.35,0.09
2400304-015,24,003,04-015,1519.77,457.67,18.08,10.21,1,789.67,1158.95,2,1028.81,941.14,1.08,910.79,934.4,28.66,106.67,1
2400304-016,24,003,04-016,728,517,18,12,1,383,843,5,425,826,1,356,834,12,65,1
2400304-017,24,003,04-017,401.17,619.68,8.43,0.24,0,193.44,807.46,0.07,231.12,793.93,0.07,199.15,781.13,10.79,31.92,0.07
2400304-018,24,003,04-018,716,413,10,0,3,321,777,5,419,705,4,343,718,25,60,6
2400304-019,24,003,04-019,340,806,7,5,0,117,1010,2,121,1051,3,103,1024,13,24,1
2400304-020,24,003,04-020,781.72,489.05,16.5,13.6,0.02,434.45,833.24,0.06,483.92,806.42,0.02,410.99,806.31,13.64,71.5,0
2400304-021,24,003,04-021,1078,585,15,7,5,555,1067,2,697,951,1,603,954,32,68,2
2400304-022,24,003,04-022,538,501,7,2,0,283,730,5,323,712,2,291,694,16,41,0
2400304-023,24,003,04-023,1122,657,16,3,5,600,1131,2,697,1065,3,599,1124,24,65,0
2400304-024,24,003,04-024,429.32,821.54,15.06,2.9,0,183.52,1044.64,0,185.49,1068.26,0,156.08,1043.77,20.72,36.96,0
2400304-025,24,003,04-025,105,81,3,2,0,59,128,2,67,124,0,58,125,1,11,0
2400304-026,24,003,04-026,173.67,230.91,0,6.91,0,79.93,314.79,0,87.82,322.68,0,67.1,320.71,0.99,21.71,0
2400304-099,24,003,04-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400305-001,24,003,05-001,1353.34,361.08,5.8,6.64,1.93,704.9,988.58,1.97,920.43,798.94,1.06,807.8,844.06,15.63,75.31,1.93
2400305-002,24,003,05-002,1250.85,509.75,6.16,3.35,2.04,603.59,1116.11,3,771.54,969.1,3.92,695.91,949.74,21.32,105.11,2.05
2400305-003,24,003,05-003,740.38,218.88,3.52,3.52,0,379.34,569.36,1.41,490.54,459.57,0,432.83,474.35,7.74,47.86,0
2400305-004,24,003,05-004,1085.33,373.3,4.94,6.91,1.98,516.49,919.42,1.98,687.34,748.57,0.99,635.99,719.93,20.74,68.14,1.98
2400305-005,24,003,05-005,857.52,332.16,8.97,3.2,0.05,425.16,752.35,1.98,551.5,648.72,0.03,496.98,653.99,11.15,50.34,0.03
2400305-006,24,003,05-006,815,265,2,0,2,361,713,2,507,571,0,452,583,14,43,2
2400305-007,24,003,05-007,888,211,3,2,2,428,663,3,561,534,0,507,538,14,52,0
2400305-008,24,003,05-008,998,320,3,9,2,458,860,0,647,653,0,563,684,14,68,2
2400305-009,24,003,05-009,673.55,191.29,6.64,2.24,0.05,304.91,551.65,1.82,424.81,437.79,0.02,366.6,437.41,17.55,56.16,0.02
2400305-010,24,003,05-010,322.27,73.18,1.34,1.34,0,161.8,222.9,0,221.56,161.13,0,192.69,174.56,6.04,16.78,0
2400305-011,24,003,05-011,998.44,304.45,12.1,9.24,0.1,494.43,803.57,0,678.3,620.57,0,606.86,599.77,17.48,81.19,1
2400305-012,24,003,05-012,746.98,200.91,3.06,3.15,2.02,361.37,583.4,0.02,471.23,473.59,0.01,417.44,474.62,7.22,60.75,1.01
2400305-013,24,003,05-013,1248.4,258.12,6.57,3.72,0.23,597.6,887.89,1.99,794.46,703.07,0.01,743.98,704.11,17.62,65.42,0.16
2400305-014,24,003,05-014,761.26,223.53,2.89,8.61,1.95,375.27,598.3,0,479.6,492.94,0.94,436.37,505.3,10.65,34.62,0.94
2400305-015,24,003,05-015,576,130,2,0,0,264,430,0,346,355,0,313,366,7,32,0
2400305-016,24,003,05-016,594.06,151.11,2.83,6.61,2.83,289,459,0,368.33,375.89,0,328.67,381.56,13.22,33.06,0
2400305-017,24,003,05-017,1291.51,465.48,6.01,9.99,0.02,659.02,1071.07,0,831.07,920.97,0.99,739.2,938.89,25.97,76.97,1.01
2400305-018,24,003,05-018,958.67,387.72,4.7,10.95,0,459.09,864.56,2.74,596.33,751.95,0,519.01,749.42,21.05,66.1,0.91
2400305-019,24,003,05-019,954.9,248.47,3.7,3.12,0.02,471.67,709.89,0.19,643.32,547.24,0.92,587.75,566.5,13.12,29.85,1.04
2400305-020,24,003,05-020,910.25,279.51,10.05,15.09,3.12,445.71,738.44,2.04,580.42,624.55,1.95,518.11,643.76,16.59,47.85,0.09
2400305-021,24,003,05-021,1426,548,9,7,2,705,1221,3,937,1013,2,826,1014,33,106,0
2400305-022,24,003,05-022,1128.56,409.8,8.33,9.25,2.78,541.15,982.4,0,729.86,810.34,0,654.01,815.89,22.2,75.85,1.85
2400305-023,24,003,05-023,1329.46,483.36,6.36,9.85,0.04,624.57,1175.1,4.13,848.01,975.31,1.99,749.37,971.58,24.22,81.42,3.57
2400305-024,24,003,05-024,962,172,6,7,0,472,661,0,628,508,0,554,531,9,58,2
2400305-025,24,003,05-025,658.5,200.45,1.71,4.26,0,345.45,496.43,0,452.08,396.63,1.71,410.28,381.28,13.65,55.44,0
2400305-026,24,003,05-026,1104.45,444.99,7.46,8.98,0.04,500.66,1028.1,1.5,673.91,876.45,0.02,575.22,878.36,24.43,79.28,4.41
2400305-027,24,003,05-027,1071.56,294.77,2.26,8.05,0,505.34,856.71,0.26,701.73,658.69,0,601.25,682.17,18.93,74.78,3.09
2400305-028,24,003,05-028,476.6,162.94,5.02,0.02,0.01,206.88,425.61,2.01,299.45,340.1,0,253.15,354.23,9.04,30.2,0.01
2400305-029,24,003,05-029,444,81,3,0,2,227,298,0,310,219,0,278,220,1,30,3
2400305-030,24,003,05-030,639.74,160.13,6.14,5,0.38,356.39,442.72,0,480.42,312.97,3,418.71,338.45,10.33,42.85,0
2400305-031,24,003,05-031,226.55,42.76,1.82,1.82,0,118.28,149.22,1.82,155.58,112.82,0,138.3,115.55,2.73,15.47,0
2400305-032,24,003,05-032,371.6,181.42,5.23,0.3,0,160.68,389.18,0.23,210.93,349.14,0,197.51,346.2,5.49,15.34,0
2400305-033,24,003,05-033,915.65,159.72,1.81,1.81,0,492.76,550.84,1.81,643.4,410.18,0,574.44,440.13,3.63,47.19,0
2400305-034,24,003,05-034,579.04,181.31,2.92,6.82,0,282.69,478.63,2.92,371.4,396.75,0,331.43,385.05,12.67,45.82,0
2400305-035,24,003,05-035,1.76,0.51,0.04,0,0,0.57,1.73,0,0.94,1.35,0,0.75,1.41,0.02,0.12,0
2400306-001,24,003,06-001,989.1,435.77,8.95,2.99,2.98,438.38,960.65,1.99,537.8,888.08,0,460.23,914.92,11.94,67.59,0
2400306-002,24,003,06-002,990.54,348.69,5.84,14.61,1.95,401.28,933.08,0,526.93,835.68,0,450.96,840.55,12.66,77.92,0
2400306-003,24,003,06-003,286.11,493.09,2.27,3.06,0,85.42,675.03,2.11,115.16,673.86,0,87.35,666.95,9.24,25.75,0
2400306-004,24,003,06-004,151.88,262.26,1.89,2.83,0,62.26,340.56,1.89,72.64,336.79,0,59.43,337.73,3.77,16.04,0
2400306-005,24,003,06-005,476.96,185.35,1.55,1.55,1.55,223.35,434.3,3.1,258.25,398.63,0,231.89,417.24,5.43,21.72,0
2400306-006,24,003,06-006,129.41,243.86,0,3.55,0,52.62,305.73,0,66.84,303.59,0,51.91,310.7,0.71,11.38,0
2400306-007,24,003,06-007,340.01,297.79,0.18,7.15,0.06,128.3,496,0.06,171.38,477.71,0,146.54,477.12,3.26,23.38,0.09
2400306-008,24,003,06-008,706.39,368.17,3.01,20.03,0.02,227.95,848.64,5.01,333.3,783.28,0,281.11,784.29,14.06,46.18,0.01
2400306-009,24,003,06-009,898.52,351.86,6.67,7.84,3.31,415.03,825.98,2.74,543.8,711.82,1.97,490.97,736.1,9.89,44.53,2.99
2400306-010,24,003,06-010,570.04,243.24,9.03,0.85,0.11,292.22,503.59,2.1,367.84,441.37,0,329.2,447.48,14.31,29.87,0.03
2400306-011,24,003,06-011,406.8,298.3,5.92,2.43,0,186.64,515.63,0.11,226.35,486.98,0,183.07,508.15,4.97,21.73,0.17
2400306-012,24,003,06-012,724.87,506.67,5.79,9.51,0.03,307.51,908.18,1.85,396.33,848.71,0,325.66,845.69,20.64,52.53,2.78
2400306-013,24,003,06-013,341.88,344.92,2.25,2.1,0,141.43,531.82,2.08,181.99,503.49,0,148.71,502.68,0.53,35.21,0
2400306-014,24,003,06-014,433.26,806.07,7,11.62,0.04,190.74,1016.4,0.08,225.38,1026.47,0.03,195.21,1024.85,10.99,25.12,0.04
2400306-015,24,003,06-015,366,334,5,7,0,165,536,0,197,514,0,178,500,11,27,2
2400306-016,24,003,06-016,256.24,389.45,3.07,7.68,0.02,115.97,513.76,2.01,126.33,529.84,2,108.99,528.35,11.22,15.61,0
2400306-017,24,003,06-017,635.56,437.48,5.55,5.71,2.02,290.3,764.34,2.03,363.23,718.23,0,299.97,733.41,9.2,47.82,2.74
2400306-018,24,003,06-018,732.09,359.92,2.91,8.43,4.66,290.7,811.53,1.86,397.72,701.91,0,340.02,705.16,18.73,53.54,1.86
2400306-019,24,003,06-019,1118.32,344.47,5.68,3.86,2.13,585.92,844.3,0.29,748.72,712.55,0.15,673.51,727.01,9.62,72.55,0
2400306-020,24,003,06-020,574.91,133.37,1.8,1.8,0,272.14,429.83,1.8,346.03,373.06,0.9,327.11,365.85,2.7,31.54,0
2400306-021,24,003,06-021,452.33,137.21,4.79,3.99,0,217.79,361.38,1.6,303.15,284.8,0.8,273.63,280.81,9.57,32.71,0
2400306-022,24,003,06-022,888,517,13,10,1,478,902,2,567,851,0,498,840,18,69,1
2400306-023,24,003,06-023,743.6,339.97,5.73,6.66,0.03,315.51,754.63,1.91,417.18,671.25,0,370.13,682.75,13.3,41.15,0.99
