GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10003012-09,10,003,012-09,506.66,350.7,3.69,6.46,527.89,315.63,482.67,369.15,425.45,424.53,4.61,454.98,395
10003012-12,10,003,012-12,492.41,376.94,9.54,11.45,518.18,345.45,493.37,377.9,386.49,480.96,18.13,425.61,449.47
10003012-13,10,003,012-13,1.08,0.03,0,0,1.08,0.03,1.08,0.03,1.07,0.04,0,1.08,0.03
10003012-19,10,003,012-19,417,112,9,8,441,99,406,133,397,121,16,412,122
10003012-22,10,003,012-22,447.42,338.31,4.84,10.46,458.88,323.32,446.49,342.93,348.75,433.9,10.84,390.2,400.84
10003013-01,10,003,013-01,512,66,11,8,529,71,491,99,480,95,10,490,97
10003013-02,10,003,013-02,0,0,0,0,0,0,0,0,0,0,0,0,0
10003013-04,10,003,013-04,112,30,5,6,116,31,116,33,100,40,8,101,45
10003013-09,10,003,013-09,738,375,12,12,754,363,711,412,631,479,16,680,441
10003013-12,10,003,013-12,490,287,5,3,480,282,458,318,326,440,9,397,369
10003013-13,10,003,013-13,66,7,1,0,64,7,61,9,57,10,4,62,9
10003014-01,10,003,014-01,435.48,139.83,6.99,12.98,453.46,136.84,423.5,167.8,359.57,222.74,12.98,376.55,214.75
10003014-04,10,003,014-04,149,29,5,6,159,27,156,33,129,56,4,132,55
10003014-12,10,003,014-12,467.14,252.21,7.06,7.26,488.06,227.21,485.96,237.3,332.13,389.87,4.39,389.91,328.52
10003014-13,10,003,014-13,2.23,0.58,0.01,0.04,2.23,0.56,2.19,0.59,2.11,0.6,0.08,2.16,0.59
10003015-04,10,003,015-04,241.25,137.15,1,3.01,249.27,129.13,239.26,144.14,156.2,220.2,5.01,195.22,185.18
10003016-04,10,003,016-04,59,14,0,1,61,12,57,16,54,19,1,53,20
10005001-14,10,005,001-14,1422.3,1053.61,19,18.82,1465.43,975.28,1461.03,1008.58,1153.06,1301.42,20.14,1388.44,1059.59
10005001-20,10,005,001-20,579,369,16,13,620,313,582,371,495,444,12,558,387
10005001-35,10,005,001-35,560,1293,14,30,679,1071,632,1224,486,1366,27,588,1273
10005001-36,10,005,001-36,579.86,571.08,9.66,24.34,628.23,514.98,596.66,555.9,473,659.06,26.45,581.63,572.03
10005001-37,10,005,001-37,492,451,5,5,524,376,518,403,401,505,26,486,430
10005001-38,10,005,001-38,638.2,1191.36,9.25,13.25,701.81,1069.59,721.55,1095.7,552.53,1256.52,19.35,671.05,1138.3
10005001-39,10,005,001-39,344.23,760.07,5.04,14.03,376.38,666.67,370.31,717.95,282.78,797.4,18.11,347.1,737.13
10005001-40,10,005,001-40,290.28,490.81,4.2,4.21,332.13,414.53,327.71,438.54,269.87,503.98,12.29,305.34,463.8
10005001-41,10,005,001-41,308,978,10,12,393,836,366,908,238,1033,22,316,963
10005002-14,10,005,002-14,1136,914,18,9,1211,805,1200,834,952,1066,25,1140,897
10005002-20,10,005,002-20,1060,1152,12,23,1136,1030,1119,1076,902,1272,27,1064,1113
10005002-35,10,005,002-35,794.76,1292.71,14.36,11.34,862.1,1168.27,856.7,1215.07,704.2,1357.79,16.48,807.29,1253.79
10005002-36,10,005,002-36,402.69,832.49,10.09,18.24,509.14,655.98,455.84,779.36,313.64,913.35,20.26,420.71,817.5
10005002-37,10,005,002-37,372,645,5,5,442,515,398,604,287,710,5,365,637
10005002-38,10,005,002-38,953.96,1369.67,9.63,11.32,992.79,1244.1,996.6,1288.32,830.34,1460.02,18.34,967.81,1328.62
10005002-39,10,005,002-39,680.06,759.45,13.28,14.1,724.2,663.69,697.81,727.59,559.28,843.1,31.12,666.11,754.38
10005002-40,10,005,002-40,375,1098,6,6,450,929,446,1012,293,1149,22,370,1080
10005002-41,10,005,002-41,756,1088,4,11,850,942,814,1009,680,1142,24,765,1050
10005003-14,10,005,003-14,1358.43,800.68,14.18,15.18,1384.31,756.65,1379,763.39,1083.28,1053.34,21.28,1320.69,817.2
10005003-20,10,005,003-20,1011.78,1124.79,21.37,19.12,1074.81,1020.78,1024.81,1104.72,815.41,1306.14,27.34,988.74,1127.93
10005003-35,10,005,003-35,254.54,284.51,4.63,2.65,267.17,254.03,260.59,273.18,220.2,302.38,14.48,246.03,284.43
10005003-36,10,005,003-36,730.45,846.35,11.04,12.34,789.56,720.09,754.41,813.55,583.36,967.41,22.23,702.89,862.14
10005003-37,10,005,003-37,861,1207,13,19,958,1075,933,1125,765,1300,23,902,1160
10005003-38,10,005,003-38,860.36,1107.41,20.19,13.46,899.77,1031.47,896.89,1034.36,735.39,1209.31,17.3,839.21,1110.3
10005003-39,10,005,003-39,301.41,449.26,5.69,4.87,324.15,388.33,313.59,432.2,231.54,505.32,13.81,279.47,462.26
10005003-40,10,005,003-40,363.39,239.37,4.81,5.77,386.46,206.69,373.96,230.72,335.51,253.79,10.57,372.04,230.72
10005003-41,10,005,003-41,380.34,405.23,9.96,7.97,431.11,342.5,408.21,357.44,328.56,428.13,18.92,384.32,377.35
10005004-14,10,005,004-14,1210.14,915.1,22.7,26.33,1278.23,829.76,1292.76,843.38,1048.55,1073.06,20.88,1216.5,907.83
10005004-20,10,005,004-20,1082,1159,8,15,1156,1027,1135,1084,913,1288,24,1108,1107
10005004-35,10,005,004-35,555.76,603.15,13.82,10.86,623.88,492.59,569.58,559.71,493.57,654.48,15.79,561.69,584.39
10005004-36,10,005,004-36,342,368,18,8,390,312,358,362,308,402,19,341,379
10005004-37,10,005,004-37,840.36,956.07,11.87,17.79,893.75,883.89,891.77,881.93,760.27,1013.43,17.8,881.86,901.72
10005004-38,10,005,004-38,901.68,896.92,6.18,13.22,913.43,838.43,898.51,860.33,754.27,1011.67,13.36,855.97,897.08
10005004-39,10,005,004-39,486.01,418.65,8.94,11.93,507.89,377.86,477.08,415.64,396.56,483.26,15.9,448.26,440.49
10005004-40,10,005,004-40,340.67,783.32,4.37,9.37,376.46,711.43,375.76,738.37,274,837.67,10.54,341.78,774.18
10005004-41,10,005,004-41,327.66,513.77,6.04,7.03,391.89,439.5,372.79,464.56,296.44,541.87,10.08,345.68,490.65
10005005-14,10,005,005-14,1087.47,1106.19,17.01,15.92,1138.17,1020.86,1144.18,1026.96,960.37,1204.78,26.97,1112.66,1058.06
10005005-20,10,005,005-20,1571.41,1323.66,29.97,14.98,1673.31,1176.81,1645.34,1230.76,1312.67,1560.42,34.96,1613.37,1258.73
10005005-35,10,005,005-35,114.24,283.85,1.18,2.14,144.12,233.41,137.42,255.29,99.43,292.52,2.21,131.31,261.61
10005005-36,10,005,005-36,419.66,652.36,14.14,8.4,505.06,532.03,469.58,599.25,353.56,715.5,15.48,428,649.77
10005005-37,10,005,005-37,758.18,917.44,16.03,4.05,806.32,833.27,805.31,853.24,668.98,982.58,22.04,757.31,896.28
10005005-38,10,005,005-38,527.84,747.3,8.8,8.51,524.15,725.27,548.49,717.23,423.09,844.98,6.95,500.26,756.86
10005005-39,10,005,005-39,297.83,613.93,10.73,9.82,346.62,532.49,328.94,589.31,213.63,697.91,11.75,292.85,619.59
10005005-40,10,005,005-40,236.06,403.04,3,2,256.06,361.03,258.06,373.04,197.05,428.04,2,223.06,398.04
10005005-41,10,005,005-41,813.35,832.22,12.91,8.94,891.81,709.08,860.03,782.57,730.93,892.8,26.81,831.23,796.47
10005006-14,10,005,006-14,959.41,598.78,10.43,9.71,986.79,560.38,973.16,574.07,755.1,793.05,18.13,957.9,598.26
10005006-20,10,005,006-20,723.25,660.23,14.34,14.22,777.36,583.55,753.3,636.61,546.49,836.75,11.61,690.76,690.54
10005006-35,10,005,006-35,142,349,3,7,160,283,157,325,121,364,5,138,342
10005006-36,10,005,006-36,452,582,9,10,521,479,482,544,420,605,11,464,554
10005006-37,10,005,006-37,390.53,551.28,4.17,15.2,418.11,515.51,422.13,522.48,349.94,577.64,12.21,401.8,538.81
10005006-38,10,005,006-38,741.73,1355.43,18.57,8.8,784.72,1260.64,827.72,1256.73,686.02,1386.7,13.68,784.72,1292.89
10005006-39,10,005,006-39,441.77,701.89,7.94,11.91,479.39,603.98,459.48,664.38,359.38,769.34,10.94,433.67,689.18
10005006-40,10,005,006-40,259.78,742.78,7.11,7.17,277.09,702.55,312.25,686.42,231.12,751.38,16.17,260.77,734.77
10005006-41,10,005,006-41,306.74,498.61,4.76,4.76,337.23,446.23,332.44,467.21,256.31,539.51,6.68,322.91,478.62
10005007-14,10,005,007-14,765.33,457.42,14.95,9.95,790.55,423.45,798.08,424.14,552.25,661.38,13.17,740.98,459.6
10005007-20,10,005,007-20,1192.21,668.95,20.74,16.96,1250.41,592.32,1212.07,641.95,940.19,902.08,27.17,1128.77,703.92
10005007-35,10,005,007-35,342,530,8,7,390,439,358,503,290,565,19,331,533
10005007-36,10,005,007-36,334.18,277.56,11.2,3.32,364.53,249.12,332.95,278.15,297.6,314.14,9.88,331.47,284.2
10005007-37,10,005,007-37,455.02,719.29,3.97,4.97,488.8,640.81,503.7,662.66,390.44,768.97,4.97,469.92,685.51
10005007-38,10,005,007-38,948.43,1326.26,17.63,14.7,997.12,1210.09,1020.79,1245.03,853.89,1398.32,26.37,956.02,1290.25
10005007-39,10,005,007-39,356,495,7,9,411,421,378,468,319,521,14,361,485
10005007-40,10,005,007-40,437.22,712.22,9.89,15.83,465.91,691.45,480.75,679.58,376.88,767.62,15.83,436.23,711.23
10005007-41,10,005,007-41,339.37,523.07,7.02,7.03,366.51,482.83,382.5,476.93,294.18,534.24,16.05,341.42,498.01
10005008-20,10,005,008-20,112,211,4,2,132,169,129,192,83,238,6,119,200
10005008-36,10,005,008-36,45,110,2,2,61,92,54,102,35,117,7,52,104
10005008-38,10,005,008-38,362.63,814.93,5.98,8.97,400.49,752.17,398.5,778.07,312.82,860.76,11.95,376.58,799.99
10005008-40,10,005,008-40,218,369,6,5,257,295,237,343,172,413,5,229,355
10005008-41,10,005,008-41,214.7,313.81,6.07,6.05,284.16,231.1,236.97,295.53,180.23,348.16,8.16,221.81,300.61
10005009-20,10,005,009-20,80,163,2,2,104,128,101,136,68,168,2,95,142
10005009-36,10,005,009-36,23,55,0,0,23,49,22,53,17,61,0,20,56
10005010-20,10,005,010-20,81.6,131.81,2.69,0.9,94.15,112.08,89.67,125.53,65.46,145.26,2.69,80.7,134.5
10005010-36,10,005,010-36,38,47,0,0,39,43,39,44,29,54,0,37,46
10005011-36,10,005,011-36,106,132,6,2,126,113,125,121,97,144,6,114,131
