GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
22001006-14,22,001,006-14,583.6,47.3,8.4,0,3.9,0,1,128.8,337.6,22.3,55.2,8.9,12.8,0,0.4,0,27.1,18.3,3.8,1.6,0.2,0,0.2,0.4,0,2.9,0,4.2,6.4,1.2,0,268.9,47.6
22001006-15,22,001,006-15,166.3,9.9,0.9,0.9,0.9,0,0,32.8,108.6,9.8,5.8,2.9,3.6,0,0,0,4.6,1.9,0.9,0.9,3.5,0,0,0.9,0,0,0,0,0.9,0,0,73.1,8.2
22001006-16,22,001,006-16,259.6,46.4,5,0.4,0.2,0,0.9,75.8,124,14.6,29,5.7,4.8,1.9,0,0.9,22.7,13.5,2,2.8,0.1,0,0,0.1,1.1,0,0,2.1,1,0.2,0,146,26.1
220030001-1,22,003,0001-1,108.7,67.5,4.9,3.9,2,0,0,19.6,56.8,12.7,5.9,11.8,2.9,0,0,0,30.3,11.8,9.8,6.8,0,2,0,1,2,0,0,0,2,0,0,54.8,29.4
220030001-2,22,003,0001-2,114,30,2,0,0,2,0,23,58,11,2,6,1,1,0,0,19,11,5,3,1,1,0,0,0,0,0,3,0,0,0,55,24
220030001-3,22,003,0001-3,115.3,62.5,2.1,0.1,0,0,0,26.4,44.2,19.3,4.1,9.2,2.1,0,0,0,36.7,9.2,1.2,4.2,0,1,0,3,1,0,0,2,1,0,0,49.2,22.6
220030001-4,22,003,0001-4,12,207,5,1,0,0,2,4,20,0,1,1,1,2,0,2,85,50,4,16,4,5,1,0,1,0,0,2,1,3,0,8,104
220030001-5,22,003,0001-5,42,43,1,0,0,0,0,14,29,2,4,1,1,0,0,0,12,9,7,5,1,1,0,0,0,0,0,1,3,0,0,22,22
220030001-6,22,003,0001-6,209,64,5,3,4,2,5,45,88,23,7,20,7,1,0,0,36,11,6,10,0,0,0,0,1,0,0,9,4,2,1,81,15
220030002-1,22,003,0002-1,203,84,4,5,3,0,5,41,109,32,9,5,5,1,2,0,34,31,6,8,0,0,3,1,0,0,0,0,1,0,0,60,27
220030002-2,22,003,0002-2,419,34,4,3,4,5,3,48,195,132,25,17,4,1,1,0,18,13,0,4,3,0,0,5,0,0,0,1,0,0,0,135,38
220030002-3,22,003,0002-3,233,15.8,3.6,0.1,0,1.5,1.6,36.7,108.5,47.5,21.4,11.8,1.7,4.2,0,0,7.6,3.2,0.8,3,0,0,0.7,0.1,0.7,0,0,0.8,0,0,0,106.1,4.8
220030002-5,22,003,0002-5,7.5,99.4,0,1,0,0,0,2,9,1.2,0,0,1.9,1,0,0,50.1,17.4,7.7,6.8,0,1,1,1,0,0,0,0,1,0,0,1.3,41.5
220030002-6,22,003,0002-6,249.7,35.9,3.9,3.9,1,0,2.9,32.6,104.1,82.8,17.7,7.3,1.1,1,0,1.9,25.1,4,3.9,3,0,1,0,0.1,1,0,1,0,1,0,1,87.7,21.7
220030003-1,22,003,0003-1,327.1,24.7,3.2,1.8,0.9,2.2,3.1,50.3,137.4,72.7,24.6,24.7,6.3,1.8,0.8,0.1,13.8,7.8,1.3,4.5,0,0.8,0.3,2.4,0.3,0,0,1.1,0,0,0,129.9,24.9
220030003-2,22,003,0003-2,630.3,62.6,5.2,2.3,6.1,2.3,0.4,97.4,293,94.1,61.3,38.2,17.9,2,1.1,0,36.5,18,8.1,8.5,0,0.1,1,2.4,1,0,0,5.1,1,0,0,199.3,55.5
220030004-2,22,003,0004-2,294.5,7.3,1.1,0.1,3.7,1.7,1.8,56.8,126.5,61.8,14.1,15.6,7.4,1.8,0.1,0.9,5.3,2,1.2,2.6,0,0.9,0,0.9,0.1,0,0,1.8,0.9,0.9,0,118.1,12.1
220030004-3,22,003,0004-3,375.3,32.8,6,2.1,6.2,0,2.1,72.8,148.8,50.9,28.3,40.7,11.5,1.1,3.1,0,24.1,7.6,7.9,1.4,0,0,0,1,2.1,0,1,2,1.3,0.3,0,113.6,20
220030005-2,22,003,0005-2,529.1,24.2,11.1,1,4,3,0,113.7,163.4,113.3,37.2,34.2,22.1,4,9,0,17.2,7.1,2,5,0,1,0,4,1,0,0,8,1,1,0,145,14.1
220030005-3,22,003,0005-3,292.6,29,0,2,1,0,2,61.9,106.9,50.9,7,17,9,5,0,0,23,11,8,3,3,0,0,0,1,0,0,4,1,0,0,83.9,14
220030005-5,22,003,0005-5,234.2,12,0.2,2,0.1,0,0.1,47.1,60.4,60.5,3.7,22.1,4,0.2,0,0,12.1,4.7,2.1,7.2,0.1,0.1,1,2.2,0.1,0,0,2.2,7,1.1,0,81.4,14.2
220030005-7,22,003,0005-7,47.1,441.4,3.1,0,0,3,3,16.1,23.9,6.6,2.3,6.5,2.1,2.1,0,0,134.5,169.1,34,28,7,5,4,2.1,5,0,0,3,4.1,6,0,21.8,118.3
220030005-9,22,003,0005-9,335,191,10,6,0,1,9,82,148,57,11,27,9,5,0,0,76,38,22,31,3,3,0,4,1,0,0,8,4,1,0,113,73
22003005-10,22,003,005-10,453.6,27.9,2.9,0,1,0,1,99.9,143.1,106.7,26.8,27.9,17.3,1,0,0,25,10.6,2.9,4.8,1,1,0,1.9,1,0,0,1.9,0,1,0,194,42.2
22003005-12,22,003,005-12,22,58,3,1,0,0,1,9,4,10,0,0,2,0,0,0,28,11,2,3,0,0,1,2,0,2,1,1,0,0,0,6,17
22003005-13,22,003,005-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22003005-8A,22,003,005-8A,30,20,1,0,0,0,0,5,10,9,5,1,2,1,0,0,4,7,2,3,0,0,0,1,0,0,0,0,0,0,0,15,11
2200302-2-A,22,003,02-2-A,132.3,65,0,3,2,0,0,24.1,61.4,34,7,7,1.1,1,0,2,30,17.7,2.3,3.3,0,0,0,1,0,0,0,2,0,0,0,41,21.6
2200302-4-C,22,003,02-4-C,351,84,7,3,2,0,2,49,148,83,25,18,2,4,0,2,43,18,11,1,3,1,0,6,1,2,0,9,0,0,1,95,28
2200302-4-O,22,003,02-4-O,350.2,155.7,6,3,0,2,0,56.9,138.7,127.7,15,8,8,2,1,0,69.8,29.9,7,15,3,1,0,1,0,2,0,3,0,1,0,133.7,49.9
2200305-4-C,22,003,05-4-C,438,105,4,1,3,0,3,97,165,68,21,25,18,1,2,0,55,31,7,15,0,0,1,1,0,0,0,7,1,3,1,162,48
2200305-4-O,22,003,05-4-O,319.9,26.9,3.8,1,1,0,1,66.3,121.9,37.6,18.2,31.7,8.6,4.8,0,0,32.6,7.7,1,0,1,1,0,4.8,1,0,0,2.9,3.9,1,0,113.3,17.3
22005000001,22,005,000001,1108.2,314,32.6,7.1,7.3,4,7.1,562.3,235.7,164.7,101.4,28.5,24.5,15.3,0,2.1,123.3,126.2,13.2,13.1,0,0,0,15.1,2,0,0,3.1,2.1,2,3,540.4,150.2
22005000002,22,005,000002,1088.9,178.3,36.3,7,15.4,0,7,557.9,221.5,159.7,84.9,29.3,29.3,17,3.1,3.9,77.9,71.8,14.7,7.7,3.1,3.1,1.5,7,1.5,0,0,7,7,1.5,0,445.3,71.8
22005000003,22,005,000003,1028,240,19,14,12,3,2,474,216,120,67,56,41,13,3,8,118,104,17,16,0,0,0,13,1,0,2,10,8,1,0,362,99
22005000004,22,005,000004,685,200,18,3,3,2,2,313,127,78,56,42,19,10,3,0,86,78,9,16,3,6,3,7,4,0,0,2,5,5,0,200,61
22005000005,22,005,000005,745,246,27,8,4,0,6,351,122,79,73,35,31,8,4,2,117,119,15,12,3,0,3,7,1,0,0,7,9,2,0,222,90
22005000006,22,005,000006,1151.7,421,40.8,6.1,8.5,4.3,8.5,593.5,259.6,141.4,84.7,36,25,20.1,3.7,4.3,183.4,138.9,24.4,25,3.7,3,4.3,10.4,4.3,1.2,1.2,6.1,12.2,7.3,1.2,520.4,174.3
22005000007,22,005,000007,603,230.1,35.2,4.7,8,2.8,1.9,296.8,163,95.3,32.9,11.7,13.2,11.7,3.8,2.4,92.5,97.2,9.9,6.6,3.3,1.4,2.4,8.9,1.9,0.9,0.9,3.3,0.9,2.4,0,274.7,90.6
22005000008,22,005,000008,1059,303,39.4,8.4,7.5,1.9,3.8,535.6,212,152.9,62.9,25.3,25.3,18.8,5.6,4.7,130.4,132.3,13.1,5.6,5.6,1.9,1.9,15.9,2.8,1.9,0,1.9,7.5,1.9,0,447.4,106
22005000009,22,005,000009,1003,412,32,7,10,3,10,523,201,131,111,29,21,7,4,3,153,158,32,24,4,0,6,13,8,3,0,11,5,0,0,423,213
22005000010,22,005,000010,1096,210,36,12,13,3,0,543,223,138,96,29,38,17,0,2,86,93,14,9,2,0,2,16,6,0,0,9,5,5,0,478,98
22005000011,22,005,000011,1133.9,426.8,33.5,12.2,11.1,0,7,547.1,220.3,133.6,91.8,46.4,45.3,17.1,5.1,2,173.7,155.4,37.4,29.4,1.1,5,5,12.1,4,2,0,22.2,6.2,4.1,0,382.2,159.5
22005000012,22,005,000012,981,205,39,11,5,7,4,474,143,126,85,66,27,16,1,0,98,98,13,15,4,2,2,11,4,2,0,12,8,1,2,347,101
22005000013,22,005,000013,953,185,30,4,0,3,6,444,158,122,72,57,37,8,7,2,66,100,9,15,3,2,3,9,1,2,0,12,13,2,0,323,54
22005000014,22,005,000014,688.3,89.4,14.2,6,0,2,6,318.8,137.7,79.9,44.6,31.4,23.2,5.1,0,0,42.8,42.7,15.1,7.2,3,0,3,5.1,3,0,2,7.1,9,1,0,199.2,35.6
22005000015,22,005,000015,883.2,132.2,16.5,7.5,4.1,0,0.1,436.3,133.7,106.2,61.4,49.9,17.6,8.1,0,2,77,78.5,7,7,3,0,1,7.1,4.1,2,0,5,10.4,2.4,0,333.6,54.3
22005000016,22,005,000016,996.5,282.4,47.2,11.5,9.4,2.1,7.2,494.6,255.1,120.7,94.6,27.5,22.5,9.1,9.3,0.3,97.5,138.6,13.8,14.3,1.3,3.1,5.1,10.9,0.2,0.1,2,6.1,4.4,0.1,2,467.5,141.1
22005000017,22,005,000017,736,492,27,4,4,2,0,325,187,98,61,36,19,13,5,2,195,180,22,45,4,4,3,9,1,2,0,15,5,1,0,289,155
22005000018,22,005,000018,1045,211,32,4,12,0,6,474,186,130,81,39,31,22,5,3,110,108,22,7,1,2,3,20,6,0,0,9,9,2,0,342,80
22005000020,22,005,000020,628.4,175.9,23.5,9.8,3.9,0,2,365.5,105.6,71.3,36.2,19.6,12.7,4.9,3.9,0,79.2,66.5,18.6,16.6,2.9,2,0,5.9,1,0,0,8.8,10.8,3.9,0,278.5,67.4
22005000021,22,005,000021,348.2,79.8,3.2,0.8,0,0,3.2,173.3,54,37.9,37.1,10.5,8.1,0,2.4,0,31.4,36.3,4,5.6,3.2,1.6,0,4,3.2,1.6,0,3.2,0,1.6,0,114.4,29.8
22005000022,22,005,000022,484,71,16,1,1,0,2,255,52,49,42,24,21,5,3,0,48,41,0,3,0,4,3,5,0,0,0,4,0,0,0,149,25
22005000023,22,005,000023,254.8,95.1,0.9,0.9,6.7,1.9,2.9,131.2,41.8,25.7,15.2,15.2,8.6,3.8,0.9,0,48.5,35.2,4.8,1.9,2.9,1.9,4.8,1.9,0,0,0,1.9,0.9,0.9,0,131.2,28.5
22005000024,22,005,000024,44.1,14.6,1.6,0.3,0.5,0.1,0.5,23.7,7.4,5.5,2.2,2,1.2,0.4,0.4,0,5.8,6.2,0.9,0.5,0.3,0.1,0.4,0.7,0,0,0,0.2,0.4,0,0,18.6,3.9
22005000025,22,005,000025,371.4,68.4,7.5,2.6,1.6,1.6,4.7,190.4,55,38.1,33.5,16.8,7.9,3.6,2.2,0.8,33.7,38.9,2.6,5.3,1.2,0.4,0.4,4.5,1.2,0.4,0,5.1,0.4,1.2,0,131.1,23.8
22005000026,22,005,000026,1155.6,189.3,26.9,7.6,0.9,0,3.3,572.7,155.9,127.6,89.8,65.7,36,9.3,0.1,1.6,109.4,69.4,13.4,23.8,2.4,3.2,0,6.7,0.8,0.1,0,15.9,9,5,1.6,314.7,77.4
22005000027,22,005,000027,1120.2,152.6,30.9,10.9,3,0,2.6,597.4,144.9,96.3,100.4,56.4,36.7,11.3,3.7,0.4,84.8,70,14.1,11.9,0.6,0.8,0.9,8,1.1,1.9,0,15.6,3,4.8,0.4,371.3,45.3
22005000028,22,005,000028,249.4,261.2,10.3,4.1,1.6,0,6,131,46,20.8,13.4,11.8,8.4,8.4,3,1,108.2,73,12.1,27,1.1,6,3,10.1,0,2,0,8,0.3,7,2,116.8,94
22005000030,22,005,000030,174,350,7,4,1,1,9,95,28,27,12,17,9,4,0,0,131,98,30,22,3,2,1,5,0,3,5,6,7,5,0,87,144
22005000031,22,005,000031,308.4,361.5,11.3,8.1,8,1,1.1,143.4,68.7,29.7,39.6,19.4,13.3,6.2,1.1,0,154.9,99.5,12.3,17.3,1,3.1,0,9.1,0,2,0,11,3.1,1,0,173.3,163.6
22005000032,22,005,000032,454.3,374.6,16.1,7,3,3,3,212.2,104.7,61.4,35.4,24.2,7.1,5,1,0,181.3,109.3,24,19,1,3,5,9,3,1,0,10,3,1,0,242.2,226.2
22005000033,22,005,000033,1461.1,206.3,43.1,11.6,6.4,2.4,7,751,218.3,138.6,136,66.5,42.9,14.4,6.4,2.2,105.5,108.6,14.4,15,1.6,2,0.6,13.4,6.6,0,0,14.6,9.6,3.2,0,447.2,70.2
22005000034,22,005,000034,652.2,256.8,12.5,2.8,0.9,3,4.3,277.7,124.7,58.6,56.8,36.1,26.1,10.9,4.4,1.1,122,85.6,21,17.7,0.2,3,5,7,0,1,0,4.7,5,1.1,2,199.5,106.7
22005000035,22,005,000035,775.1,111.4,15.9,4,1.1,0,3.1,378.6,114.2,68.8,51.9,52,26.3,8.1,3,1,53.4,55.9,9.2,9.9,1,0,1,7.9,0.1,0,0,6,5.8,3.9,1.9,253.4,28.9
22005000036,22,005,000036,247.1,997.2,26.4,10.5,1.8,1.3,9.7,172,60.5,37.3,18.1,16.2,11.4,2.8,0,0,427.3,241.6,68.9,77.5,12,2.2,5.8,6.8,1.6,1,3,18,8,5.6,0,95.6,405.1
22005000037,22,005,000037,106.4,663.2,17.2,5.2,1.7,0.6,7.4,75.5,27.5,14.9,6.3,8.6,6.9,1.7,0,0,304.4,170.5,40.6,60.1,4,4.6,1.7,5.7,1.1,0,0,10.3,4,1.1,0,44.1,332.5
22005000039,22,005,000039,130,194,2,0,0,0,1,71,20,18,11,9,1,4,0,0,106,38,5,10,0,0,0,0,0,0,0,5,0,2,0,62,88
22005000040,22,005,000040,667.9,325.8,20.5,6.3,7.2,0,2.6,320,153,92.4,63.8,19.5,17.9,8,3.4,1,133.6,113,24.2,22.6,1.9,0.6,0.5,8.1,0,0,0,6.3,0.7,0.7,0.1,334.2,173.6
22005000041,22,005,000041,585,86,16,6,3,0,1,298,105,57,53,25,6,7,0,0,54,55,1,5,1,0,3,7,1,1,0,1,0,0,0,167,25
22005000042,22,005,000042,117.7,216.6,5.8,1.9,1,0,0,49.7,23.4,11.7,22.3,12.6,7.7,4.8,0,0,84.1,61.9,19.3,13.5,1,6.8,1,3.9,0,0,1.9,1,0,0,0,47.8,86.1
22005000043,22,005,000043,686.7,103,23.4,7.5,4.2,3,3.1,347.6,116.4,63.7,51.6,37.5,18.7,9.6,1.2,0,69.6,46.6,5.1,7.7,1,0.2,0.1,10.4,3,1.1,0,1.6,4.1,1.2,0,253.2,36
22005000044,22,005,000044,119,583,2,0,0,0,3,72,48,8,9,9,6,1,1,0,266,128,32,28,1,3,5,5,0,0,3,8,0,0,0,50,250
22005000045,22,005,000045,26,174,0,0,0,0,0,25,5,3,0,0,0,0,0,0,77,48,8,7,0,0,0,1,1,0,2,4,0,0,0,25,64
22005000047,22,005,000047,53.3,834.5,1,5,0,6,3,61.2,10.1,7.1,0,7.1,2.1,5,0,1,319.7,188.1,49.5,64.4,3,7.1,3,6,0,5,5,19.1,4,1,1,28,253.3
22005000048,22,005,000048,145.8,88.8,3.7,0,0.9,0,0,82.3,21.5,15,13.1,9.3,0,0.9,0,0,39.3,28,7.5,9.3,0,0,0,1.9,0,0,0,1.9,0,0,0,88.8,37.4
22005000050,22,005,000050,151.6,256.1,4.6,0.3,1,0,0.9,73.6,30.2,9.6,12.7,7.3,3.7,1,0,0,105.6,94.8,9.4,29.4,0,1,0.1,2.9,0,0.1,1,3.8,1.1,0.9,0,67.2,103.9
22005000051,22,005,000051,48.9,617.7,1.2,2,1.1,1,2,34.5,13.4,8,1.9,11.6,6.9,1.1,0,0,222.1,149.8,62.1,50.3,2,9.9,3,2.1,4,0,3,10.1,3,5,0,16.1,181.3
22005000052,22,005,000052,149,76,4,2,0,0,0,90,15,14,16,6,3,0,0,0,30,25,1,3,6,0,0,2,0,0,0,4,0,0,0,89,28
22005000053,22,005,000053,218,194,5,1,1,0,1,120,18,29,9,15,5,2,0,0,70,82,26,14,0,1,0,4,4,0,0,5,4,0,0,106,72
22005000054,22,005,000054,166.6,316.3,2,1,1,0,6,85.7,30.8,22.3,13.3,7.2,3.1,1,1,0,134.8,86.9,20.1,29.3,1,7,0,2,0,1,0,7,1,1,0,80.3,166.9
