GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20075000080,20,075,000080,27.73,57.94,12.61,1.67,0,68.9,23.52,4.19,78.95,15.97,14.29,82.31,78.93,18.5
20075000090,20,075,000090,16.77,59.34,10.71,2.21,0,64.75,21.19,2.21,71.27,13.79,12.58,73.59,70.82,13.25
20075000100,20,075,000100,39.19,64.91,20.35,0.32,0,90.92,28.42,0.8,94.84,23.98,20.67,98.47,87.86,29.45
20075180010,20,075,180010,7.15,22.4,6.22,1.77,0,25.95,10.69,1.77,30.38,7.12,5.36,33.03,26.87,10.62
20075180020,20,075,180020,47.16,70.41,11.11,4.03,1,88.48,45.19,0.03,99.56,31.13,26.1,105.6,96.52,36.17
20077000010,20,077,000010,110,240,37,6,6,280,103,9,321,69,67,311,312,78
20077000020,20,077,000020,59.1,120.37,22.04,0,2,144.39,55.09,2.02,154.4,45.07,32.07,168.4,164.39,39.09
20077000030,20,077,000030,12,24,9,1,0,30,13,2,39,7,6,40,35,11
20077000040,20,077,000040,30.89,57.8,11.96,1,1,69.76,29.9,1,79.73,19.93,22.92,75.74,73.75,26.91
20077000050,20,077,000050,66.38,119.1,11.71,0,2.93,127.88,57.6,8.79,146.43,45.88,37.1,159.12,149.36,45.88
20077000060,20,077,000060,84.01,126.01,22,4,0,148.01,75,7,185.01,49,46,187.01,167.01,64
20077000070,20,077,000070,69,208,19,3,2,219,64,9,234,57,46,247,244,53
20077000080,20,077,000080,10,32,2,0,0,38,4,1,39,4,4,40,40,3
20077000100,20,077,000100,25,34,13,3,1,46,26,4,53,22,19,55,52,24
20077800010,20,077,800010,7.11,37.2,7.04,0,1,40.24,10.1,1,43.27,8.07,10.08,41.26,41.25,9.09
20077800020,20,077,800020,15.16,55.92,5.69,0,0,58.76,13.27,2.84,61.61,10.43,11.37,60.66,59.71,13.27
20077800030,20,077,800030,40.62,80.9,11.29,3,0.07,93.12,36.4,3.21,107.57,26.12,13.9,120.88,108.64,24.12
20077800040,20,077,800040,13.99,25.99,2,0,0,30.99,11,0,33.99,6,3,38.99,34.99,6
20077800050,20,077,800050,19,55,9,2,0,65,18,1,71,13,14,67,68,16
20077800060,20,077,800060,7,24,10,1,0,28,11,2,35,6,7,34,35,7
20077900010,20,077,900010,0.44,1.61,0.16,0,0,1.7,0.38,0.08,1.78,0.3,0.33,1.75,1.72,0.38
20077900020,20,077,900020,0.3,1.1,0.11,0,0,1.16,0.26,0.06,1.21,0.2,0.22,1.19,1.17,0.26
20077900030,20,077,900030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20077900040,20,077,900040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20077900050,20,077,900050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20077900060,20,077,900060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20077900070,20,077,900070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079000010,20,079,000010,47,64,11,1,1,74,37,6,90,32,28,88,89,29
20079000020,20,079,000020,30.86,36.83,7.96,2.99,1,50.77,25.88,1.99,54.75,21.9,15.93,60.72,54.75,22.89
20079000030,20,079,000030,60,138,11,2,0,143,62,4,157,52,52,146,152,55
2007900003A,20,079,00003A,27.7,41.88,5.79,1.09,0.06,49.68,24.41,2.32,57.46,17.9,16.62,59.67,52.28,22.05
20079000040,20,079,000040,71.55,143.08,17.89,2.98,1.99,159.97,66.58,4.97,174.88,55.65,47.7,178.85,165.94,63.59
2007900004A,20,079,00004A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007900004B,20,079,00004B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079000050,20,079,000050,53,66,10,1,3,81,46,4,93,36,27,102,94,36
20079000060,20,079,000060,121.09,148.1,23.02,11.01,1,160.11,124.09,17.01,202.13,96.07,92.06,206.15,198.13,101.07
20079000070,20,079,000070,190.92,205.91,32.99,9,1,237.9,180.92,13.99,296.88,134.94,113.95,312.87,288.88,142.94
2007900007B,20,079,00007B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079000080,20,079,000080,44.91,49.9,11.98,2.99,1,56.89,45.91,3.99,69.87,36.93,29.94,76.85,67.87,37.93
20079000090,20,079,000090,430.47,301.93,51.12,7.02,1.01,385.04,374.43,15.03,487.14,293.36,260.31,501.17,452.08,315.42
2007900010A,20,079,00010A,353.99,353.99,61,8,4,445.98,291.99,22,528.98,230.99,193.99,544.98,519.98,239.99
20079000110,20,079,000110,94.99,77.18,19.79,2.97,1.98,98.95,89.06,6.93,126.66,67.29,53.43,138.53,117.75,77.18
20079000120,20,079,000120,15,42,7,0,0,49,15,1,51,14,11,54,50,14
20079000130,20,079,000130,39.08,76.09,7.01,1,0,84.1,33.08,5.01,94.12,27.06,23.05,94.13,86.12,35.06
20079000140,20,079,000140,112.15,126.44,27.07,8.71,0.65,163.39,103.99,4.75,184.69,86.95,79.68,189.98,171.58,100.81
20079000150,20,079,000150,238.84,147.71,44.04,14.33,3.1,167.2,245.8,25.65,211.37,226.25,191.57,241.56,207.21,224.35
20079000160,20,079,000160,150.54,99.04,32.68,5.94,1.98,111.92,153.51,14.86,140.64,140.64,115.88,144.6,137.67,135.69
20079000170,20,079,000170,113.41,94.92,24.31,7.05,1.02,115.04,112.44,6.14,129.31,101.32,95.09,128.35,130.28,100.28
20079000180,20,079,000180,209,117,23,6,2,125,212,14,155,195,186,157,158,191
2007900019A,20,079,00019A,425.91,359.04,63.66,11.81,10.71,428.71,410.2,22.45,501.01,349.63,303.78,538.08,460.91,393.64
20079000200,20,079,000200,168.96,135.92,30.21,9.44,2.83,150.08,168.02,18.88,184.06,151.97,132.15,189.73,179.34,154.8
20079000210,20,079,000210,247.13,214.74,42.58,14.81,3.7,253.61,237.88,23.14,304.52,209.18,191.6,308.22,285.08,224.92
2007900021A,20,079,00021A,7.19,6.25,1.24,0.43,0.11,7.38,6.92,0.67,8.86,6.09,5.58,8.97,8.3,6.55
2007900022A,20,079,00022A,253,180,35,17,6,231,230,31,288,203,185,299,264,224
2007900022S,20,079,00022S,500.8,529.09,111.21,11.51,7.67,638.4,461.81,44.09,750.15,389.91,351.25,777.96,724.9,410.7
2007900022W,20,079,00022W,4.51,7.74,1.02,0.19,0,9.22,3.77,0.44,10.3,3.13,2.75,10.35,9.6,3.53
20079000230,20,079,000230,257,192,30,13,3,226,246,19,275,212,191,289,253,236
20079000240,20,079,000240,337.1,251.04,54,9.67,4.03,312.3,329.85,11.28,381.62,264.38,232.14,401.95,354.39,290.98
20079000250,20,079,000250,290.2,229.79,44.91,10.13,4.54,265.83,288.24,16.4,330.56,237.18,220.75,336.99,310.39,253.74
20079000260,20,079,000260,155,107,20,11,3,132,148,10,159,130,113,167,145,143
20079000270,20,079,000270,18.92,12.46,2.12,0.39,0.19,14.66,18.28,0.72,17.82,14.76,13.13,19.58,17.38,15.93
2007900027A,20,079,00027A,55,90,13,4,0,105,48,6,113,47,35,115,111,47
2007900027B,20,079,00027B,31.35,28.78,5.91,1.32,0.48,34.14,29.75,2.83,40.68,25.8,23.2,41.92,38.8,27.35
2007900027C,20,079,00027C,3.38,5.55,0.73,0.08,0.05,6.28,3.12,0.29,6,2.65,2.39,7.19,5.83,2.79
2007900027D,20,079,00027D,4.64,5.97,2.98,0,0,7.96,4.31,0.99,11.94,2.32,1.66,11.94,11.27,2.65
2007900027E,20,079,00027E,0,1.21,0,0,0,1.21,0,0,0.6,0,0,0.6,0.6,0
2007900027F,20,079,00027F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007900027G,20,079,00027G,0.27,0.23,0.05,0.02,0,0.27,0.26,0.02,0.33,0.23,0.21,0.33,0.31,0.24
20079000280,20,079,000280,724.71,301.6,56.24,6.76,4.67,374.79,681.6,21.62,470.88,596,515,522.35,422.82,643.9
2007900028A,20,079,00028A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079000290,20,079,000290,84,176,13,1,1,186,87,2,205,68,50,212,210,64
20079000300,20,079,000300,40,134,9,0,2,141,41,1,153,27,24,141,150,33
20079000310,20,079,000310,47.43,83.62,10.22,1.23,0.12,97.99,39.29,5.26,110.51,31.88,27.5,111.01,103.33,35.41
20079000320,20,079,000320,50.81,61.26,18.11,0.03,0.98,80.42,45.03,4.79,101.4,26.94,32.56,96.73,91.88,36.47
20079190010,20,079,190010,22.89,12.77,2.59,0.41,0.2,15.88,21.91,0.72,19.64,18.45,16.05,21.16,17.97,20.09
20079190020,20,079,190020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20079190030,20,079,190030,1.78,1.98,0.58,0.03,0.02,2.45,1.64,0.21,3.13,1.27,1.1,3.2,3,1.35
20079900010,20,079,900010,81.14,127.17,28.04,3.01,3,153.23,77.12,12.01,180.25,60.1,55.07,185.28,170.25,72.11
20079900020,20,079,900020,195.17,248.05,48.07,7.69,2.88,307.65,175.94,16.34,367.26,128.83,111.52,379.76,348.99,148.06
20079900030,20,079,900030,37.19,38.74,5.89,1.97,2.02,51.58,30.97,3.21,59.6,27.06,21.44,64.27,57.12,29.53
20081000010,20,081,000010,15,29,7,0,0,36,13,2,39,11,12,38,36,13
20081000020,20,081,000020,7,30,10,0,0,36,9,2,41,6,5,39,41,6
20081000030,20,081,000030,4,28,6,0,0,34,3,1,35,2,4,32,31,6
20081000040,20,081,000040,14.03,46.05,6.01,3,0,49.06,16.03,2,55.07,11.02,12.02,54.07,55.07,11.02
20081000060,20,081,000060,8,39,7,0,0,41,8,3,44,9,6,44,45,7
20081000080,20,081,000080,2,2,0,0,0,2,2,0,3,1,0,4,3,1
20081120020,20,081,120020,2,19,1,0,1,22,1,0,21,2,2,21,21,2
20081120030,20,081,120030,97.97,138.95,40.99,5,2,191.94,87.97,6,210.93,68.98,67.98,213.93,212.93,66.98
20081120040,20,081,120040,9,12,1,0,0,13,8,1,14,8,6,16,15,7
20081120050,20,081,120050,85,225,43,5,0,273,68,7,286,58,51,288,292,55
20081120070,20,081,120070,43,112,21,4,3,137,42,5,152,31,31,146,146,33
20083000010,20,083,000010,4,17,2,0,0,18,3,0,18,2,2,18,18,1
20083000040,20,083,000040,2.85,5.7,0,0,0,6.65,1.9,0,7.6,0.95,0,8.55,6.65,1.9
20083000050,20,083,000050,0,24,1,0,0,24,1,0,24,1,1,24,22,2
20083000080,20,083,000080,0.15,11.3,3,0,0,11.35,2.1,0,13.4,1.05,0,13.45,13.35,0.1
20083000090,20,083,000090,3,25,2,0,0,27,3,0,27,3,2,28,25,4
20083000100,20,083,000100,10,33,5,0,0,36,11,1,42,5,5,41,40,8
20083000110,20,083,000110,1,17.97,3.99,0,1,15.97,4.99,1,20.96,2,2.99,17.97,19.96,2.99
20083150010,20,083,150010,32.05,94.24,27,3,1,110.23,40.03,3.01,135.25,20.02,23.02,130.25,129.25,25.02
20083150020,20,083,150020,11.17,63.83,10,1,0,66.81,13.11,4.03,75.86,8.08,9.08,72.86,73.86,10.08
20083150030,20,083,150030,46,83,25,4,1,104,45,4,119,34,34,116,118,33
20083150040,20,083,150040,4,12,1,0,0,13,3,1,14,3,3,14,14,3
20083150050,20,083,150050,5.79,28.96,0.01,0,0,27.99,3.87,0.97,29.93,2.9,2.9,29.92,29.93,2.9
20083150060,20,083,150060,24.47,95.91,11.74,2.94,0,105.7,23.49,3.91,116.47,17.62,16.64,112.55,115.49,18.6
20083150070,20,083,150070,3,11,0,0,0,11,3,0,12,2,2,12,11,3
20083150080,20,083,150080,15.53,55.09,6.26,2.06,3,70.3,11.51,0.09,75.53,7.38,8.36,70.45,69.51,11.4
20083150090,20,083,150090,4,19,2,0,0,20,4,0,24,1,3,18,22,1
20085000010,20,085,000010,10,53,5,0,0,52,13,2,60,8,5,52,60,8
20085000020,20,085,000020,64,93,14,1,2,109,60,3,137,37,22,147,138,33
20085000030,20,085,000030,197.45,254.71,42.45,11.85,11.85,295.19,198.44,18.76,372.19,142.16,101.69,400.82,356.4,155.98
20085000040,20,085,000040,366,491,99,22,21,556,383,51,708,287,203,781,696,293
20085000050,20,085,000050,200.01,219.9,46.73,3.92,2.21,279.77,163.01,20.99,355.66,110.17,79.75,390.73,344.69,117.06
20085000060,20,085,000060,90.16,137.36,17.96,1.14,1.17,155.36,88.07,5.02,190.05,58.51,37.69,204.01,180.3,66.27
20085000070,20,085,000070,26,38,11,0,2,47,27,3,59,17,14,63,59,18
2008500008A,20,085,00008A,164.27,139.69,36.1,13.91,2.99,178.88,152.05,21,230.1,121.85,92.84,257.17,216.12,132.82
2008500008B,20,085,00008B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20085000090,20,085,000090,205.19,185.9,37.43,11.92,3,240.4,171.86,18.17,297.15,143.2,111.03,328.42,288.05,142.34
2008500010A,20,085,00010A,148,132,27,9,3,183,126,7,217,101,69,246,215,101
2008500010B,20,085,00010B,6.91,7.87,1.79,0.13,0,9.98,6.14,0.38,12.09,4.35,2.82,13.56,11.84,4.48
20085000110,20,085,000110,70,132,23,6,1,167,61,7,197,37,38,198,193,40
20085000120,20,085,000120,101.09,115.13,26.21,1.87,0,146.02,89.86,5.62,176.91,63.65,41.18,198.44,173.16,65.52
20085000130,20,085,000130,216.52,122.51,23.74,14.25,3.8,132.95,225.07,21.84,168.09,211.78,181.39,194.68,167.14,211.78
20085000140,20,085,000140,40,73,22,1,0,91,43,3,110,26,16,120,109,28
20085000150,20,085,000150,57,104,14,0,3,122,50,5,141,37,26,149,138,39
20085000160,20,085,000160,26.39,47.93,7.59,1.01,1.98,57.46,20.49,0.23,67.76,13.32,4.63,75.17,67.3,11.75
20085000170,20,085,000170,57,142.02,16,2,0,157.02,54,5,173.02,43,31,156.01,172.02,44
20085000180,20,085,000180,42,76,21,3,1,91,42,7,110,33,22,121,110,31
20087000010,20,087,000010,268,332,62,13,5,389,260,21,475,196,149,522,452,218
20087000020,20,087,000020,188,150,20,6,3,164,183,11,198,163,132,224,186,175
20087000030,20,087,000030,158.89,199,36.24,5.05,4.03,246.28,133.85,21.06,291.43,108.73,81.58,311.57,266.36,128.79
20087000040,20,087,000040,276.36,292.86,42.65,10.19,3.71,332.73,266.17,23.17,415.23,205.91,145.63,470.88,394.86,224.43
20087000050,20,087,000050,349.38,293.39,74.12,6.73,11.11,360.6,342,25.75,454.37,271.91,215.85,498.14,407.38,320.51
20087000060,20,087,000060,127.11,143,33.76,6.95,3.97,182.72,121.15,8.94,203.57,104.27,83.42,223.43,193.64,113.21
20087000070,20,087,000070,322.37,362.3,56.49,12.66,7.79,426.57,303.86,18.5,503.51,246.4,198.68,540.52,472.35,273.67
20087000080,20,087,000080,273,354,39,8,3,409,239,19,465,205,150,520,437,233
20087000090,20,087,000090,479.7,526.37,103.29,10.92,9.93,613.77,456.85,44.69,783.6,330.72,222.47,876.96,743.88,365.48
20087000100,20,087,000100,145.5,140.66,16.83,4.61,1.88,141.85,151.9,12.95,184.45,117.66,93.57,206.65,163.15,142.64
20087000110,20,087,000110,313.76,193.38,23.35,3.37,3.15,211.46,305.28,16.05,243.9,287.51,255.56,268.7,219.18,310.53
20087000120,20,087,000120,256.63,340.7,47.51,22.34,3.21,389.43,247.14,28.5,437.49,225.6,193.32,464.48,424.65,238.33
20087000130,20,087,000130,145.23,156.47,36.44,5.04,3.05,188.84,144.08,10.23,249.56,91.6,72.99,266.08,232.41,107.72
20089000010,20,089,000010,1,9,2,0,0,12,0,1,13,0,0,13,13,0
20089000020,20,089,000020,6,19,1,0,0,19,6,0,19,6,3,22,20,6
20089000030,20,089,000030,7,13,2,1,0,17,4,3,18,6,5,19,18,6
20089000040,20,089,000040,39,113,15,1,3,140,24,3,151,16,16,152,153,15
20089000050,20,089,000050,14,64,11,4,0,73,12,10,77,17,12,82,85,11
20089000060,20,089,000060,5,13,5,0,0,17,4,2,18,5,1,22,22,1
20089000070,20,089,000070,122,222,29,8,6,279,90,11,316,71,53,325,310,70
20089000080,20,089,000080,1,11,1,0,0,11,2,0,12,1,1,12,11,2
20089000090,20,089,000090,19,29,4,0,1,39,13,2,46,9,8,46,43,9
20089000100,20,089,000100,19,38,1,2,0,49,5,6,48,11,4,55,49,8
20089000110,20,089,000110,0,4,0,0,0,4,0,0,4,0,0,4,4,0
20089000120,20,089,000120,6,14,0,0,0,15,4,0,14,6,4,15,14,5
20089000130,20,089,000130,3,10,0,0,0,11,2,0,12,1,1,12,12,1
20089000140,20,089,000140,3,26,0,2,1,26,3,2,28,3,2,29,29,2
20089000150,20,089,000150,6,33,1,0,0,35,5,0,35,5,6,34,35,5
20089000160,20,089,000160,7,19,2,0,0,21,7,0,20,7,7,20,21,7
20089000170,20,089,000170,4,15,3,1,0,17,3,2,18,5,5,18,18,5
20089000180,20,089,000180,0,3,0,0,0,3,0,0,3,0,0,3,3,0
20089000190,20,089,000190,8,34,6,1,0,46,2,1,47,2,2,44,47,2
20089000200,20,089,000200,5,8,1,0,0,7,6,1,9,5,4,10,10,4
20089000210,20,089,000210,2,9,0,2,0,8,0,5,9,4,2,11,9,4
20089000220,20,089,000220,2,11,0,0,0,11,2,0,13,0,0,13,13,0
20089000230,20,089,000230,4,24,2,1,2,29,2,2,33,0,1,32,33,0
20089000240,20,089,000240,7,9,2,0,0,15,3,0,16,2,2,16,16,2
20089000250,20,089,000250,4,15,0,0,0,13,4,1,16,3,1,17,13,5
20091000010,20,091,000010,39,76,4,3,1,70,31,23,85,38,34,88,85,39
20091000020,20,091,000020,304.09,438.24,37.76,11.93,3.98,466.07,247.44,79.5,517.74,266.33,236.51,539.61,508.8,274.28
20091000030,20,091,000030,151.93,221.08,28.24,7.79,0.97,231.8,142.2,37.01,257.12,145.12,128.56,267.83,261.99,138.3
20091000040,20,091,000040,380,567,58,29,2,598,282,150,677,351,326,673,666,357
20091000070,20,091,000070,403.16,430.07,49.8,18.57,15.13,517.39,357.19,37.09,530.21,378.88,346,553.02,522.04,385.04
20091000080,20,091,000080,243.26,224.18,32.43,9.54,0.95,274.74,217.5,12.4,284.28,221.31,192.7,303.36,282.37,222.27
20091000090,20,091,000090,187.24,269.19,34.65,12.91,1.96,310.91,164.29,28.73,321.89,183.06,166.22,335.74,321.59,182.37
2009100014A,20,091,00014A,506.97,550.97,57,22,6,660.96,446.97,28,664.96,463.97,427.97,685.96,665.96,457.97
2009100014C,20,091,00014C,279.34,299.22,43.74,18.89,6.96,376.76,236.6,32.8,382.72,260.45,228.64,398.63,383.72,255.48
20091000160,20,091,000160,320.39,305.65,43.08,37.01,8.01,362.78,305.31,42.04,357.75,347.37,311.29,382.8,361.77,339.34
20091000190,20,091,000190,324.68,279.29,37.5,2.96,0,348.37,264.48,17.76,379.95,245.73,198.36,416.46,373.04,251.65
20091000200,20,091,000200,448.03,163.86,22.71,11.42,2.08,232.78,390.73,19,249.24,386.94,323.89,302.13,237.91,392.31
20091000210,20,091,000210,582.4,354.69,60.47,9.75,0.08,477.28,498.69,26.36,533.73,457.22,364.63,620.65,517.81,475
20091000220,20,091,000220,492,297,32,17,3,391,423,23,418,416,352,473,403,425
20091000230,20,091,000230,415,233,29,13,2,295,380,16,326,359,304,379,311,375
20091000270,20,091,000270,384.36,450.38,47.84,7.08,0.09,553.83,318.56,11.26,594.05,290.46,239.51,619.37,584.83,288.87
20091000350,20,091,000350,307,338,27,11,2,392,273,13,412,260,210,448,404,269
20091000370,20,091,000370,460,361,37,18,4,460,398,17,491,379,346,514,480,389
20091000430,20,091,000430,588,332,43,18,8,448,526,18,468,519,442,518,466,513
20091000440,20,091,000440,690,397,49,11,3,517,587,38,540,594,500,623,535,594
20091000450,20,091,000450,479,259,38,14,4,331,427,28,322,458,389,377,334,439
20091000510,20,091,000510,362,208,48,10,0,287,314,22,291,331,287,326,277,347
20091000520,20,091,000520,428,579,66,11,3,728,336,15,728,350,295,763,736,337
20091000530,20,091,000530,396,203,24,18,4,243,374,27,256,381,339,284,255,379
20091000560,20,091,000560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091000580,20,091,000580,456.5,176.42,34.89,16.94,2.99,215.29,436.57,30.9,224.26,457.5,434.57,233.23,218.28,459.49
20091000590,20,091,000590,731.8,285.92,58.98,17,7,367.9,689.81,32.99,381.89,704.8,655.82,420.88,394.89,689.81
20091000600,20,091,000600,597,375,38,16,3,488,501,31,501,515,454,543,483,521
20091000610,20,091,000610,342.5,288.58,37.11,9.06,4.01,366.71,296.43,22.1,368.74,311.5,253.43,414.77,363.72,315.51
20091000620,20,091,000620,396,138,35,18,4,165,393,29,172,416,379,201,177,406
20091000630,20,091,000630,198.83,111.79,21.33,6.83,0.85,132.27,192.85,11.09,138.24,197.12,186.03,143.36,139.95,194.56
20091000640,20,091,000640,420,249,45,11,1,326,366,26,339,378,333,371,348,368
20091000650,20,091,000650,282,112,14,20,3,143,271,15,138,289,266,150,145,276
20091000660,20,091,000660,225.63,156.55,20.17,10,1.99,181.75,215.62,18.88,186.78,229.37,208.23,197.02,182.66,228.61
20091000840,20,091,000840,255.39,218.48,23.94,3.99,1,288.31,196.53,6.98,301.28,189.55,160.62,318.24,301.28,188.55
20091000850,20,091,000850,398,209,36,6,2,295,334,12,326,306,227,403,323,306
20091000860,20,091,000860,205.61,155.43,26.56,3.94,0.98,213.48,165.27,7.87,224.3,159.37,121.99,266.6,223.31,161.34
20091000870,20,091,000870,411.28,271.37,43.06,3.04,1,359.47,359.21,3.07,381.51,334.24,260.17,452.53,379.52,340.21
20091000880,20,091,000880,295.79,102.23,24.06,7.03,1,135.29,272.78,21.04,139.28,288.81,265.74,157.34,147.29,278.79
20091000890,20,091,000890,307,89,19,13,4,107,306,18,121,305,283,141,117,309
20091000910,20,091,000910,445,148,40,19,4,192,420,34,212,429,396,237,219,425
20091000920,20,091,000920,504.32,135.2,34.98,17.14,0.3,177.53,477.23,34.08,186.37,492.28,466.28,206.91,198.71,484.83
20091000930,20,091,000930,255,91,17,6,2,120,233,15,118,248,220,142,126,237
20091000940,20,091,000940,371.21,134.85,37.38,6.38,1.03,181.13,354.36,12.53,181.81,361.74,318.27,216.75,181.26,357.43
20091000950,20,091,000950,413,169,24,6,1,230,371,8,256,350,309,298,247,359
20091000960,20,091,000960,195.66,69.31,15.16,4.33,0.72,93.14,179.05,10.83,96.02,187.72,167.5,112.63,99.63,183.39
20091001000,20,091,001000,238.74,201.26,20.72,13.81,3.95,233.81,217.04,20.72,226.91,240.72,229.87,235.78,224.93,247.62
20091001010,20,091,001010,171.61,128.62,17.59,7.27,2.41,161.32,155.58,8.94,160.44,162.98,156.54,158.2,154.12,167.01
20091001030,20,091,001030,319,336,43,19,5,406,282,32,411,302,267,426,407,307
20091001040,20,091,001040,236,204,26,14,4,256,218,13,255,231,213,255,266,218
20091001050,20,091,001050,384,270,34,25,6,345,346,28,346,368,354,342,333,375
20091001060,20,091,001060,591.31,432.94,77.85,20.58,3.91,575.05,513.47,37.11,553.49,563.33,514.76,586.42,556.38,558.48
20091001070,20,091,001070,342.42,342.42,39.29,22.45,5.61,431.3,291.9,23.39,425.68,320.9,290.96,435.97,421.94,319.96
20091001090,20,091,001090,65,61,7,3,0,70,60,4,72,60,64,67,72,61
20091001100,20,091,001100,314,233,20,13,3,301,264,18,286,296,255,311,286,288
20091001130,20,091,001130,271,183,19,9,2,228,241,14,226,257,234,243,225,255
20091001150,20,091,001150,273,240,20,14,6,307,221,27,293,261,225,312,298,252
20091001160,20,091,001160,299,256,43,16,5,328,268,31,300,316,286,324,303,314
2009100117A,20,091,00117A,653.56,787.24,172.3,22.23,3.03,1051.19,539.25,36.9,1060.84,563.23,443.47,1149.04,1068.84,550.5
2009100117B,20,091,00117B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091001200,20,091,001200,440,272,47,21,4,348,396,35,342,431,393,364,353,418
20091001210,20,091,001210,162,131,30,15,1,165,162,9,170,167,161,171,168,166
20091001220,20,091,001220,869,574,90,26,1,771,744,34,754,791,700,827,770,770
20091001240,20,091,001240,281,232,38,15,1,287,249,28,281,278,243,307,287,271
20091001250,20,091,001250,339,216,24,15,4,286,286,23,278,313,281,301,282,309
20091001260,20,091,001260,311,206,17,13,3,249,287,14,240,308,276,263,240,306
20091001280,20,091,001280,159,144,18,14,6,176,147,14,176,161,148,169,172,161
20091001290,20,091,001290,4.1,5.07,0.47,0.14,0.09,6.05,3.59,0.19,6.08,3.68,3.06,6.52,6.06,3.69
20091001300,20,091,001300,246.64,180.13,21.69,15.92,1.64,231.87,216.38,18.35,224.66,239.3,221.59,233.02,232.95,227.36
20091001310,20,091,001310,512,365,41,20,3,474,443,21,460,468,426,497,459,469
20091001320,20,091,001320,187,241,22,12,1,292,153,15,283,172,161,282,282,172
20091001330,20,091,001330,375.6,341.24,49.41,34.16,8.03,431.14,324.04,47.21,440.12,360.21,324.9,461.3,438.98,354.29
20091001340,20,091,001340,349.59,412.52,34.96,6.99,3,517.4,259.7,28.97,508.41,290.66,248.71,537.37,507.41,289.66
20091001350,20,091,001350,240,245,27,11,7,311,199,19,303,225,202,319,303,218
20091001360,20,091,001360,194,199,22,9,6,243,170,17,232,192,177,243,227,201
20091001370,20,091,001370,399,373,44,11,6,486,320,27,471,356,311,505,469,357
20091001380,20,091,001380,345,281,40,14,5,371,294,17,348,330,315,345,353,325
20091001390,20,091,001390,442,391,59,19,6,531,360,28,488,422,358,532,491,416
2009100140B,20,091,00140B,339,294,38,14,2,375,296,13,368,307,284,377,363,312
20091001420,20,091,001420,384,241,45,24,1,312,357,22,296,392,360,316,293,389
20091001450,20,091,001450,255,158,26,10,0,207,225,13,204,243,221,213,202,241
2009100147A,20,091,00147A,471.21,338.65,40.86,13.62,3.63,415.82,422.18,26.33,398.57,461.22,425.81,416.73,404.02,450.32
2009100147B,20,091,00147B,556,439,48,17,2,587,447,21,535,517,441,582,549,498
20091001480,20,091,001480,468,318,59,32,10,406,432,48,408,473,426,431,398,480
20091001490,20,091,001490,392,273,37,16,3,357,337,22,355,357,294,396,359,353
20091001500,20,091,001500,518,409,53,25,9,522,457,36,527,480,426,560,512,488
20091001510,20,091,001510,307,184,37,9,1,254,261,18,247,283,257,266,246,281
20091001520,20,091,001520,236,102,19,12,6,137,220,17,135,237,232,137,136,236
2009100153J,20,091,00153J,23.96,16.97,1,0,0,23.96,17.97,0,22.96,18.97,16.97,23.96,23.96,17.97
2009100153K,20,091,00153K,0,0.95,0,0,0,0.95,0,0,0.95,0,0,0.95,0.95,0
2009100153P,20,091,00153P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091001540,20,091,001540,391.68,175.8,19.02,21.86,5.7,220.47,370.77,20.92,217.63,390.72,352.72,247.09,224.29,382.17
20091001550,20,091,001550,614.62,190.17,37.74,12.63,3.27,236.23,584.31,33.08,247.31,602.59,560.92,282.61,258.66,590.96
20091001560,20,091,001560,435,199,25,18,1,247,385,36,257,415,372,286,259,406
20091001570,20,091,001570,131,80,15,3,2,91,127,10,100,128,125,101,96,132
20091001580,20,091,001580,312,120,29,9,1,146,300,22,166,300,267,195,170,296
20091001590,20,091,001590,523,240,35,12,6,304,481,25,310,496,450,338,321,482
20091001600,20,091,001600,503,243,38,18,4,308,460,32,329,464,426,361,320,479
20091001610,20,091,001610,400.9,147.59,37.9,22.94,5.98,194.47,380.95,34.9,206.43,399.9,372.97,224.38,205.44,400.9
20091001620,20,091,001620,242,108,18,9,6,142,215,26,148,232,212,164,155,225
20091001630,20,091,001630,362,179,23,24,1,208,348,29,217,363,343,230,220,363
20091001640,20,091,001640,225,56,14,7,3,68,229,9,78,227,222,84,83,222
