GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20007000090,20,007,000090,9,23,2,2,1,28,7,3,32,5,5,33,34,4
20007000100,20,007,000100,1,8,1,0,0,10,0,0,10,0,0,10,10,0
20007000110,20,007,000110,61,156.8,12.8,8.2,0,173.3,57.4,8.2,197.9,41,36.4,198,196.1,41
2000700012A,20,007,00012A,43,128,19,6,1,147,40,8,166,27,20,170,161,31
2000700012B,20,007,00012B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007000130,20,007,000130,37,100.3,12.5,6.3,1,117.9,31.9,7.3,137.7,16.4,15.2,134.7,136.6,18.4
20007000140,20,007,000140,16,84,11,0,0,92,16,2,95,12,8,95,98,11
20007000150,20,007,000150,7.9,22.9,5.7,0.5,0,30.8,5.7,0.5,32.4,4.7,2.4,35.3,32.3,3.7
20007000160,20,007,000160,12,28,2,0,0,31,8,2,34,6,4,36,30,10
20007000170,20,007,000170,9,7,1,1,0,11,6,1,11,7,6,12,12,6
20007000180,20,007,000180,2,13,2,1,0,13,2,3,17,1,0,18,16,2
20007000190,20,007,000190,2.9,17,2.2,0.7,0.4,18.5,3,1,20.4,1.9,2.6,19.7,20.4,2.3
20007000200,20,007,000200,17.1,101,12.8,4.3,2.6,110.5,18,6,121.6,11.1,15.4,117.3,121.6,13.7
20007000210,20,007,000210,1,14,0,2,0,14,0,3,15,1,0,17,15,1
20007000220,20,007,000220,5,8,0,0,0,8,5,0,9,4,5,8,8,5
20007000230,20,007,000230,8,46,3,0,0,48,6,3,50,4,7,46,48,7
20009000010,20,009,000010,2,15,5,0,0,14,7,0,19,3,3,19,19,3
20009000020,20,009,000020,5,32,6,0,0,28,10,0,34,6,9,32,33,7
20009000030,20,009,000030,34,129.1,10,3,0,143.1,27,6,153.1,22,15,156.1,154.1,22
20009000040,20,009,000040,21,64,12,2,1,68,26,1,86,10,12,84,81,15
20009000050,20,009,000050,14,27,4,1,0,34,10,2,36,9,7,38,35,9
20009000060,20,009,000060,4,15,4,1,0,20,3,1,21,3,3,21,20,3
20009000070,20,009,000070,37.5,126,17.2,1,0,135.2,43.4,0,149.4,26.4,22.3,153.4,144.4,31.4
20009000080,20,009,000080,5,32,4,1,0,33,8,0,41,1,4,37,38,2
20009000090,20,009,000090,7,17,5,1,0,20,7,1,24,5,5,24,23,5
20009000100,20,009,000100,7,14,3,0,0,16,8,0,20,4,2,21,21,3
2000900011A,20,009,00011A,107,110,33,10,1,140,106,9,175,81,80,174,169,86
2000900011B,20,009,00011B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000120,20,009,000120,145,206,50,9,1,265,126,12,305,100,86,313,293,108
20009000130,20,009,000130,115,180,18,12,0,201,98,25,240,81,71,245,234,84
20009000140,20,009,000140,189,278,59,15,4,364,154,17,413,122,103,428,417,123
20009000150,20,009,000150,180,276,51,9,2,357,145,10,405,106,101,408,391,118
20009000160,20,009,000160,191.7,389.9,46.4,6.2,2.1,491.6,134.4,8.2,536.1,100.1,87,545.1,515,114.2
20009000170,20,009,000170,110.8,182.9,45.5,11.1,3,228.5,105.6,17.1,261,88.3,79.2,264.9,252.8,92.4
20009000180,20,009,000180,154.5,184.7,41.9,7,3,238.7,136.5,10,275.6,108.6,104.6,272.6,264.6,115.6
2000900019A,20,009,00019A,137,241,50,6,2,293,121,12,329,101,91,334,320,108
2000900019B,20,009,00019B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000200,20,009,000200,71.8,116.3,25,5.2,1.1,141.3,69.6,5.4,158.2,59.1,49.9,165.4,153.8,63.4
20009000210,20,009,000210,69.7,82.8,14.4,4.2,1.1,94.5,72.3,5.2,103.9,68.1,56,113,110.9,61.2
2000900022A,20,009,00022A,31.6,41.6,8.1,3.3,0.1,49.6,28.9,4.2,52.9,29.8,26.6,57.8,54.5,27.2
2000900022B,20,009,00022B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000900022C,20,009,00022C,8,14.4,2,0.4,0.1,17.4,7.1,0.3,19.6,5.3,4.7,19.6,19,5.8
2000900022E,20,009,00022E,0.3,0.5,0.1,0,0,0.7,0.3,0,0.7,0.2,0.2,0.7,0.7,0.2
2000900022F,20,009,00022F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000900023A,20,009,00023A,125.9,287.4,32.4,11.5,4.8,344.6,103.1,12.4,375.9,83.2,77.4,377.9,370.3,89.8
2000900023B,20,009,00023B,13,57.5,5.4,0.9,0.9,62.1,12,2.6,66.7,10.1,9.2,67.6,64.1,11.8
2000900023C,20,009,00023C,1,1.8,0.2,0,0,2.1,0.9,0,2.4,0.7,0.6,2.4,2.4,0.7
20009000240,20,009,000240,82,111,18,5,2,130,74,8,168,45,48,163,162,51
20009000250,20,009,000250,75.3,152,26.2,2,1,173.1,73.2,4,206.3,44.2,42.2,205.3,203.2,48.2
20009000260,20,009,000260,53.1,120.5,29.1,4,1,134.6,60.1,10,159.6,46.1,46.1,156.7,155.6,48.1
2000900027A,20,009,00027A,61,100,22,7,2,137,42,8,154,33,21,168,157,33
2000900027B,20,009,00027B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009000280,20,009,000280,107,203,34,4,10,251,84,12,295,58,47,300,287,60
20009000290,20,009,000290,241.5,474,94.8,14,10,589.8,209.6,26,650.6,171.6,157.7,658.6,649.6,174.6
20009000300,20,009,000300,21,69.8,10,1,0,79.8,20,0,87.8,13,10,90.8,87.8,13
20009000310,20,009,000310,23,53,8,0,1,64,16,1,70,14,13,69,68,15
20009000320,20,009,000320,14,35.9,5,1,1,41.9,13,2,44.9,12,9,47.9,44.9,12
20009000330,20,009,000330,41,76,10,5,0,84,40,5,96,35,36,96,94,34
20009000340,20,009,000340,66.8,120.4,16.5,3.3,0.8,146,59.4,2.5,164.1,44.5,39.6,164.1,159.2,48.7
20009000350,20,009,000350,23.6,88.6,14.8,4.9,1,105.3,21.7,3.9,116.2,16.8,15.8,117.1,111.2,21.7
20009000360,20,009,000360,12,27,7,0,0,33,13,0,36,10,8,38,36,9
20009000370,20,009,000370,17,39.9,9,0,1,47.9,16,2,52.9,13,10,55.9,54.9,12
20009000380,20,009,000380,16,34.1,6,2,0,39.1,13,3,41.1,12,11,43.1,43.1,12
20009000390,20,009,000390,3,14,5,1,0,17,2,3,19,4,0,20,18,2
20009900010,20,009,900010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011000010,20,011,000010,31,118,1,1,1,122,25,4,127,25,26,122,123,28
2001100002A,20,011,00002A,132.2,150.4,14.5,22.1,1.9,181.3,125.2,11.6,191.1,131.9,124.2,194.8,192,128.2
2001100002B,20,011,00002B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002C,20,011,00002C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002D,20,011,00002D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002E,20,011,00002E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002F,20,011,00002F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002G,20,011,00002G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100002H,20,011,00002H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100003A,20,011,00003A,125.4,150.3,6.4,13.3,3.1,165.9,106,22.4,164.5,132.9,116.8,180.3,173.3,124.1
20011000040,20,011,000040,45.8,70.7,6.4,5.3,0.2,68.8,51.9,5.4,73.5,53.8,55.6,72.3,79.9,47.3
2001100005A,20,011,00005A,130.4,208.1,5.9,18.3,4.7,234.6,108.8,19.3,253.1,110.2,106.6,250,244.9,118.1
2001100005B,20,011,00005B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001100005C,20,011,00005C,1,2.3,0.1,0.1,0,2.5,0.8,0.1,2.7,0.8,0.7,2.6,2.6,0.8
2001100005D,20,011,00005D,2.1,4.9,0.2,0.1,0.1,5.4,1.7,0.3,5.8,1.6,1.5,5.7,5.5,1.8
20011000060,20,011,000060,148.9,251.3,20.1,15.1,4.2,307.7,122.3,11,315.1,125.4,120,316.9,321.9,117.5
20011000070,20,011,000070,176.8,256,22.1,9.1,5,302.2,138.7,23.1,320.4,149.6,134.6,328.3,313.2,152.7
20011000080,20,011,000080,132.7,242.6,20.1,21,4,273.7,124.5,19.1,293.8,130.5,125.5,293.8,277.8,140.6
20011000090,20,011,000090,26,75,4,2,0,85,18,1,85,23,21,81,86,21
20011000100,20,011,000100,40,119,8,7,3,130,37,10,129,47,42,135,133,40
20011000110,20,011,000110,91.8,268.4,22,8,4,296.4,75.8,15,310.4,75.8,66.9,314.4,317.3,70.8
20011000120,20,011,000120,90,169,9,7,3,188,74,10,205,69,65,203,211,64
20011000130,20,011,000130,59,102,4,5,0,124,38,7,120,48,42,120,126,43
20011000140,20,011,000140,82.5,178,9.5,9.8,1,198.1,70.5,7.7,208.3,72.6,68.7,207.6,209.2,71.6
20011000150,20,011,000150,41,94,3,5,2,109,28,7,103,37,32,110,106,39
20011000160,20,011,000160,38,84,0,6,0,90,31,6,102,27,27,100,98,29
20011000170,20,011,000170,144,337.6,14.7,9.9,5.7,372.8,116.2,18,399.7,111.4,106.5,391.6,382.7,126
20011000180,20,011,000180,29,59,2,3,0,67,22,4,65,27,23,69,67,27
20011000190,20,011,000190,8.2,28.6,2,1,0,30.6,5.2,5,37.6,3.2,4.1,36.6,36.7,4.2
20011900020,20,011,900020,0.3,0.8,0,0,0,0.8,0.3,0,0.9,0.2,0.2,0.9,0.9,0.3
20011900030,20,011,900030,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0
20013000010,20,013,000010,16,45,5,0,1,55,13,0,56,13,11,57,55,14
20013000020,20,013,000020,65.7,64.2,10,6.9,0,81.2,60.6,6,99.1,48.7,40.7,104.1,97.2,49.6
20013000030,20,013,000030,219.8,201.9,43,16,2,278.9,181.8,16,337.8,143.9,112.9,362.8,324.8,154.9
2001300004A,20,013,00004A,146.9,209.9,41,12.9,0.1,258.1,125.6,16,303,98.8,80.7,319.1,287.1,110.6
2001300004B,20,013,00004B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001300005A,20,013,00005A,11.9,22.9,5,1,0,32.8,8,0,29.9,9.9,3,36.8,32.8,6
2001300005B,20,013,00005B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000060,20,013,000060,83.6,176.1,22.1,4.1,4.9,218,54,12,238.2,49.6,29.8,252.2,238.1,42.9
20013000070,20,013,000070,62,91,16,7,2,107,61,6,131,44,39,136,121,54
20013000080,20,013,000080,34.1,82.4,12.3,0.9,1.9,99.5,26.5,5.7,111.8,19,17.1,113.7,108.9,22.7
2001300009A,20,013,00009A,33.4,50.7,6.4,5.9,2,65,28.2,5.1,73.6,22.9,20.7,74.6,68.5,27.8
2001300009B,20,013,00009B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001300009C,20,013,00009C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000100,20,013,000100,37,63,12,2,1,73,37,4,83,31,32,81,81,33
20013000110,20,013,000110,75.5,178.9,19.3,0.1,2.1,201.5,63.3,7.2,226.7,47.2,39.2,229.8,223.6,47.5
20013000120,20,013,000120,27.5,138.4,14.7,2,3,157.1,25.5,3.9,164.9,23.6,16.7,163,165.9,19.6
2001300012A,20,013,00012A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000130,20,013,000130,25,45,8,2,2,49,26,7,63,21,17,63,65,18
20013000140,20,013,000140,94,97,27,3,2,108,107,8,133,91,77,143,130,92
20013000150,20,013,000150,12,28,5,2,0,36,10,1,37,10,12,35,37,9
20013000160,20,013,000160,51.9,75.3,20.6,2,0,100.8,45,3.9,108.6,40.1,29.4,118.4,103.7,44
2001300017A,20,013,00017A,0.2,1.2,0.1,0,0,1.3,0.2,0,1.4,0.2,0.1,1.4,1.4,0.2
2001300017B,20,013,00017B,0.5,1,0.2,0,0,1.2,0.4,0.1,1.4,0.3,0.3,1.4,1.3,0.3
2001300018A,20,013,00018A,0.3,1.4,0.1,0,0,1.5,0.2,0,1.6,0.2,0.2,1.6,1.6,0.2
20013000190,20,013,000190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013000200,20,013,000200,78.7,144.5,31.5,3,1,182.9,63.9,8.8,214.3,42.3,41.3,211.4,198.6,52.1
20013000210,20,013,000210,56.1,116.7,20.4,3,0,146.2,48,2.1,158.4,37.9,34.6,161.6,154.3,42
20013900010,20,013,900010,0.8,1.5,0.3,0,0,1.9,0.7,0.1,2.2,0.4,0.4,2.2,2.1,0.5
2001500001A,20,015,00001A,979.6,1158.8,184.9,45.5,8.9,1364.4,908.4,85,1544.4,806.5,726.5,1582.9,1515.7,821.4
2001500001L,20,015,00001L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500001N,20,015,00001N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500001O,20,015,00001O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500002A,20,015,00002A,253.8,292,72.3,19,4,364.1,238.9,34.1,407.6,224.5,209.6,417.4,403.4,224.7
2001500002B,20,015,00002B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500002C,20,015,00002C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000030,20,015,000030,203.2,220.4,57.8,19.1,6,260.9,204.4,33.2,319.8,181.7,173.8,322.6,310.5,187.9
2001500004A,20,015,00004A,396.5,496,89.5,19.1,5,594.3,365.6,37.2,671.9,323.2,276.2,693.9,656.8,334.3
2001500004B,20,015,00004B,4.3,7.6,0.9,0.2,0,8.6,4,0.4,9.7,3.3,2.8,9.6,9.7,3.2
20015000050,20,015,000050,346.5,479,79.2,19,5,569.1,305.5,44.1,683.3,235.4,231.4,677.3,658.2,259.4
20015000070,20,015,000070,337.2,625.6,77.8,19,9,696.4,321.3,38.9,803.2,244.4,224.5,806.2,783.2,254.4
20015000080,20,015,000080,54,127,24,2,4,146,51,15,154,58,46,163,162,50
2001500009C,20,015,00009C,3,3.5,0.6,0.1,0,4.1,2.8,0.3,4.7,2.4,2.2,4.8,4.6,2.5
2001500009F,20,015,00009F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500009G,20,015,00009G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500009H,20,015,00009H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000100,20,015,000100,29.1,92.2,11,1,0,103.3,27.1,2,111.3,21.1,19.1,111.3,111.3,21.1
20015000110,20,015,000110,10,28,2,0,0,30,10,0,32,8,5,34,30,9
20015000120,20,015,000120,15.4,64.5,3.1,3,0,65.6,17.4,3,77.7,10.3,14.3,68.7,72.7,14.4
20015000130,20,015,000130,248.4,370.6,68.6,12.9,7,432.2,237.5,25.8,512.7,184.8,161,515.7,496.8,199.7
2001500014A,20,015,00014A,583.8,647.4,85.3,22.3,2.9,770.2,507.2,36.1,934.8,374,334.9,956.1,899.9,401.9
2001500016A,20,015,00016A,505.3,467.5,81.2,41,8,539.8,492.2,47.1,635.1,444,402,659.1,611.1,462
2001500016B,20,015,00016B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001500016C,20,015,00016C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20015000190,20,015,000190,343.5,382.9,79.5,12.8,9.8,453.6,327.8,33.4,543,262,249.3,556.7,527.3,277.7
20015000220,20,015,000220,281.4,273.8,36.7,16.8,1,316.4,267.5,26.7,376.9,232.8,218,379.8,361.1,243.7
20015000240,20,015,000240,54,196,14,0,1,203,54,4,215,48,40,208,212,46
20015000250,20,015,000250,61,158,19,2,1,172,59,7,191,48,41,191,180,57
20015000260,20,015,000260,26.2,43.3,6.1,3,0,50.4,27.2,1,55.4,23.2,25.1,52.5,53.4,24.2
20015000270,20,015,000270,8,33,2,1,1,34,9,2,37,7,4,39,37,7
20015000280,20,015,000280,27.5,78.8,8.1,3,0,89,20.4,5,94,21.4,18.3,89.1,90,24.4
20015000290,20,015,000290,108.5,154.4,33.7,8.6,2.9,182,105.7,16.3,210.9,89.5,74.4,221.2,209,90.3
20015000300,20,015,000300,21.4,44.1,5,1.5,0.2,46.7,22.3,3,51.4,20.3,20.4,51.1,50.3,21.4
20015000320,20,015,000320,46,148,8,2,1,166,36,6,170,36,31,168,170,36
20015000330,20,015,000330,79.4,126.4,24.7,1.4,0.2,146.2,76.9,5.9,175.4,56.3,58.7,169,173.9,54.8
20015000340,20,015,000340,319.3,618.4,53.5,15.3,4.9,656.9,299.6,35,740.2,251.1,228.5,742.1,717.9,272.3
20015000350,20,015,000350,73.6,98.5,22.9,3,0,113.4,76.6,6,135.3,61.7,54.7,136.3,129.3,66.6
20015000360,20,015,000360,144.7,245.2,43.4,5.4,3.6,282.3,142,19.9,325.7,118.5,103.1,335.6,321.2,119.4
20015000380,20,015,000380,20,94,14,3,1,100,25,6,110,20,21,108,110,20
20015000390,20,015,000390,55.6,158.3,25.8,7.1,0.1,179.9,57.5,9.3,196.7,48.1,39.9,204.8,196.6,51.1
20015000410,20,015,000410,173.8,392.5,60.5,9.8,2.9,419.8,179.6,28.3,470.6,159.1,157.2,465.7,472.5,155.2
20015000430,20,015,000430,319,613,79,19,12,692,291,47,784,242,212,790,771,251
20015000440,20,015,000440,12,40,9,3,0,41,16,7,47,16,10,51,49,14
20015000450,20,015,000450,72.6,185.4,20.4,2.1,1,193.8,74.5,10.2,216.3,61.2,47,224.3,216.2,56.3
20015120040,20,015,120040,48.2,94.9,16.9,1.9,1,105.1,51.8,5.4,124.6,37.4,38.3,121.7,119.5,41.9
