GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
23031004860,23,031,004860,7108.97,3720.64,183.24,135.21,25.03,5731.8,4528.3,709.76,188.26
23031009410,23,031,009410,2463.15,2718.58,116.17,54.33,7.04,1974.23,3038.69,255.2,101.48
23031014485,23,031,014485,434,479,19,16,2,345,534,48,21
23031016725,23,031,016725,588,758,34,8,1,435,877,58,17
23031022955,23,031,022955,2869,1792,64,33,6,2421,2087,159,86
23031033665,23,031,033665,1260.85,1512.42,65.83,22.67,2.96,983.77,1727.31,130.8,37.52
23031036535,23,031,036535,5425,2688,116,64,8,4390,3502,333,93
23031036745,23,031,036745,1801.65,935.02,18.23,20.17,5.01,1492.36,1210.67,75.69,21.31
23031037270,23,031,037270,4465,1813,115,66,6,3826,2270,237,112
23031038425,23,031,038425,1245,2183,77,40,4,1007,2310,116,101
23031039195,23,031,039195,822,950,41,34,6,672,1026,113,41
23031039405,23,031,039405,892.15,1386.66,53.91,28.37,6.04,704.24,1504.27,114.97,46.78
23031041750,23,031,041750,1329,1541,59,31,4,1019,1765,124,55
23031048750,23,031,048750,363.99,572.84,12.93,11.93,0.99,280.45,606.65,51.71,23.87
23031050325,23,031,050325,1481,1561,63,22,5,1183,1784,107,50
23031054980,23,031,054980,735.7,310.61,7.96,7.96,0,606.28,425.1,16.92,7.96
23031055085,23,031,055085,3748,2374,76,55,10,3120,2771,257,110
23031056870,23,031,056870,474.37,566.68,18.06,13.01,1.99,347.41,625.58,74.05,22.09
23031067475,23,031,067475,714.01,1039.16,28.07,21.07,1.01,525.55,1165.35,72.29,33.13
23031070030,23,031,070030,2777,1738,90,52,12,2358,2041,165,99
23031080530,23,031,080530,1881,2477,90,51,7,1486,2714,199,111
23031081475,23,031,081475,4516.3,3342.39,109.04,56.04,14,3608.72,4085.9,245.08,89.04
23031087985,23,031,087985,6182,3360,130,55,6,5253,4115,257,128
23031646751,23,031,646751,936.09,535.72,22.94,19.13,1.78,761.51,659.67,68.93,24.6
23031646752,23,031,646752,1179.32,674.93,28.9,24.1,2.25,959.39,831.08,86.84,30.99
23031646753,23,031,646753,2241.64,1282.89,54.92,45.82,4.27,1823.6,1579.71,165.06,58.91
23031646754,23,031,646754,996.01,570.02,24.4,20.36,1.9,810.26,701.9,73.34,26.17
23031646755,23,031,646755,703.32,402.51,17.23,14.38,1.34,572.16,495.64,51.79,18.48
23031646756,23,031,646756,1189.45,680.72,29.14,24.31,2.27,967.63,838.22,87.58,31.26
23031646757,23,031,646757,622.98,356.53,15.26,12.73,1.19,506.8,439.02,45.87,16.37
23031657251,23,031,657251,1686,1592,66,39,0,1334,1816,144,76
23031657252,23,031,657252,2193,1868,95,45,6,1814,2060,250,105
23031657253,23,031,657253,1571,1734,61,34,18,1130,2021,130,80
